chrom	length	bases	mean	min	max
chr1	248956422	4733	0.00	0	2
chr1_region	248956422	4733	0.00	0	2
chr1_KI270706v1_random	175055	4047	0.02	0	2
chr1_KI270706v1_random_region	175055	4047	0.02	0	2
chr1_KI270707v1_random	32032	585	0.02	0	1
chr1_KI270707v1_random_region	32032	585	0.02	0	1
chr1_KI270708v1_random	127682	1348	0.01	0	2
chr1_KI270708v1_random_region	127682	1348	0.01	0	2
chr1_KI270710v1_random	40176	0	0.00	0	0
chr1_KI270710v1_random_region	40176	0	0.00	0	0
chr1_KI270712v1_random	176043	0	0.00	0	0
chr1_KI270712v1_random_region	176043	0	0.00	0	0
chr1_KI270760v1_alt	109528	0	0.00	0	0
chr1_KI270760v1_alt_region	109528	0	0.00	0	0
chr2	242193529	17428	0.00	0	3
chr2_region	242193529	17428	0.00	0	3
chr2_GL383521v1_alt	143390	0	0.00	0	0
chr2_GL383521v1_alt_region	143390	0	0.00	0	0
chr2_KI270768v1_alt	110099	300	0.00	0	1
chr2_KI270768v1_alt_region	110099	300	0.00	0	1
chr2_KI270772v1_alt	133041	0	0.00	0	0
chr2_KI270772v1_alt_region	133041	0	0.00	0	0
chr2_KI270894v1_alt	214158	0	0.00	0	0
chr2_KI270894v1_alt_region	214158	0	0.00	0	0
chr3	198295559	4627	0.00	0	1
chr3_region	198295559	4627	0.00	0	1
chr3_GL000221v1_random	155397	446	0.00	0	1
chr3_GL000221v1_random_region	155397	446	0.00	0	1
chr4	190214555	6418	0.00	0	2
chr4_region	190214555	6418	0.00	0	2
chr4_GL000008v2_random	209709	3447	0.02	0	2
chr4_GL000008v2_random_region	209709	3447	0.02	0	2
chr4_KI270896v1_alt	378547	0	0.00	0	0
chr4_KI270896v1_alt_region	378547	0	0.00	0	0
chr4_KI270925v1_alt	555799	0	0.00	0	0
chr4_KI270925v1_alt_region	555799	0	0.00	0	0
chr5	181538259	600	0.00	0	1
chr5_region	181538259	600	0.00	0	1
chr5_GL339449v2_alt	1612928	0	0.00	0	0
chr5_GL339449v2_alt_region	1612928	0	0.00	0	0
chr6	170805979	1652	0.00	0	1
chr6_region	170805979	1652	0.00	0	1
chr6_GL000252v2_alt	4604811	0	0.00	0	0
chr6_GL000252v2_alt_region	4604811	0	0.00	0	0
chr6_GL000254v2_alt	4827813	0	0.00	0	0
chr6_GL000254v2_alt_region	4827813	0	0.00	0	0
chr6_GL000256v2_alt	4929269	0	0.00	0	0
chr6_GL000256v2_alt_region	4929269	0	0.00	0	0
chr7	159345973	7798	0.00	0	3
chr7_region	159345973	7798	0.00	0	3
chr8	145138636	598	0.00	0	1
chr8_region	145138636	598	0.00	0	1
chr8_KI270810v1_alt	374415	0	0.00	0	0
chr8_KI270810v1_alt_region	374415	0	0.00	0	0
chr8_KI270813v1_alt	300230	0	0.00	0	0
chr8_KI270813v1_alt_region	300230	0	0.00	0	0
chr8_KI270822v1_alt	624492	0	0.00	0	0
