Geneid	SRR5085169
YDR492W	21
YDR508C	61
YDR186C	19
YDR150W	55
YDL182W	66
YDR232W	24
YDR158W	151
YDR533C	16
YDR272W	27
YDR299W	47
YDL015C	44
YDR304C	69
YDR367W	22
YDL097C	65
YDR105C	21
YDR483W	145
YDR505C	8
YDR361C	32
YDR266C	33
YDR002W	124
YDR214W	18
YDL176W	14
YDR460W	16
YDR060W	131
YDR422C	16
YDR119W	68
YDR097C	24
YDL160C	20
snR13	19
YDR228C	13
YDR471W	104
YDR089W	21
YDR275W	19
YDR129C	135
YDL066W	56
YDL125C	11
YDR101C	72
YDR212W	65
YDL131W	38
YDR458C	19
YDR168W	46
YDL006W	14
YDL086W	12
YDR238C	87
YDR077W	94
YDL083C	136
YDR487C	53
YDR427W	30
YDR305C	16
YDR416W	17
YDR365C	68
YDR180W	12
YDR294C	20
YDR264C	51
YDR354W	22
YDL112W	39
YDR284C	33
YDR050C	1246
YDR159W	18
YDR111C	15
YDR128W	24
YDL004W	18
YDL171C	95
YDR083W	15
YDR457W	76
YDR206W	34
YDR432W	36
YDL072C	33
YDL070W	79
YDR064W	318
YDL077C	10
YDL031W	44
YDR398W	66
YDR326C	30
YDL052C	12
YDR397C	19
YDL116W	35
YDR028C	54
YDL007W	78
YDR011W	45
YDR155C	164
YDL073W	16
YDL115C	39
YDL145C	108
YDL075W	282
YDR415C	13
YDR339C	18
YDL213C	11
YDL019C	20
YDL022W	24
YDR091C	65
YDR240C	12
YDL140C	76
YDR120C	29
YDL092W	19
YDL082W	121
YDR291W	44
YDR407C	28
YDR382W	276
YDL188C	20
YDR443C	10
YDR144C	24
YDL157C	14
YDL058W	55
YDL155W	18
YDR147W	15
YDL191W	195
YDL128W	20
YDR127W	107
YDR497C	118
YDR363W-A	35
YDR385W	67
YDR331W	24
YDR001C	21
YDR025W	118
YDR046C	30
YDR408C	39
YDR019C	28
YDR477W	22
YDL100C	66
YDL124W	46
YDL227C	21
YDR324C	77
YDR258C	11
YDR176W	22
YDL099W	21
YDR380W	43
YDR148C	22
YDR133C	32
YDR378C	12
YDR165W	50
YDR086C	51
YDR023W	169
YDR394W	65
YDR245W	54
YDL184C	168
YDR434W	13
YDR225W	62
YDR418W	195
YDR224C	139
YDR502C	49
YDR447C	177
YDL039C	11
YDL225W	29
YDR370C	67
YDR298C	73
YDR276C	20
YDL051W	70
YDR221W	21
YDR456W	36
YDL036C	15
snR63	11
YDR334W	51
YDL164C	30
YDR093W	30
YDR071C	44
YDL143W	134
YDR032C	37
YDL166C	23
YDR151C	10
YDR037W	207
YDR172W	79
YDL174C	16
YDR080W	11
YDR047W	16
YDR267C	18
YDL212W	35
YDR044W	20
YDR207C	18
YDL208W	23
YDR135C	68
YDR229W	26
YDR027C	13
YDR518W	22
YDR055W	22
YDR177W	21
YDL014W	100
YDR137W	19
YDL153C	74
YDL219W	12
YDR033W	130
YDR035W	49
YDR510W	50
YDL055C	835
YDL103C	24
YDR087C	16
YDL236W	31
YDR012W	39
YDL121C	56
tG(GCC)D2	109
YDL190C	28
YDL047W	25
YDR099W	75
YDR164C	28
YDL020C	33
YDR152W	6
YDL148C	77
YDR507C	29
YDL003W	15
YDR524C-B	83
YDR371W	11
YDR335W	102
YDR351W	13
YDL150W	13
YDR364C	27
YDR309C	19
YDR300C	32
YDL168W	34
YDR321W	41
YDL030W	12
YDR468C	13
YDL084W	220
YDL229W	259
YDR329C	13
YDR034C	13
YDR312W	15
YDL061C	42
YDL040C	94
YDR145W	13
YDL231C	14
YDR190C	54
YDR449C	33
YDR074W	20
YDR450W	311
YDR376W	30
YDR161W	39
YDR189W	17
YDL237W	54
YDR188W	134
YDL133C-A	165
YDR531W	15
YDR226W	72
YDL205C	21
YDR496C	100
YDL147W	109
YDL081C	424
YDR283C	20
YDR261C	14
YDL074C	43
YDR346C	105
YDL122W	24
YDR390C	37
YDR481C	41
YDL141W	11
YDL178W	28
YDL192W	231
YDR146C	18
YDL185W	231
YDR251W	25
YDR368W	34
YDR399W	94
YDR138W	11
YDL060W	48
YDL126C	164
YDR345C	102
YDR292C	43
YDR170C	103
YDR174W	47
YDR500C	101
YDR301W	11
YDR412W	34
YDR234W	34
YDR519W	21
YDR465C	35
YDR454C	139
YDL095W	60
YDL130W	257
YDL117W	13
YDR381W	46
YDR062W	86
YDL167C	30
YDR517W	20
YDL226C	23
YDL134C	34
YDR117C	14
YDR303C	26
YDL078C	21
YDR529C	15
snR47	66
YDR452W	54
YDR347W	10
YDR516C	25
YDL193W	24
YDL137W	80
YDR233C	106
YDR388W	39
YDR049W	17
YDR021W	12
YDR353W	68
YDR141C	38
YDR194C	30
YDL240W	20
YDR056C	28
YDR328C	50
YDR280W	13
YDR098C	105
YDR017C	22
YDR341C	115
YDR154C	19
YDR395W	48
YDR372C	27
YDR325W	30
YDR006C	16
YDL102W	21
YDR527W	32
YDR333C	32
YDL063C	40
YDL132W	28
YDR211W	111
YDR110W	18
YDR167W	21
YDL215C	39
YDR297W	37
YDR007W	18
YDL195W	31
YDR429C	83
YDL198C	22
YDL120W	22
YDR379W	12
YDL029W	78
YDR369C	16
YDR430C	18
YDR293C	55
YDR217C	24
YDR052C	21
YDL136W	102
YDR068W	12
YDL046W	21
YDR337W	21
YDR356W	13
YOL144W	16
YOR206W	58
YOR341W	215
YOL088C	41
YOR160W	16
YOR039W	45
YOR281C	13
YOR230W	88
