sample	bss_id	coordinate_interpretation	query_chrom	query_start_bed	query_end_bed	state_chrom	state_start	state_end	chromhmm_state	overlap_bp	source_md5	source_url
Liver_lobe	BSS01519	browser_1based_inclusive_to_BED	chr11	124738680	124738772	chr11	124725904	124739504	Quies	92	da20c0c86c33f1fbfe3e1f2138a5258d	https://filer2.niagads.org/Annotationtracks/EpiMap/ChromHMM/bed9/hg38/formatted_output_BSS01519_ENCODE_All_hg38.bed.gz
Liver_lobe	BSS01519	literal_numbers_as_BED	chr11	124738681	124738772	chr11	124725904	124739504	Quies	91	da20c0c86c33f1fbfe3e1f2138a5258d	https://filer2.niagads.org/Annotationtracks/EpiMap/ChromHMM/bed9/hg38/formatted_output_BSS01519_ENCODE_All_hg38.bed.gz
Middle_frontal_area_BA46	BSS01271	browser_1based_inclusive_to_BED	chr11	124738680	124738772	chr11	124738504	124738904	EnhA1	92	ac7f07d1bb5468ddce406584a6c39cb3	https://filer2.niagads.org/Annotationtracks/EpiMap/ChromHMM/bed9/hg38/formatted_output_BSS01271_Roadmap_2015_All_hg38.bed.gz
Middle_frontal_area_BA46	BSS01271	literal_numbers_as_BED	chr11	124738681	124738772	chr11	124738504	124738904	EnhA1	91	ac7f07d1bb5468ddce406584a6c39cb3	https://filer2.niagads.org/Annotationtracks/EpiMap/ChromHMM/bed9/hg38/formatted_output_BSS01271_Roadmap_2015_All_hg38.bed.gz
Frontal_cortex	BSS00369	browser_1based_inclusive_to_BED	chr11	124738680	124738772	chr11	124735704	124738704	EnhBiv	24	42e70ca6a65d6aa7b2e2054973d274ca	https://filer2.niagads.org/Annotationtracks/EpiMap/ChromHMM/bed9/hg38/formatted_output_BSS00369_ENCODE_All_hg38.bed.gz
Frontal_cortex	BSS00369	browser_1based_inclusive_to_BED	chr11	124738680	124738772	chr11	124738704	124738904	ReprPC	68	42e70ca6a65d6aa7b2e2054973d274ca	https://filer2.niagads.org/Annotationtracks/EpiMap/ChromHMM/bed9/hg38/formatted_output_BSS00369_ENCODE_All_hg38.bed.gz
Frontal_cortex	BSS00369	literal_numbers_as_BED	chr11	124738681	124738772	chr11	124735704	124738704	EnhBiv	23	42e70ca6a65d6aa7b2e2054973d274ca	https://filer2.niagads.org/Annotationtracks/EpiMap/ChromHMM/bed9/hg38/formatted_output_BSS00369_ENCODE_All_hg38.bed.gz
Frontal_cortex	BSS00369	literal_numbers_as_BED	chr11	124738681	124738772	chr11	124738704	124738904	ReprPC	68	42e70ca6a65d6aa7b2e2054973d274ca	https://filer2.niagads.org/Annotationtracks/EpiMap/ChromHMM/bed9/hg38/formatted_output_BSS00369_ENCODE_All_hg38.bed.gz
H1-hESC	BSS00478	browser_1based_inclusive_to_BED	chr11	124738680	124738772	chr11	124734104	124738904	ReprPC	92	f22f14fff4268e5deee605f2786ac8db	https://filer2.niagads.org/Annotationtracks/EpiMap/ChromHMM/bed9/hg38/formatted_output_BSS00478_Roadmap_2015_All_hg38.bed.gz
H1-hESC	BSS00478	literal_numbers_as_BED	chr11	124738681	124738772	chr11	124734104	124738904	ReprPC	91	f22f14fff4268e5deee605f2786ac8db	https://filer2.niagads.org/Annotationtracks/EpiMap/ChromHMM/bed9/hg38/formatted_output_BSS00478_Roadmap_2015_All_hg38.bed.gz
