metric	value
candidate_accession	ENCSR597URK
candidate_file	ENCFF051GHB.bam
target_rows	308837
alignments_seen	78558518
alignments_mapq_ge_30	75818424
alignments_used_in_bins	75818424
raw_bin_overlap_sum	76275859
normalization_scale	0.0131103079415991891
rounded_exact_matches	308837
max_abs_diff_rounded	0
rmse_rounded	0
pearson_corr_rounded	1

chrom	start	end	target	candidate	raw_count
chr15	75450000	75460000	307.646	307.646	23466
chr16	30650000	30660000	280.534	280.534	21398
chr16	22190000	22200000	270.728	270.728	20650
chr19	5900000	5910000	257.001	257.001	19603
chr17	8150000	8160000	250.289	250.289	19091
chr7	100420000	100430000	240.299	240.299	18329
chr7	105010000	105020000	231.554	231.554	17662
chr19	55650000	55660000	230.912	230.912	17613
chr16	30370000	30380000	230.597	230.597	17589
chr10	74820000	74830000	230.086	230.086	17550
chrX	310000	320000	228.316	228.316	17415
chr19	54190000	54200000	226.376	226.376	17267
chr1	15520000	15530000	215.14	215.14	16410
chr19	41260000	41270000	214.957	214.957	16396
chr19	12790000	12800000	211.142	211.142	16105
chr13	110710000	110720000	206.933	206.933	15784
chr6	41070000	41080000	206.356	206.356	15740
chr19	39400000	39410000	205.098	205.098	15644
chr19	49870000	49880000	204.862	204.862	15626
chr19	47510000	47520000	204.101	204.101	15568
