column	rank	gene	z_vs_others	expression	marker_label	specificity	stability
cortex	1	TraesCS4D03G0728600	73.261192	66.700000			
cortex	2	TraesCS7B03G1036100	67.628616	4.860000			
cortex	3	TraesCS4A03G0796400	38.794009	3.780000			
cortex	4	TraesCS7B03G1036900	37.588232	16.970000			
cortex	5	TraesCS1D03G0787300	34.841590	864.510000			
cortex	6	TraesCS2A03G0987800	33.928180	8.320000			
cortex	7	TraesCS4B03G0948400	32.848035	5.190000			
cortex	8	TraesCS4D03G0728500	30.760242	177.620000			
cortex	9	TraesCS7A03G0865300	30.739014	18.810000			
cortex	10	TraesCS4A03G1071200	30.056967	3.460000			
cortex	11	TraesCS7A03G1285700	29.311400	5.840000			
cortex	12	TraesCS1A03G0817100	29.154820	402.690000			
cortex	13	TraesCS7D03G1113800	29.115194	23.780000			
cortex	14	TraesCS2B03G1096400	28.614149	113.400000			
cortex	15	TraesCS7B03G1035700	27.355885	6.590000			
cortex	16	TraesCS1D03G0787400	26.601740	624.410000			
cortex	17	TraesCS7A03G1168100	26.195468	25.080000			
cortex	18	TraesCS7A03G1148800LC	26.032097	4.540000			
cortex	19	TraesCS1A03G0968700LC	25.631559	12.430000			
cortex	20	TraesCS7B03G1035800	25.330250	12.970000			
cortex	21	TraesCS4B03G0814000	25.045575	19.240000			
cortex	22	TraesCS2B03G1096500	23.950075	181.180000	2Cortex		
cortex	23	TraesCS4D03G0710700	23.625704	4.320000			
cortex	24	TraesCS7A03G1169500	23.279728	6.810000			
cortex	25	TraesCS2A03G0988000	22.826318	269.830000	2Cortex	specific	stable
cortex	26	TraesCS7D03G1113700	21.847614	47.030000			
cortex	27	TraesCS1A03G0026200	21.683890	90.160000			
cortex	28	TraesCS4B03G0814800	21.384643	532.740000			
cortex	29	TraesCS7D03G0870600	21.349346	4.320000			
cortex	30	TraesCS7B03G1036700	21.174074	20.860000			
cortex	31	TraesCS5A03G0677100	20.986057	24.760000			
cortex	32	TraesCS7B03G1036400	20.822001	43.780000			
cortex	33	TraesCS7B03G1036600	20.152162	64.320000			
cortex	34	TraesCS7B03G1282300	19.821946	16.540000	NA		
cortex	35	TraesCS7D03G1113400	19.100448	46.700000			
cortex	36	TraesCS1B03G0635100	18.179062	7.130000			
cortex	37	TraesCS4A03G0471600	17.709138	59.350000			
cortex	38	TraesCS1A03G0123400	17.168649	42.050000			
cortex	39	TraesCS2D03G0925700	16.821199	277.940000	2Cortex		
cortex	40	TraesCS2A03G1088600	16.596716	6.810000			
cortex	41	TraesCS1B03G0861800	16.329160	6.050000			
cortex	42	TraesCS7A03G1169300	15.847710	11.240000			
cortex	43	TraesCS3D03G0910600	15.487812	21.300000			
cortex	44	TraesCS6B03G0811700	15.169423	51.460000	2Cortex	specific	stable
cortex	45	TraesCS1B03G0769100	14.956379	3.460000			
cortex	46	TraesCS7A03G1345700	14.705763	55.670000	2Cortex	specific	stable
cortex	47	TraesCS7D03G0020400	14.669621	18.490000			
cortex	48	TraesCS1D03G0014100	14.534792	15.130000			
cortex	49	TraesCS2B03G0743300	14.417535	2.270000			
cortex	50	TraesCS1A03G0010400	14.305454	2.270000			
endodermis	1	TraesCS2D03G0015000	82.150724	14.680000			
endodermis	2	TraesCS2D03G1000300	80.891948	4.490000			
endodermis	3	TraesCS1B03G0906800	69.483410	83.950000	9Endodermis	specific	stable
endodermis	4	TraesCS3B03G0507900	65.202270	54.590000			
endodermis	5	TraesCS7B03G0646000	63.879941	35.410000			
endodermis	6	TraesCS7A03G0808400	61.783814	20.900000			
endodermis	7	TraesCS6A03G0661900	61.736889	448.090000	9Endodermis	specific	stable
endodermis	8	TraesCS5D03G1032800	59.129599	11.400000			
endodermis	9	TraesCS1A03G0789900	58.192956	48.540000			
endodermis	10	TraesCS4B03G0533000	56.006886	44.740000	9Endodermis		
endodermis	11	TraesCS5B03G0822900	54.683674	20.560000			
endodermis	12	TraesCS7D03G0945700	54.397000	4.490000			
endodermis	13	TraesCS4A03G0135600	54.381826	26.260000			
endodermis	14	TraesCS4A03G0235400	53.390843	58.900000	9Endodermis	specific	stable
endodermis	15	TraesCS3B03G0507600	52.034625	37.660000			
endodermis	16	TraesCS3D03G0019300	51.417228	22.630000			
endodermis	17	TraesCS3A03G0428900	50.814059	40.080000			
endodermis	18	TraesCS3B03G0442500LC	49.448334	5.010000			
endodermis	19	TraesCS1A03G0893700	49.011522	5.700000			
endodermis	20	TraesCS2A03G0254700	48.497144	45.090000	NA		
endodermis	21	TraesCS1B03G0906900	47.489625	200.550000			
endodermis	22	TraesCS3B03G1053800	46.082006	16.930000			
endodermis	23	TraesCS6B03G0563500	46.025022	22.800000			
endodermis	24	TraesCS4B03G0618600	44.651363	31.780000			
endodermis	25	TraesCS2D03G0014700	44.576293	16.240000			
