species	rank	gene_id	gene_symbol	gene_biotype	unique_molecules
human	1	ENSG00000244734.5	HBB	protein_coding	9509
human	2	ENSG00000188536.14	HBA2	protein_coding	1679
human	3	ENSG00000206172.9	HBA1	protein_coding	886
human	4	ENSG00000170315.15	UBB	protein_coding	44
human	5	ENSG00000087086.17	FTL	protein_coding	38
human	6	ENSG00000223609.11	HBD	protein_coding	37
human	7	ENSG00000221983.9	UBA52	protein_coding	21
human	8	ENSG00000075624.18	ACTB	protein_coding	18
human	9	ENSG00000163220.12	S100A9	protein_coding	17
human	10	ENSG00000104904.13	OAZ1	protein_coding	16
human	11	ENSG00000013306.17	SLC25A39	protein_coding	16
human	12	ENSG00000169877.11	AHSP	protein_coding	15
human	13	ENSG00000104765.17	BNIP3L	protein_coding	14
human	14	ENSG00000140264.23	SERF2	protein_coding	13
human	15	ENSG00000112306.9	RPS12	protein_coding	13
human	16	ENSG00000143546.11	S100A8	protein_coding	13
human	17	ENSG00000198938.2	MT-CO3	protein_coding	12
human	18	ENSG00000205542.12	TMSB4X	protein_coding	12
human	19	ENSG00000145335.18	SNCA	protein_coding	11
human	20	ENSG00000206177.7	HBM	protein_coding	11
human	21	ENSG00000090382.7	LYZ	protein_coding	11
human	22	ENSG00000133112.18	TPT1	protein_coding	10
human	23	ENSG00000158578.22	ALAS2	protein_coding	10
human	24	ENSG00000105701.17	FKBP8	protein_coding	10
human	25	ENSG00000133742.15	CA1	protein_coding	10
human	26	ENSG00000159346.14	ADIPOR1	protein_coding	9
human	27	ENSG00000156508.21	EEF1A1	protein_coding	8
human	28	ENSG00000198712.1	MT-CO2	protein_coding	8
human	29	ENSG00000198899.2	MT-ATP6	protein_coding	8
human	30	ENSG00000142669.16	SH3BGRL3	protein_coding	7
human	31	ENSG00000147454.14	SLC25A37	protein_coding	7
human	32	ENSG00000137198.11	GMPR	protein_coding	7
human	33	ENSG00000167996.17	FTH1	protein_coding	7
human	34	ENSG00000060138.14	YBX3	protein_coding	7
human	35	ENSG00000198804.2	MT-CO1	protein_coding	7
human	36	ENSG00000090013.12	BLVRB	protein_coding	6
human	37	ENSG00000144713.14	RPL32	protein_coding	6
human	38	ENSG00000172331.13	BPGM	protein_coding	6
human	39	ENSG00000173812.12	EIF1	protein_coding	6
human	40	ENSG00000124098.10	FAM210B	protein_coding	6
human	41	ENSG00000164587.14	RPS14	protein_coding	6
human	42	ENSG00000177600.11	RPLP2	protein_coding	5
human	43	ENSG00000182899.18	RPL35A	protein_coding	5
human	44	ENSG00000107262.26	BAG1	protein_coding	5
human	45	ENSG00000266412.7	NCOA4	protein_coding	5
human	46	ENSG00000103342.14	GSPT1	protein_coding	5
human	47	ENSG00000124172.11	ATP5F1E	protein_coding	5
human	48	ENSG00000167526.16	RPL13	protein_coding	5
