species	rank	gene_id	gene_symbol	gene_biotype	unique_molecules
human	1	ENSG00000244734.5	HBB	protein_coding	55546
human	2	ENSG00000188536.14	HBA2	protein_coding	9950
human	3	ENSG00000206172.9	HBA1	protein_coding	5316
human	4	ENSG00000223609.11	HBD	protein_coding	266
human	5	ENSG00000170315.15	UBB	protein_coding	232
human	6	ENSG00000087086.17	FTL	protein_coding	194
human	7	ENSG00000163220.12	S100A9	protein_coding	116
human	8	ENSG00000133112.18	TPT1	protein_coding	103
human	9	ENSG00000221983.9	UBA52	protein_coding	96
human	10	ENSG00000169877.11	AHSP	protein_coding	95
human	11	ENSG00000090382.7	LYZ	protein_coding	88
human	12	ENSG00000013306.17	SLC25A39	protein_coding	84
human	13	ENSG00000075624.18	ACTB	protein_coding	81
human	14	ENSG00000158578.22	ALAS2	protein_coding	76
human	15	ENSG00000133742.15	CA1	protein_coding	70
human	16	ENSG00000104904.13	OAZ1	protein_coding	69
human	17	ENSG00000124172.11	ATP5F1E	protein_coding	66
human	18	ENSG00000105701.17	FKBP8	protein_coding	64
human	19	ENSG00000167996.17	FTH1	protein_coding	63
human	20	ENSG00000143546.11	S100A8	protein_coding	62
human	21	ENSG00000104765.17	BNIP3L	protein_coding	61
human	22	ENSG00000112306.9	RPS12	protein_coding	58
human	23	ENSG00000205542.12	TMSB4X	protein_coding	55
human	24	ENSG00000198938.2	MT-CO3	protein_coding	54
human	25	ENSG00000206177.7	HBM	protein_coding	53
human	26	ENSG00000140264.23	SERF2	protein_coding	53
human	27	ENSG00000145335.18	SNCA	protein_coding	47
human	28	ENSG00000060138.14	YBX3	protein_coding	45
human	29	ENSG00000147454.14	SLC25A37	protein_coding	44
human	30	ENSG00000182512.6	GLRX5	protein_coding	43
human	31	ENSG00000159346.14	ADIPOR1	protein_coding	41
human	32	ENSG00000198899.2	MT-ATP6	protein_coding	39
human	33	ENSG00000198712.1	MT-CO2	protein_coding	39
human	34	ENSG00000156508.21	EEF1A1	protein_coding	38
human	35	ENSG00000137198.11	GMPR	protein_coding	37
human	36	ENSG00000173812.12	EIF1	protein_coding	36
human	37	ENSG00000137818.13	RPLP1	protein_coding	35
human	38	ENSG00000172270.23	BSG	protein_coding	35
human	39	ENSG00000090013.12	BLVRB	protein_coding	33
human	40	ENSG00000198804.2	MT-CO1	protein_coding	32
human	41	ENSG00000143774.19	GUK1	protein_coding	31
