chrom	length	bases	mean	min	max
chr1	248956422	4500	0.00	0	2
chr1_region	248956422	4500	0.00	0	2
chr1_KI270706v1_random	175055	5100	0.03	0	3
chr1_KI270706v1_random_region	175055	5100	0.03	0	3
chr1_KI270708v1_random	127682	2400	0.02	0	1
chr1_KI270708v1_random_region	127682	2400	0.02	0	1
chr2	242193529	6900	0.00	0	2
chr2_region	242193529	6900	0.00	0	2
chr2_GL582966v2_alt	96131	300	0.00	0	1
chr2_GL582966v2_alt_region	96131	300	0.00	0	1
chr3	198295559	3300	0.00	0	2
chr3_region	198295559	3300	0.00	0	2
chr3_GL000221v1_random	155397	17400	0.11	0	5
chr3_GL000221v1_random_region	155397	17400	0.11	0	5
chr4	190214555	6600	0.00	0	2
chr4_region	190214555	6600	0.00	0	2
chr4_GL000008v2_random	209709	11700	0.06	0	5
chr4_GL000008v2_random_region	209709	11700	0.06	0	5
chr5	181538259	5694	0.00	0	2
chr5_region	181538259	5694	0.00	0	2
chr6	170805979	4500	0.00	0	2
chr6_region	170805979	4500	0.00	0	2
chr6_GL000253v2_alt	4677643	300	0.00	0	1
chr6_GL000253v2_alt_region	4677643	300	0.00	0	1
chr7	159345973	2700	0.00	0	3
chr7_region	159345973	2700	0.00	0	3
chr8	145138636	2700	0.00	0	1
chr8_region	145138636	2700	0.00	0	1
chr9	138394717	1800	0.00	0	1
chr9_region	138394717	1800	0.00	0	1
chr9_KI270717v1_random	40062	300	0.01	0	1
chr9_KI270717v1_random_region	40062	300	0.01	0	1
chr9_KI270823v1_alt	439082	300	0.00	0	1
chr9_KI270823v1_alt_region	439082	300	0.00	0	1
chr10	133797422	900	0.00	0	1
chr10_region	133797422	900	0.00	0	1
chr11	135086622	2400	0.00	0	1
chr11_region	135086622	2400	0.00	0	1
chr12	133275309	3300	0.00	0	3
chr12_region	133275309	3300	0.00	0	3
chr13	114364328	3000	0.00	0	4
chr13_region	114364328	3000	0.00	0	4
chr14	107043718	668700	0.01	0	8
chr14_region	107043718	668700	0.01	0	8
chr14_GL000009v2_random	201709	900	0.00	0	1
chr14_GL000009v2_random_region	201709	900	0.00	0	1
chr14_GL000225v1_random	211173	1200	0.01	0	2
chr14_GL000225v1_random_region	211173	1200	0.01	0	2
chr14_KI270722v1_random	194050	5700	0.03	0	3
chr14_KI270722v1_random_region	194050	5700	0.03	0	3
chr14_KI270725v1_random	172810	7500	0.04	0	5
chr14_KI270725v1_random_region	172810	7500	0.04	0	5
chr15	101991189	600	0.00	0	1
chr15_region	101991189	600	0.00	0	1
chr16	90338345	600	0.00	0	1
chr16_region	90338345	600	0.00	0	1
chr16_KI270728v1_random	1872759	300	0.00	0	1
chr16_KI270728v1_random_region	1872759	300	0.00	0	1
chr17	83257441	3600	0.00	0	2
chr17_region	83257441	3600	0.00	0	2
chr17_GL383565v1_alt	223995	300	0.00	0	1
chr17_GL383565v1_alt_region	223995	300	0.00	0	1
chr18	80373285	300	0.00	0	1
chr18_region	80373285	300	0.00	0	1
chr18_GL383567v1_alt	289831	300	0.00	0	1
chr18_GL383567v1_alt_region	289831	300	0.00	0	1
chr19	58617616	1800	0.00	0	2
chr19_region	58617616	1800	0.00	0	2
chr19_GL383575v2_alt	170222	600	0.00	0	1
chr19_GL383575v2_alt_region	170222	600	0.00	0	1
chr20	64444167	1500	0.00	0	1
chr20_region	64444167	1500	0.00	0	1
chr20_GL383577v2_alt	128386	300	0.00	0	1
chr20_GL383577v2_alt_region	128386	300	0.00	0	1
chr21	46709983	207150	0.00	0	9
chr21_region	46709983	207150	0.00	0	9
chr22	50818468	148881938	2.93	0	18
chr22_region	50818468	148881938	2.93	0	18
chr22_KI270731v1_random	150754	198600	1.32	0	10
chr22_KI270731v1_random_region	150754	198600	1.32	0	10
chr22_KI270732v1_random	41543	2100	0.05	0	3
chr22_KI270732v1_random_region	41543	2100	0.05	0	3
chr22_KI270734v1_random	165050	163500	0.99	0	10
chr22_KI270734v1_random_region	165050	163500	0.99	0	10
chr22_KI270737v1_random	103838	101998	0.98	0	7
chr22_KI270737v1_random_region	103838	101998	0.98	0	7
chr22_KI270739v1_random	73985	90900	1.23	0	9
chr22_KI270739v1_random_region	73985	90900	1.23	0	9
chr22_GL383582v2_alt	162811	185400	1.14	0	7
chr22_GL383582v2_alt_region	162811	185400	1.14	0	7
chr22_GL383583v2_alt	96924	189300	1.95	0	9
chr22_GL383583v2_alt_region	96924	189300	1.95	0	9
chr22_KB663609v1_alt	74013	54600	0.74	0	5
chr22_KB663609v1_alt_region	74013	54600	0.74	0	5
chr22_KI270875v1_alt	259914	458400	1.76	0	9
chr22_KI270875v1_alt_region	259914	458400	1.76	0	9
chr22_KI270876v1_alt	263666	483300	1.83	0	9
chr22_KI270876v1_alt_region	263666	483300	1.83	0	9
chr22_KI270877v1_alt	101331	174750	1.72	0	7
chr22_KI270877v1_alt_region	101331	174750	1.72	0	7
chr22_KI270878v1_alt	186262	282600	1.52	0	8
chr22_KI270878v1_alt_region	186262	282600	1.52	0	8
chr22_KI270879v1_alt	304135	504600	1.66	0	9
chr22_KI270879v1_alt_region	304135	504600	1.66	0	9
chr22_KI270928v1_alt	176103	220800	1.25	0	7
chr22_KI270928v1_alt_region	176103	220800	1.25	0	7
chrX	156040895	2100	0.00	0	1
chrX_region	156040895	2100	0.00	0	1
chrY	57227415	1200	0.00	0	2
chrY_region	57227415	1200	0.00	0	2
chrUn_KI270435v1	92983	300	0.00	0	1
chrUn_KI270435v1_region	92983	300	0.00	0	1
chrUn_KI270581v1	7046	8400	1.19	0	6
chrUn_KI270581v1_region	7046	8400	1.19	0	6
chrUn_KI270742v1	186739	38100	0.20	0	7
chrUn_KI270742v1_region	186739	38100	0.20	0	7
chrUn_KI270743v1	210658	17100	0.08	0	5
chrUn_KI270743v1_region	210658	17100	0.08	0	5
chrUn_KI270744v1	168472	600	0.00	0	1
chrUn_KI270744v1_region	168472	600	0.00	0	1
chrUn_KI270749v1	158759	6300	0.04	0	3
chrUn_KI270749v1_region	158759	6300	0.04	0	3
total	3100640514	153054330	0.05	0	18
total_region	3100640514	153054330	0.05	0	18
