Name	Length	EffectiveLength	TPM	NumReads
chr1	248956422	248956172.000	456.216154	73087.809
chr1_KI270706v1_random	175055	174805.000	17.396728	1.957
chr1_KI270707v1_random	32032	31782.000	0.000000	0.000
chr1_KI270708v1_random	127682	127432.000	0.000000	0.000
chr1_KI270709v1_random	66860	66610.000	0.000000	0.000
chr1_KI270710v1_random	40176	39926.000	0.000000	0.000
chr1_KI270711v1_random	42210	41960.000	0.000000	0.000
chr1_KI270712v1_random	176043	175793.000	0.000000	0.000
chr1_KI270713v1_random	40745	40495.000	190.606005	4.967
chr1_KI270714v1_random	41717	41467.000	0.000000	0.000
chr1_GL383518v1_alt	182439	182189.000	581.091937	68.127
chr1_GL383519v1_alt	110268	110018.000	1002.501412	70.974
chr1_GL383520v2_alt	366580	366330.000	0.000000	0.000
chr1_KI270759v1_alt	425601	425351.000	0.000000	0.000
chr1_KI270760v1_alt	109528	109278.000	0.000000	0.000
chr1_KI270761v1_alt	165834	165584.000	0.000000	0.000
chr1_KI270762v1_alt	354444	354194.000	0.000000	0.000
chr1_KI270763v1_alt	911658	911408.000	0.000000	0.000
chr1_KI270764v1_alt	50258	50008.000	0.000000	0.000
chr1_KI270765v1_alt	185285	185035.000	0.000000	0.000
chr1_KI270766v1_alt	256271	256021.000	0.000000	0.000
chr1_KI270892v1_alt	162212	161962.000	0.000000	0.000
chr2	242193529	242193279.000	392.860061	61228.181
chr2_KI270715v1_random	161471	161221.000	0.000000	0.000
chr2_KI270716v1_random	153799	153549.000	0.000000	0.000
chr2_GL383521v1_alt	143390	143140.000	0.000000	0.000
chr2_GL383522v1_alt	123821	123571.000	37.190994	2.957
chr2_GL582966v2_alt	96131	95881.000	0.000000	0.000
chr2_KI270767v1_alt	161578	161328.000	0.000000	0.000
chr2_KI270768v1_alt	110099	109849.000	76.102509	5.380
chr2_KI270769v1_alt	120616	120366.000	0.000000	0.000
chr2_KI270770v1_alt	136240	135990.000	0.000000	0.000
chr2_KI270771v1_alt	110395	110145.000	0.000000	0.000
chr2_KI270772v1_alt	133041	132791.000	191.317690	16.348
chr2_KI270773v1_alt	70887	70637.000	0.000000	0.000
chr2_KI270774v1_alt	223625	223375.000	0.000000	0.000
chr2_KI270775v1_alt	138019	137769.000	0.000000	0.000
chr2_KI270776v1_alt	174166	173916.000	0.000000	0.000
chr2_KI270893v1_alt	161218	160968.000	0.000000	0.000
chr2_KI270894v1_alt	214158	213908.000	0.000000	0.000
chr3	198295559	198295309.000	342.054585	43647.487
chr3_GL000221v1_random	155397	155147.000	0.000000	0.000
chr3_GL383526v1_alt	180671	180421.000	0.000000	0.000
chr3_JH636055v2_alt	173151	172901.000	0.000000	0.000
chr3_KI270777v1_alt	173649	173399.000	0.000000	0.000
chr3_KI270778v1_alt	248252	248002.000	0.000000	0.000
