chrom	length	bases	mean	min	max
chr1	248956422	44758	0.00	0	4
chr1_region	248956422	44758	0.00	0	4
chr1_KI270706v1_random	175055	30717	0.18	0	5
chr1_KI270706v1_random_region	175055	30717	0.18	0	5
chr1_KI270707v1_random	32032	3766	0.12	0	4
chr1_KI270707v1_random_region	32032	3766	0.12	0	4
chr1_KI270708v1_random	127682	16286	0.13	0	4
chr1_KI270708v1_random_region	127682	16286	0.13	0	4
chr1_KI270710v1_random	40176	2700	0.07	0	2
chr1_KI270710v1_random_region	40176	2700	0.07	0	2
chr1_KI270712v1_random	176043	2238	0.01	0	1
chr1_KI270712v1_random_region	176043	2238	0.01	0	1
chr1_KI270766v1_alt	256271	300	0.00	0	1
chr1_KI270766v1_alt_region	256271	300	0.00	0	1
chr2	242193529	129770	0.00	0	6
chr2_region	242193529	129770	0.00	0	6
chr2_GL383521v1_alt	143390	150	0.00	0	1
chr2_GL383521v1_alt_region	143390	150	0.00	0	1
chr2_KI270768v1_alt	110099	5331	0.05	0	2
chr2_KI270768v1_alt_region	110099	5331	0.05	0	2
chr2_KI270772v1_alt	133041	993	0.01	0	1
chr2_KI270772v1_alt_region	133041	993	0.01	0	1
chr2_KI270894v1_alt	214158	1330	0.01	0	1
chr2_KI270894v1_alt_region	214158	1330	0.01	0	1
chr3	198295559	40872	0.00	0	3
chr3_region	198295559	40872	0.00	0	3
chr3_GL000221v1_random	155397	36540	0.24	0	7
chr3_GL000221v1_random_region	155397	36540	0.24	0	7
chr3_KI270784v1_alt	184404	748	0.00	0	1
chr3_KI270784v1_alt_region	184404	748	0.00	0	1
chr4	190214555	62106	0.00	0	5
chr4_region	190214555	62106	0.00	0	5
chr4_GL000008v2_random	209709	37605	0.18	0	6
chr4_GL000008v2_random_region	209709	37605	0.18	0	6
chr4_KI270786v1_alt	244096	585	0.00	0	1
chr4_KI270786v1_alt_region	244096	585	0.00	0	1
chr4_KI270896v1_alt	378547	2536	0.01	0	2
chr4_KI270896v1_alt_region	378547	2536	0.01	0	2
chr4_KI270925v1_alt	555799	150	0.00	0	1
chr4_KI270925v1_alt_region	555799	150	0.00	0	1
chr5	181538259	23623	0.00	0	2
chr5_region	181538259	23623	0.00	0	2
chr5_KI270897v1_alt	1144418	298	0.00	0	1
chr5_KI270897v1_alt_region	1144418	298	0.00	0	1
chr6	170805979	23913	0.00	0	4
chr6_region	170805979	23913	0.00	0	4
chr6_GL000251v2_alt	4795265	600	0.00	0	1
chr6_GL000251v2_alt_region	4795265	600	0.00	0	1
chr6_GL000252v2_alt	4604811	150	0.00	0	1
