rank	gene_id	gene_symbol	annotated_transcripts	active_transcripts	count_a	count_b	tpm_a	tpm_b	tv_count	tv_tpm	js_count	g_stat	max_share_shift	robust_score
1	ENSG00000203970.4	DEFB110	2	2	198.000000	202.000000	110232.644489	6640.131914	1.000000	1.000000	1.000000	554.477744	1.000000	14.071247
2	ENSG00000161016.18	RPL8	14	6	213.001000	189.000000	2375.951580	1467.136686	1.000000	1.000000	1.000000	555.857915	0.609825	13.747727
3	ENSG00000072274.14	TFRC	38	5	200.000000	185.000000	181.362435	187.222269	0.913855	0.914184	0.840101	446.879832	0.913855	12.429772
4	ENSG00000086758.17	HUWE1	19	5	127.000000	132.000000	48.962118	48.376762	1.000000	1.000000	1.000000	358.953708	0.987970	11.269428
5	ENSG00000111669.15	TPI1	10	3	213.000000	198.000000	776.574661	865.854440	0.785507	0.769172	0.593437	335.136237	0.785507	10.823212
6	ENSG00000196924.19	FLNA	21	5	123.000000	112.000000	102.429143	183.698490	1.000000	1.000000	1.000000	325.264093	0.956325	10.583005
7	ENSG00000156508.19	EEF1A1	23	7	3432.863000	3429.000000	9678.844774	10746.166347	0.178301	0.176191	0.037014	352.070898	0.155631	10.317338
8	ENSG00000030419.17	IKZF2	14	5	140.000000	103.000000	95.652175	84.633490	1.000000	1.000000	1.000000	331.213812	0.977971	10.148892
9	ENSG00000152601.18	MBNL1	24	9	96.000000	121.996000	102.290970	132.133220	1.000000	1.000000	1.000000	299.099216	0.708712	9.797959
10	ENSG00000174748.22	RPL15	16	8	297.000000	273.000000	1844.939471	1679.223290	0.575801	0.842338	0.492940	388.389322	0.289018	9.513787
11	ENSG00000087460.29	GNAS	77	8	139.000000	122.000000	510.771599	485.933618	0.858755	0.871313	0.771482	279.584199	0.568730	9.485259
12	ENSG00000009307.17	CSDE1	53	6	183.000000	182.000000	405.030297	261.792704	0.692000	0.756000	0.623417	315.494052	0.472596	9.335590
13	ENSG00000198242.14	RPL23A	9	4	180.641000	193.736000	2324.732665	2552.614095	0.685825	0.670941	0.479592	246.468905	0.685825	9.017635
14	ENSG00000254087.8	LYN	4	3	83.000000	78.000000	160.019297	67.041919	1.000000	1.000000	1.000000	223.038088	1.000000	8.831761
15	ENSG00000153827.15	TRIP12	30	10	78.000000	92.000000	160.001297	71.759104	1.000000	1.000000	1.000000	234.515793	0.434885	8.831761
16	ENSG00000122218.17	COPA	35	6	80.000000	77.001000	80.440935	96.842807	1.000000	1.000000	1.000000	217.592311	0.904412	8.775021
17	ENSG00000171848.16	RRM2	17	3	77.000000	90.000000	110.579883	209.316370	1.000000	1.000000	1.000000	230.498158	1.000000	8.774964
18	ENSG00000111642.16	CHD4	54	6	78.000000	71.000000	65.835718	62.156903	1.000000	1.000000	1.000000	206.228880	0.694296	8.426150
19	ENSG00000168394.13	TAP1	11	4	69.928000	76.516000	156.045957	159.560109	1.000000	1.000000	1.000000	202.718020	0.960231	8.362296
20	ENSG00000167986.15	DDB1	45	3	65.000000	80.000000	118.392454	96.764460	1.000000	1.000000	1.000000	199.458179	1.000000	8.062258
21	ENSG00000149428.21	HYOU1	29	2	65.000000	67.000000	66.458399	78.791857	1.000000	1.000000	1.000000	182.960551	1.000000	8.062258
22	ENSG00000110367.14	DDX6	7	2	63.000000	72.000000	46.111004	59.189625	1.000000	1.000000	1.000000	186.549294	1.000000	7.937254
23	ENSG00000196305.19	IARS1	42	4	63.000000	63.000000	64.291789	106.680275	1.000000	1.000000	1.000000	174.673090	1.000000	7.937254
24	ENSG00000081189.17	MEF2C	57	8	63.000000	65.999000	63.855664	205.172863	1.000000	1.000000	1.000000	178.760859	0.732937	7.937254
25	ENSG00000111679.17	PTPN6	23	3	63.000000	64.000000	142.410855	160.981391	1.000000	1.000000	1.000000	176.051510	1.000000	7.937254
26	ENSG00000143933.20	CALM2	14	4	91.000000	64.000000	392.399787	332.075690	0.987253	0.996998	0.984952	206.943237	0.987253	7.898022
27	ENSG00000120899.18	PTK2B	17	6	69.000000	62.000000	134.817173	275.284849	1.000000	1.000000	1.000000	181.230337	0.953661	7.874008
28	ENSG00000213585.11	VDAC1	7	4	90.000000	106.000000	259.832558	321.395145	0.832028	0.828064	0.654856	174.315404	0.815839	7.855704
29	ENSG00000155660.11	PDIA4	4	3	61.000000	88.000000	104.746423	168.943751	1.000000	1.000000	1.000000	201.638108	1.000000	7.810250
30	ENSG00000100503.27	NIN	31	7	71.000000	60.000000	45.105147	113.359012	1.000000	1.000000	1.000000	180.679809	0.817521	7.745967
31	ENSG00000165732.14	DDX21	12	2	82.000000	57.000000	80.249947	62.371827	1.000000	1.000000	1.000000	188.173952	1.000000	7.549834
32	ENSG00000168066.22	SF1	24	7	56.000000	67.999000	89.574063	245.053193	1.000000	1.000000	1.000000	170.736189	0.821268	7.483315
33	ENSG00000198624.13	CCDC69	8	3	66.000000	55.000000	90.567513	95.579457	1.000000	1.000000	1.000000	166.740236	1.000000	7.416198
34	ENSG00000117523.18	PRRC2C	13	4	55.000000	57.000000	28.913924	64.237720	1.000000	1.000000	1.000000	155.229252	0.982456	7.416198
35	ENSG00000106682.16	EIF4H	14	5	74.000000	89.000000	154.781879	180.794968	0.858854	0.859461	0.775567	173.124704	0.841101	7.388141
36	ENSG00000101109.13	STK4	17	7	66.000000	54.001000	49.511663	99.123471	1.000000	1.000000	1.000000	165.154912	0.972758	7.348537
37	ENSG00000115415.21	STAT1	41	11	354.001000	351.000000	420.682092	535.086994	0.390650	0.500390	0.322221	315.050963	0.156063	7.318817
38	ENSG00000134333.15	LDHA	23	5	397.000000	385.001000	1182.526065	1347.843004	0.371866	0.401842	0.228088	247.106233	0.206254	7.296552
39	ENSG00000081237.21	PTPRC	23	5	63.000000	52.000000	58.993338	77.619679	1.000000	1.000000	1.000000	158.370067	0.823865	7.211103
40	ENSG00000152332.16	UHMK1	4	3	52.000000	65.000000	27.148826	39.494209	1.000000	1.000000	1.000000	160.749009	1.000000	7.211103
41	ENSG00000108946.17	PRKAR1A	25	5	60.001000	52.000000	173.009651	70.823239	1.000000	1.000000	1.000000	154.694301	0.815981	7.211103
42	ENSG00000118503.18	TNFAIP3	9	3	77.000000	80.000000	78.036471	87.085834	0.810182	0.817736	0.623305	136.146001	0.810182	7.109317
43	ENSG00000100714.18	MTHFD1	34	6	49.897000	53.000000	82.965180	91.340561	1.000000	1.000000	1.000000	142.551941	0.625736	7.063781
44	ENSG00000197102.14	DYNC1H1	64	2	53.000000	49.000000	16.308084	17.053917	1.000000	1.000000	1.000000	141.245122	1.000000	7.000000
45	ENSG00000112697.17	TMEM30A	9	2	49.000000	50.000000	50.784549	59.789349	1.000000	1.000000	1.000000	137.233041	1.000000	7.000000
46	ENSG00000165119.22	HNRNPK	34	8	197.000000	208.000000	420.218832	514.662547	0.551284	0.498180	0.545967	306.405609	0.376933	6.992293
47	ENSG00000092199.19	HNRNPC	32	11	142.000000	149.143000	570.831020	563.036573	0.586058	0.744498	0.471464	190.699876	0.304507	6.983689
48	ENSG00000055332.19	EIF2AK2	14	4	49.000000	48.000000	58.052327	56.392284	1.000000	1.000000	1.000000	134.460244	0.804224	6.928203
49	ENSG00000070756.17	PABPC1	39	7	365.000000	323.000000	700.290287	750.039158	0.383312	0.397797	0.310571	296.396951	0.325319	6.888965
50	ENSG00000119487.17	MAPKAP1	20	7	54.000000	59.000000	281.612537	388.544380	0.937220	0.937246	0.869721	135.723521	0.542220	6.887135
51	ENSG00000109320.14	NFKB1	25	4	57.000000	47.000000	69.764797	80.308615	1.000000	1.000000	1.000000	143.211588	0.868140	6.855655
52	ENSG00000121210.16	TMEM131L	8	3	52.000000	46.000000	50.287680	46.736766	1.000000	1.000000	1.000000	135.489271	1.000000	6.782330
53	ENSG00000197694.19	SPTAN1	46	6	46.000000	63.001000	29.611841	191.081067	1.000000	1.000000	1.000000	148.444951	0.869152	6.782330
54	ENSG00000182944.18	EWSR1	22	6	51.000000	47.999000	101.833174	122.775311	0.977725	0.983831	0.974647	133.667419	0.977725	6.773810
55	ENSG00000101265.16	RASSF2	3	2	48.000000	45.000000	40.340507	43.213014	1.000000	1.000000	1.000000	128.828585	1.000000	6.708204
56	ENSG00000007168.14	PAFAH1B1	30	4	50.000000	45.000000	108.808014	61.847934	1.000000	1.000000	1.000000	131.434685	0.921467	6.708204
57	ENSG00000107263.19	RAPGEF1	8	4	49.005000	45.000000	84.349765	37.266133	1.000000	1.000000	1.000000	130.147920	1.000000	6.708204
58	ENSG00000114867.22	EIF4G1	40	4	103.999000	94.000000	98.479299	95.443134	0.691295	0.717151	0.528001	143.323401	0.486901	6.702355
59	ENSG00000103018.18	CYB5B	17	6	47.000000	44.001000	119.810883	186.917513	1.000000	1.000000	1.000000	126.055321	0.768660	6.633325
60	ENSG00000104320.15	NBN	38	6	44.000000	45.999000	73.717866	49.648375	1.000000	1.000000	1.000000	124.720702	0.941955	6.633250
61	ENSG00000198961.10	PJA2	4	3	47.000000	44.000000	72.599836	46.160597	1.000000	1.000000	1.000000	126.053868	1.000000	6.633250
62	ENSG00000005810.20	MYCBP2	29	9	63.999000	67.999000	48.192544	41.215874	0.893826	0.820642	0.861990	157.722500	0.724614	6.565081
63	ENSG00000184432.11	COPB2	18	4	57.000000	43.000000	80.705607	69.435638	1.000000	1.000000	1.000000	136.662983	0.874561	6.557439
64	ENSG00000011304.22	PTBP1	24	4	48.000000	45.000000	70.649981	69.715501	0.970167	0.980150	0.969409	124.886104	0.970167	6.508076
65	ENSG00000187239.19	FNBP1	13	7	222.000000	224.001000	371.728434	357.225817	0.489458	0.435191	0.344290	212.655834	0.324238	6.484199
66	ENSG00000084623.12	EIF3I	44	6	42.000000	44.000000	199.289895	183.553139	1.000000	1.000000	1.000000	119.174799	0.854977	6.480741
67	ENSG00000160789.24	LMNA	42	6	45.000000	42.000000	80.594733	215.788546	1.000000	1.000000	1.000000	120.504141	0.828714	6.480741
68	ENSG00000082898.19	XPO1	55	4	86.999000	82.000000	90.023507	103.942885	0.713571	0.747625	0.634525	148.276448	0.595903	6.461664
69	ENSG00000116133.13	DHCR24	12	2	41.000000	51.000000	44.466893	61.997720	1.000000	1.000000	1.000000	126.449974	1.000000	6.403124
70	ENSG00000020633.19	RUNX3	5	3	41.000000	46.000000	45.146988	55.005258	1.000000	1.000000	1.000000	120.320095	1.000000	6.403124
71	ENSG00000244038.11	DDOST	5	2	62.861000	56.950000	158.077999	146.691978	0.841810	0.855145	0.666892	109.561696	0.841810	6.352736
