initial_gene_rank	gene_id	gene_symbol	transcript_id	sequence_length	unique_kmers	unique_support_a	unique_support_b
1	ENSG00000203970.4	DEFB110	ENST00000371148.3	397	339	0	202
1	ENSG00000203970.4	DEFB110	ENST00000393660.2	189	131	198	0
2	ENSG00000161016.18	RPL8	ENST00000527914.5	551	26	1	1
2	ENSG00000161016.18	RPL8	ENST00000532702.1	745	28	1	0
2	ENSG00000161016.18	RPL8	ENST00000262584.7	1041	164	0	0
2	ENSG00000161016.18	RPL8	ENST00000394920.6	965	28	0	0
2	ENSG00000161016.18	RPL8	ENST00000525232.5	1007	199	0	0
2	ENSG00000161016.18	RPL8	ENST00000526668.5	717	43	0	0
2	ENSG00000161016.18	RPL8	ENST00000528296.5	540	26	0	0
2	ENSG00000161016.18	RPL8	ENST00000528957.6	1070	121	0	0
2	ENSG00000161016.18	RPL8	ENST00000529163.5	556	22	0	0
2	ENSG00000161016.18	RPL8	ENST00000529920.5	876	52	0	0
2	ENSG00000161016.18	RPL8	ENST00000531767.1	570	0	0	0
2	ENSG00000161016.18	RPL8	ENST00000531975.5	698	0	0	0
2	ENSG00000161016.18	RPL8	ENST00000533397.5	730	21	0	0
2	ENSG00000161016.18	RPL8	ENST00000534781.1	716	341	0	0
3	ENSG00000072274.14	TFRC	ENST00000698275.1	3332	1099	37	34
3	ENSG00000072274.14	TFRC	ENST00000698292.1	6872	909	18	21
3	ENSG00000072274.14	TFRC	ENST00000483983.6	3943	471	15	10
3	ENSG00000072274.14	TFRC	ENST00000698276.1	3819	762	11	12
3	ENSG00000072274.14	TFRC	ENST00000698277.1	4627	728	9	6
3	ENSG00000072274.14	TFRC	ENST00000464368.1	569	184	4	7
3	ENSG00000072274.14	TFRC	ENST00000698295.1	2322	718	0	2
3	ENSG00000072274.14	TFRC	ENST00000698279.1	4432	184	1	0
3	ENSG00000072274.14	TFRC	ENST00000360110.9	5012	0	0	0
3	ENSG00000072274.14	TFRC	ENST00000392396.7	5032	0	0	0
3	ENSG00000072274.14	TFRC	ENST00000420415.5	4814	26	0	0
3	ENSG00000072274.14	TFRC	ENST00000421258.1	524	26	0	0
3	ENSG00000072274.14	TFRC	ENST00000426789.6	2723	487	0	0
3	ENSG00000072274.14	TFRC	ENST00000463047.1	549	258	0	0
3	ENSG00000072274.14	TFRC	ENST00000463356.5	533	249	0	0
3	ENSG00000072274.14	TFRC	ENST00000464011.1	546	235	0	0
3	ENSG00000072274.14	TFRC	ENST00000465288.5	560	29	0	0
3	ENSG00000072274.14	TFRC	ENST00000475593.6	6585	0	0	0
3	ENSG00000072274.14	TFRC	ENST00000477148.2	6377	0	0	0
3	ENSG00000072274.14	TFRC	ENST00000482479.1	540	321	0	0
3	ENSG00000072274.14	TFRC	ENST00000491658.2	5125	0	0	0
3	ENSG00000072274.14	TFRC	ENST00000698274.1	3569	1334	0	0
3	ENSG00000072274.14	TFRC	ENST00000698278.1	4456	0	0	0
3	ENSG00000072274.14	TFRC	ENST00000698280.1	5400	439	0	0
3	ENSG00000072274.14	TFRC	ENST00000698281.1	5367	57	0	0
3	ENSG00000072274.14	TFRC	ENST00000698282.1	4905	0	0	0
3	ENSG00000072274.14	TFRC	ENST00000698283.1	5113	0	0	0
3	ENSG00000072274.14	TFRC	ENST00000698284.1	5285	0	0	0
3	ENSG00000072274.14	TFRC	ENST00000698285.1	4610	0	0	0
3	ENSG00000072274.14	TFRC	ENST00000698286.1	4822	0	0	0
3	ENSG00000072274.14	TFRC	ENST00000698287.1	5428	0	0	0
3	ENSG00000072274.14	TFRC	ENST00000698288.1	5117	0	0	0
3	ENSG00000072274.14	TFRC	ENST00000698289.1	6000	729	0	0
3	ENSG00000072274.14	TFRC	ENST00000698290.1	4786	26	0	0
3	ENSG00000072274.14	TFRC	ENST00000698291.1	4991	30	0	0
