gene_rank	gene_id	gene_symbol	transcript_id	count_a	count_b	share_a	share_b	share_shift	tpm_a	tpm_b	tpm_share_a	tpm_share_b
1	ENSG00000203970.4	DEFB110	ENST00000393660.2	198.000000	0.000000	1.000000	0.000000	1.000000	110232.644489	0.000000	1.000000	0.000000
1	ENSG00000203970.4	DEFB110	ENST00000371148.3	0.000000	202.000000	0.000000	1.000000	-1.000000	0.000000	6640.131914	0.000000	1.000000
2	ENSG00000161016.18	RPL8	ENST00000262584.7	0.000000	115.257000	0.000000	0.609825	-0.609825	0.000000	704.099668	0.000000	0.479914
2	ENSG00000161016.18	RPL8	ENST00000526668.5	0.000000	73.743000	0.000000	0.390175	-0.390175	0.000000	763.037018	0.000000	0.520086
2	ENSG00000161016.18	RPL8	ENST00000532702.1	80.624000	0.000000	0.378515	0.000000	0.378515	703.592591	0.000000	0.296131	0.000000
2	ENSG00000161016.18	RPL8	ENST00000529163.5	46.583000	0.000000	0.218699	0.000000	0.218699	657.612990	0.000000	0.276779	0.000000
2	ENSG00000161016.18	RPL8	ENST00000531975.5	45.978000	0.000000	0.215858	0.000000	0.215858	443.333908	0.000000	0.186592	0.000000
2	ENSG00000161016.18	RPL8	ENST00000527914.5	39.816000	0.000000	0.186929	0.000000	0.186929	571.412091	0.000000	0.240498	0.000000
3	ENSG00000072274.14	TFRC	ENST00000360110.9	182.771000	0.000000	0.913855	0.000000	0.913855	165.798681	0.000000	0.914184	0.000000
3	ENSG00000072274.14	TFRC	ENST00000698291.1	0.000000	110.048000	0.000000	0.594854	-0.594854	0.000000	112.164038	0.000000	0.599096
3	ENSG00000072274.14	TFRC	ENST00000392396.7	17.229000	69.016000	0.086145	0.373059	-0.286914	15.563754	69.740317	0.085816	0.372500
3	ENSG00000072274.14	TFRC	ENST00000491658.2	0.000000	3.458000	0.000000	0.018692	-0.018692	0.000000	3.427718	0.000000	0.018308
3	ENSG00000072274.14	TFRC	ENST00000475593.6	0.000000	2.478000	0.000000	0.013395	-0.013395	0.000000	1.890196	0.000000	0.010096
4	ENSG00000086758.17	HUWE1	ENST00000262854.11	0.000000	130.412000	0.000000	0.987970	-0.987970	0.000000	43.517301	0.000000	0.899550
4	ENSG00000086758.17	HUWE1	ENST00000612484.4	114.109000	0.000000	0.898496	0.000000	0.898496	35.056307	0.000000	0.715988	0.000000
4	ENSG00000086758.17	HUWE1	ENST00000704099.1	11.845000	0.000000	0.093268	0.000000	0.093268	3.585124	0.000000	0.073222	0.000000
4	ENSG00000086758.17	HUWE1	ENST00000704100.1	0.000000	1.588000	0.000000	0.012030	-0.012030	0.000000	4.859461	0.000000	0.100450
4	ENSG00000086758.17	HUWE1	ENST00000622887.1	1.046000	0.000000	0.008236	0.000000	0.008236	10.320687	0.000000	0.210789	0.000000
5	ENSG00000111669.15	TPI1	ENST00000613953.4	167.313000	0.000000	0.785507	0.000000	0.785507	597.319617	0.000000	0.769172	0.000000
5	ENSG00000111669.15	TPI1	ENST00000396705.10	45.687000	195.367000	0.214493	0.986702	-0.772209	179.255044	857.444337	0.230828	0.990287
5	ENSG00000111669.15	TPI1	ENST00000229270.8	0.000000	2.633000	0.000000	0.013298	-0.013298	0.000000	8.410103	0.000000	0.009713
