initial_rank	gene_id	gene_symbol	transcripts	unique_support_a	unique_support_b	unique_kmer_tv
1	ENSG00000203970.4	DEFB110	2	198	202	1.000000
30	ENSG00000100503.27	NIN	31	141	141	0.113475
16	ENSG00000122218.17	COPA	35	54	44	0.266835
3	ENSG00000072274.14	TFRC	38	95	92	0.109153
18	ENSG00000111642.16	CHD4	54	45	33	0.254545
22	ENSG00000110367.14	DDX6	7	55	73	0.139975
10	ENSG00000174748.22	RPL15	16	34	36	0.119281
20	ENSG00000167986.15	DDB1	45	18	19	0.169591
26	ENSG00000143933.20	CALM2	14	13	10	0.284615
23	ENSG00000196305.19	IARS1	42	24	23	0.123188
9	ENSG00000152601.18	MBNL1	24	7	8	0.357143
19	ENSG00000168394.13	TAP1	11	17	9	0.235294
7	ENSG00000156508.19	EEF1A1	23	40	34	0.050000
4	ENSG00000086758.17	HUWE1	19	3	1	1.000000
8	ENSG00000030419.17	IKZF2	14	1	1	1.000000
11	ENSG00000087460.29	GNAS	77	3	3	0.333333
24	ENSG00000081189.17	MEF2C	57	1	2	1.000000
27	ENSG00000120899.18	PTK2B	17	6	7	0.166667
2	ENSG00000161016.18	RPL8	14	2	1	0.500000
28	ENSG00000213585.11	VDAC1	7	8	7	0.017857
5	ENSG00000111669.15	TPI1	10	0	1	0.000000
6	ENSG00000196924.19	FLNA	21	0	0	0.000000
12	ENSG00000009307.17	CSDE1	53	8	18	0.000000
13	ENSG00000198242.14	RPL23A	9	3	6	0.000000
14	ENSG00000254087.8	LYN	4	2	0	0.000000
15	ENSG00000153827.15	TRIP12	30	11	7	0.000000
17	ENSG00000171848.16	RRM2	17	21	24	0.000000
21	ENSG00000149428.21	HYOU1	29	0	0	0.000000
25	ENSG00000111679.17	PTPN6	23	0	0	0.000000
29	ENSG00000155660.11	PDIA4	4	0	3	0.000000
