metric	value
rna_input_rows	29165
gtf_gene_records	62700
gtf_gene_names	61228
atac_input_rows_with_parseable_bins	295420
rna_gene_names_with_gtf_tss	20402
candidate_tss_and_promoter_bins	71612
atac_candidate_bins_found	71389
tss_bin_log_z_usable_feature_pairs	20261
tss_bin_rank_usable_feature_pairs	20261
promoter_pm10kb_log_z_usable_feature_pairs	20290
promoter_pm10kb_rank_usable_feature_pairs	20290
promoter_pm20kb_log_z_usable_feature_pairs	20291
promoter_pm20kb_rank_usable_feature_pairs	20291

chromosome	rna_tss_records
chr1	2084
chr10	813
chr11	1200
chr12	1076
chr13	444
chr14	642
chr15	619
chr16	854
chr17	1141
chr18	314
chr19	1384
chr2	1367
chr20	554
chr21	245
chr22	463
chr3	1231
chr4	819
chr5	973
chr6	1021
chr7	911
chr8	687
chr9	755
chrM	13
chrX	773
chrY	19
