#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant
ABCA1	ENSG00000165029	ENST00000374736	protein_coding	0	0	1	1	0	0	1	1	0	0	0
ABCA1	ENSG00000165029	ENST00000678995	protein_coding	0	0	1	1	0	0	1	1	0	0	0
ABCA2	ENSG00000107331	ENST00000341511	protein_coding	0	1	0	2	0	0	2	0	0	0	1
ABCA2	ENSG00000107331	ENST00000371605	protein_coding	0	1	0	2	0	0	2	0	0	0	1
ABCA2	ENSG00000107331	ENST00000490486	protein_coding	0	0	0	2	0	0	2	0	0	0	0
ABCA2	ENSG00000107331	ENST00000614293	protein_coding	0	1	0	2	0	0	2	0	0	0	1
ABCA2	ENSG00000107331	ENST00000970112	protein_coding	0	1	0	2	0	0	2	0	0	0	1
ABCA2	ENSG00000107331	ENST00000970113	protein_coding	0	1	0	2	0	0	2	0	0	0	1
ADAMTSL1	ENSG00000178031	ENST00000380548	protein_coding	0	0	1	0	0	0	0	1	0	0	0
ADAMTSL1	ENSG00000178031	ENST00000680146	protein_coding	0	0	1	0	0	0	0	1	0	0	0
ADAMTSL1	ENSG00000178031	ENST00000872893	protein_coding	0	0	1	0	0	0	0	1	0	0	0
ADAMTSL2	ENSG00000197859	ENST00000354484	protein_coding	0	3	0	0	0	0	0	0	0	0	3
ADAMTSL2	ENSG00000197859	ENST00000393060	protein_coding	0	3	0	0	0	0	0	0	0	0	3
ADAMTSL2	ENSG00000197859	ENST00000393061	protein_coding	0	3	0	0	0	0	0	0	0	0	3
ADAMTSL2	ENSG00000197859	ENST00000651351	protein_coding	0	3	0	0	0	0	0	0	0	0	3
ADAMTSL2	ENSG00000197859	ENST00000857364	protein_coding	0	3	0	0	0	0	0	0	0	0	3
ADAMTSL2	ENSG00000197859	ENST00000857365	protein_coding	0	3	0	0	0	0	0	0	0	0	3
ADAMTSL2	ENSG00000197859	ENST00000857366	protein_coding	0	3	0	0	0	0	0	0	0	0	3
ADAMTSL2	ENSG00000197859	ENST00000952998	protein_coding	0	3	0	0	0	0	0	0	0	0	3
ADAMTSL2	ENSG00000197859	ENST00000952999	protein_coding	0	3	0	0	0	0	0	0	0	0	3
ADAMTSL2	ENSG00000197859	ENST00000953000	protein_coding	0	3	0	0	0	0	0	0	0	0	3
ADAMTSL2	ENSG00000197859	ENST00000953001	protein_coding	0	3	0	0	0	0	0	0	0	0	3
