winner	HIS

group	aggregate_score
HIS	65.30463047
EUR	62.62567858
SAS	55.87678479
AFR	52.08222487
EAS	48.81478980

locus	lead_rsid	lead_pos	lead_p	matched_variants	group	corr_logp_r2	top_signal_mean_r2	n_scored
1	.	17311190	3.0022e-19	369	EAS	0.91741460	0.64053362	339
1	.	17311190	3.0022e-19	369	HIS	0.91242110	0.64526488	367
1	.	17311190	3.0022e-19	369	EUR	0.90330846	0.53841990	348
1	.	17311190	3.0022e-19	369	SAS	0.85576217	0.41349403	347
1	.	17311190	3.0022e-19	369	AFR	0.65286714	0.26520215	368
2	.	172122601	4.23089e-16	525	EUR	0.81707760	0.36589895	500
2	.	172122601	4.23089e-16	525	HIS	0.71975983	0.28911521	520
2	.	172122601	4.23089e-16	525	SAS	0.61708445	0.18389988	485
2	.	172122601	4.23089e-16	525	AFR	0.56066118	0.17053977	520
2	.	172122601	4.23089e-16	525	EAS	0.47285703	0.18328229	462
3	.	218624533	4.03809e-11	536	HIS	0.67480815	0.47267677	530
3	.	218624533	4.03809e-11	536	EUR	0.64627447	0.46282027	520
3	.	218624533	4.03809e-11	536	EAS	0.63056627	0.41202413	467
3	.	218624533	4.03809e-11	536	SAS	0.60215068	0.41958674	485
3	.	218624533	4.03809e-11	536	AFR	0.57651882	0.30635891	532
4	.	53514728	6.62829e-10	545	HIS	0.60985932	0.35053616	536
4	.	53514728	6.62829e-10	545	SAS	0.53887204	0.24946634	481
4	.	53514728	6.62829e-10	545	AFR	0.53572654	0.23825736	544
4	.	53514728	6.62829e-10	545	EUR	0.49543508	0.25526615	506
4	.	53514728	6.62829e-10	545	EAS	0.30609109	0.24722614	472
