winner	HIS

group	aggregate_score
HIS	195.48008311
EUR	180.70090527
SAS	164.52488665
EAS	151.21930466
AFR	143.73083831

rank	lead_rsid	lead_pos	matched_variants	group	corr_logp_r2	top_signal_mean_r2	n_scored
1	.	17311190	369	EAS	0.91741460	0.62928338	339
1	.	17311190	369	HIS	0.91242110	0.63991694	367
1	.	17311190	369	EUR	0.90330846	0.55267950	348
1	.	17311190	369	SAS	0.85576217	0.42503408	347
1	.	17311190	369	AFR	0.65286714	0.25541026	368
2	.	172122601	525	EUR	0.81707760	0.40110077	500
2	.	172122601	525	HIS	0.71975983	0.33502850	520
2	.	172122601	525	SAS	0.61708445	0.22389110	485
2	.	172122601	525	AFR	0.56066118	0.18975548	520
2	.	172122601	525	EAS	0.47285703	0.22821234	462
3	.	218624533	536	HIS	0.67480815	0.54609840	530
3	.	218624533	536	EUR	0.64627447	0.55730363	520
3	.	218624533	536	EAS	0.63056627	0.48210289	467
3	.	218624533	536	SAS	0.60215068	0.50855866	485
3	.	218624533	536	AFR	0.57651882	0.38203817	532
4	.	53514728	545	HIS	0.60985932	0.42922743	536
4	.	53514728	545	SAS	0.53887204	0.29234949	481
4	.	53514728	545	AFR	0.53572654	0.27978983	544
4	.	53514728	545	EUR	0.49543508	0.30540183	506
4	.	53514728	545	EAS	0.30609109	0.30427952	472
5	.	103551918	301	EUR	0.85531172	0.55833579	268
5	.	103551918	301	HIS	0.82764276	0.67992525	298
5	.	103551918	301	SAS	0.76491784	0.51938288	246
5	.	103551918	301	EAS	0.73749667	0.81754731	219
5	.	103551918	301	AFR	0.45327675	0.16391747	300
6	.	168737147	651	HIS	0.54206763	0.20605459	648
6	.	168737147	651	SAS	0.46520246	0.16536375	588
6	.	168737147	651	EUR	0.45848381	0.13635215	625
6	.	168737147	651	EAS	0.44114010	0.15817126	577
6	.	168737147	651	AFR	0.26370058	0.07177943	648
7	.	41744821	484	EUR	0.71642585	0.63420923	452
7	.	41744821	484	HIS	0.70369040	0.64240694	479
7	.	41744821	484	SAS	0.59130078	0.37140619	443
7	.	41744821	484	AFR	0.58379309	0.41501903	480
7	.	41744821	484	EAS	0.49740199	0.28124085	411
8	.	149906413	219	EAS	0.89462010	0.30906754	133
8	.	149906413	219	SAS	0.88174518	0.21719162	142
8	.	149906413	219	HIS	0.87233277	0.19511027	213
8	.	149906413	219	EUR	0.86282961	0.20565102	169
8	.	149906413	219	AFR	0.67321837	0.09806391	209
9	.	176802766	459	HIS	0.80813017	0.58603451	455
9	.	176802766	459	EAS	0.75975801	0.81682142	395
9	.	176802766	459	AFR	0.59924628	0.29966708	457
9	.	176802766	459	EUR	0.58097093	0.46782866	434
9	.	176802766	459	SAS	0.51782182	0.54666384	417
10	.	118862669	426	HIS	0.81372889	0.37404095	421
10	.	118862669	426	EUR	0.81046516	0.48833315	400
10	.	118862669	426	SAS	0.80681772	0.46140088	384
10	.	118862669	426	EAS	0.77837650	0.35246871	371
10	.	118862669	426	AFR	0.75414997	0.34435617	418
11	.	89029331	459	HIS	0.85687980	0.52000215	455
11	.	89029331	459	EUR	0.78811868	0.37492233	429
11	.	89029331	459	SAS	0.75640690	0.29304810	396
11	.	89029331	459	EAS	0.47069765	0.13592621	381
11	.	89029331	459	AFR	0.32706866	0.08220573	456
12	.	184023529	582	EUR	0.77518843	0.45316404	540
12	.	184023529	582	EAS	0.76814370	0.53006499	528
12	.	184023529	582	SAS	0.76625354	0.44980229	538
12	.	184023529	582	HIS	0.74644504	0.40283408	578
12	.	184023529	582	AFR	0.72271198	0.37188879	578
