#Genome	Organism	Status	Bundle
GRCh38.115	Homo_sapiens		
GRCh38.86	GRCh38.86		
GRCh38.99	Homo_sapiens		
GRCh38.mane.0.95.ensembl	HumangenomeGRCh38,usingMANEtranscriptsv0.95,EnsemblIDs		
GRCh38.mane.0.95.refseq	HumangenomeGRCh38,usingMANEtranscriptsv0.95,RefSeqIDs		
GRCh38.mane.1.0.ensembl	HumangenomeGRCh38,usingMANEtranscriptsv1.0,EnsemblIDs		
GRCh38.mane.1.0.refseq	HumangenomeGRCh38,usingMANEtranscriptsv1.0,RefSeqIDs		
GRCh38.mane.1.2.ensembl	HumangenomeGRCh38,usingMANEtranscriptsv1.2,EnsemblIDs		
GRCh38.mane.1.2.refseq	HumangenomeGRCh38,usingMANEtranscriptsv1.2,RefSeqIDs		
GRCh38.mane.1.5.ensembl	HumangenomeGRCh38,usingMANEtranscriptsv1.5,EnsemblIDs		
GRCh38.mane.1.5.refseq	HumangenomeGRCh38,usingMANEtranscriptsv1.5,RefSeqIDs		
GRCh38.p13	HumangenomeGRCh38usingRefSeqtranscripts		
GRCh38.p14	HumangenomeGRCh38usingRefSeqtranscripts		
test_GRCh38.mane.1.0.ensembl.chr19	GRCh38MANE1.0chr19		
test_GRCh38.mane.1.0.ensembl.chr21	GRCh38MANE1.0chr21		
test_GRCh38.mane.1.0.refseq.chr19	GRCh38MANE1.0chr19		
test_GRCh38.mane.1.0.refseq.chr21	GRCh38MANE1.0chr21		
test_GRCh38.mane.1.2.ensembl.chr1	GRCh38MANE1.2chr1		
