ENTREZID	SYMBOL	GENENAME
91433	RCCD1	RCC1 domain containing 1
9314	KLF4	KLF transcription factor 4
7916	PRRC2A	proline rich coiled-coil 2A
100132815	IPO5P1	importin 5 pseudogene 1
6414	SELENOP	selenoprotein P
648	BMI1	BMI1 proto-oncogene, polycomb ring finger
23109	DDN	dendrin
63895	PIEZO2	piezo type mechanosensitive ion channel component 2
54522	ANKRD16	ankyrin repeat domain 16
3995	FADS3	fatty acid desaturase 3
6261	RYR1	ryanodine receptor 1
9586	CREB5	cAMP responsive element binding protein 5
169841	ZNF169	zinc finger protein 169
3953	LEPR	leptin receptor
55315	SLC29A3	solute carrier family 29 member 3
63982	ANO3	anoctamin 3
5463	POU6F1	POU class 6 homeobox 1
147965	FAM98C	family with sequence similarity 98 member C
3797	KIF3C	kinesin family member 3C
58494	JAM2	junctional adhesion molecule 2
