#column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	outliers	A_Count	C_Count	G_Count	T_Count	N_Count	other_bases	other_base_count
1	1471997	11	37	49886003	33.890017	32.000000	32.000000	37.000000	5.000000	25	37	11,12,14,21	407410	386002	328260	350325	0		
2	1471997	11	37	49965217	33.943831	32.000000	32.000000	37.000000	5.000000	25	37	11,12,14,21	334785	375502	343223	418487	0		
3	1471997	11	37	50960850	34.620213	32.000000	37.000000	37.000000	5.000000	25	37	11,12,14,21	338998	440937	334080	357982	0		
4	1471997	11	37	51038170	34.672741	32.000000	37.000000	37.000000	5.000000	25	37	11,12,14,21,22	440201	365851	373379	292566	0		
5	1471997	11	37	51089325	34.707493	32.000000	37.000000	37.000000	5.000000	25	37	11,12,14,21,22	357605	336322	404134	373936	0		
6	1471997	11	41	53819577	36.562287	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	397080	376117	382769	316031	0		
7	1471997	11	41	53732445	36.503094	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	345019	336413	346963	443602	0		
8	1471997	11	41	53746758	36.512818	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	340621	360571	395241	375564	0		
9	1471997	11	41	53801383	36.549927	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	360571	375564	340621	395241	0		
10	1471997	11	41	53765814	36.525763	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	373360	464849	372120	261668	0		
11	1471997	11	41	53748211	36.513805	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	301242	383333	376598	410824	0		
12	1471997	11	41	53668085	36.459371	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	348168	363022	355195	405612	0		
13	1471997	11	41	53694715	36.477462	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	418968	332495	361699	358835	0		
14	1471997	11	41	53623198	36.428877	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	430990	346734	345649	348624	0		
15	1471997	11	41	53653187	36.449250	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	371567	381304	328691	390435	0		
16	1471997	11	41	53598911	36.412378	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	333580	336846	337153	464418	0		
17	1471997	2	41	53541531	36.373397	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	380045	364562	274193	453195	2		
18	1471997	2	41	53513796	36.354555	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	369310	365338	282825	454521	3		
19	1471997	2	41	53505236	36.348740	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	368241	365048	280202	458487	19		
20	1471997	11	41	53408510	36.283029	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	368120	362492	276611	464774	0		
21	1471997	2	41	53426823	36.295470	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	365334	362010	275528	469099	26		
22	1471997	2	41	53292976	36.204541	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	366721	358416	277618	469239	3		
23	1471997	2	41	53323648	36.225378	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	364639	351736	285178	470437	7		
24	1471997	11	41	53311514	36.217135	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	364594	348941	293164	465298	0		
25	1471997	2	41	53284177	36.198564	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	360886	345193	302640	463271	7		
26	1471997	2	41	53103245	36.075648	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	357774	342694	317463	454058	8		
27	1471997	2	41	53148276	36.106239	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	343284	334046	338036	456624	7		
28	1471997	2	41	53041676	36.033821	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	337617	323887	332883	477597	13		
