ENSMUSG00000038331	Satb2
ENSMUSG00000015222	Map2
ENSMUSG00000005681	Apoa2
ENSMUSG00000026395	Ptprc
ENSMUSG00000026182	Tnp1
ENSMUSG00000026602	Nphs2
ENSMUSG00000026208	Des
ENSMUSG00000026414	Tnnt2
ENSMUSG00000027070	Lrp2
ENSMUSG00000070880	Gad1
ENSMUSG00000026726	Cubn
ENSMUSG00000017950	Hnf4a
ENSMUSG00000026959	Grin1
ENSMUSG00000027168	Pax6
ENSMUSG00000027273	Snap25
ENSMUSG00000068614	Actc1
ENSMUSG00000035033	Tbr1
ENSMUSG00000051747	Ttn
ENSMUSG00000026787	Gad2
ENSMUSG00000060890	Arr3
ENSMUSG00000031394	Opn1mw
ENSMUSG00000028174	Rpe65
ENSMUSG00000042784	Muc1
ENSMUSG00000050359	Sprr1a
ENSMUSG00000049128	Ivl
ENSMUSG00000028109	Hormad1
ENSMUSG00000102439	Flg
ENSMUSG00000028583	Pdpn
ENSMUSG00000029491	Pde6b
ENSMUSG00000029423	Piwil1
ENSMUSG00000029368	Alb
ENSMUSG00000042589	Cux2
ENSMUSG00000029705	Cux1
ENSMUSG00000004655	Aqp1
ENSMUSG00000030324	Rho
ENSMUSG00000025608	Podxl
ENSMUSG00000056370	Sftpb
ENSMUSG00000058831	Opn1sw
ENSMUSG00000023439	Gnb3
ENSMUSG00000053977	Cd8a
ENSMUSG00000004612	Nkg7
ENSMUSG00000039194	Rlbp1
ENSMUSG00000035458	Tnni3
ENSMUSG00000062773	Tex101
ENSMUSG00000030963	Umod
ENSMUSG00000041578	Crx
ENSMUSG00000025479	Cyp2e1
ENSMUSG00000070570	Slc17a7
ENSMUSG00000030579	Tyrobp
ENSMUSG00000006649	Nphs1
ENSMUSG00000030399	Ckm
ENSMUSG00000030781	Slc5a2
ENSMUSG00000003379	Cd79a
ENSMUSG00000036816	Atoh7
ENSMUSG00000020059	Sycp3
ENSMUSG00000038583	Pln
ENSMUSG00000035864	Syt1
ENSMUSG00000035262	Amh
ENSMUSG00000079019	Insl3
ENSMUSG00000040752	Myh6
ENSMUSG00000053093	Myh7
ENSMUSG00000021789	Sftpa1
ENSMUSG00000022097	Sftpc
ENSMUSG00000032083	Apoa1
ENSMUSG00000034837	Gnat1
ENSMUSG00000032094	Cd3d
ENSMUSG00000032093	Cd3e
ENSMUSG00000019761	Krt10
ENSMUSG00000045545	Krt14
ENSMUSG00000035557	Krt17
ENSMUSG00000034227	Foxj1
ENSMUSG00000025576	Rbfox3
ENSMUSG00000020884	Asgr1
ENSMUSG00000051497	Kcnj16
ENSMUSG00000000567	Sox9
ENSMUSG00000001506	Col1a1
ENSMUSG00000021758	Ddx4
ENSMUSG00000021490	Slc34a1
ENSMUSG00000021313	Ryr2
ENSMUSG00000001496	Nkx2-1
ENSMUSG00000048251	Bcl11b
ENSMUSG00000021239	Vsx2
ENSMUSG00000058354	Krt6a
ENSMUSG00000061527	Krt5
ENSMUSG00000046834	Krt1
ENSMUSG00000049382	Krt8
ENSMUSG00000023043	Krt18
ENSMUSG00000022501	Prm1
ENSMUSG00000010592	Dazl
ENSMUSG00000073412	Lst1
ENSMUSG00000045394	Epcam
ENSMUSG00000015452	Ager
ENSMUSG00000061808	Ttr
ENSMUSG00000024610	Cd74
ENSMUSG00000024617	Camk2a
ENSMUSG00000024621	Csf1r
ENSMUSG00000051439	Cd14
ENSMUSG00000037418	Best1
ENSMUSG00000024673	Ms4a1
ENSMUSG00000024653	Scgb1a1
