ENSSSCG00000062089	PLN
ENSSSCG00000004803	ACTC1
ENSSSCG00000011590	RHO
ENSSSCG00000042718	GNAT1
ENSSSCG00000020694	DSG1
ENSSSCG00000023686	TTR
ENSSSCG00000003794	RPE65
ENSSSCG00000002919	TYROBP
ENSSSCG00000003124	CRX
ENSSSCG00000029284	NPHS1
ENSSSCG00000033684	CD79A
ENSSSCG00000036132	CKM
ENSSSCG00000003052	TEX101
ENSSSCG00000003231	NKG7
ENSSSCG00000043687	TNNI3
ENSSSCG00000003451	PDPN
ENSSSCG00000003170	SLC17A7
ENSSSCG00000033262	CD74
ENSSSCG00000014443	CAMK2A
ENSSSCG00000014369	CD14
ENSSSCG00000014441	CSF1R
ENSSSCG00000013320	PAX6
ENSSSCG00000013887	INSL3
ENSSSCG00000037535	SLC34A1
ENSSSCG00000021812	MS4A1
ENSSSCG00000035812	AMH
ENSSSCG00000013060	SCGB1A1
ENSSSCG00000023090	BEST1
ENSSSCG00000010780	CYP2E1
ENSSSCG00000009831	CUX2
ENSSSCG00000010142	RYR2
ENSSSCG00000009619	SFTPC
ENSSSCG00000021995	ATOH7
ENSSSCG00000009749	PIWIL1
ENSSSCG00000010336	SFTPA1
ENSSSCG00000016179	TNP1
ENSSSCG00000020785	DES
ENSSSCG00000015891	TBR1
ENSSSCG00000016151	MAP2
ENSSSCG00000021657	SATB2
ENSSSCG00000040746	LRP2
ENSSSCG00000022233	GAD1
ENSSSCG00000015526	NPHS2
ENSSSCG00000030921	APOA1
ENSSSCG00000040140	CD3E
ENSSSCG00000015093	CD3D
ENSSSCG00000036645	PDE6B
ENSSSCG00000008948	ALB
ENSSSCG00000008429	EPCAM
ENSSSCG00000008229	SFTPB
ENSSSCG00000008217	CD8A
ENSSSCG00000021337	PRM1
ENSSSCG00000024058	SLC5A2
ENSSSCG00000007681	CUX1
ENSSSCG00000007859	UMOD
ENSSSCG00000006595	IVL
ENSSSCG00000006649	HORMAD1
ENSSSCG00000006355	APOA2
ENSSSCG00000006357	FCER1G
ENSSSCG00000012379	ARR3
ENSSSCG00000002507	BCL11B
ENSSSCG00000001945	NKX2-1
ENSSSCG00000038515	SERPINA1
ENSSSCG00000053614	MYH7
ENSSSCG00000002029	MYH6
ENSSSCG00000002363	VSX2
ENSSSCG00000001836	RLBP1
ENSSSCG00000001437	AGER
ENSSSCG00000001453	HLA-DRA
ENSSSCG00000000252	KRT8
ENSSSCG00000000253	KRT18
ENSSSCG00000000251	KRT1
ENSSSCG00000062487	KRT5
ENSSSCG00000000948	SYT1
ENSSSCG00000000863	SYCP3
ENSSSCG00000000682	GNB3
ENSSSCG00000016913	DDX4
ENSSSCG00000011030	CUBN
ENSSSCG00000011060	GAD2
ENSSSCG00000010908	PTPRC
ENSSSCG00000023031	TNNT2
ENSSSCG00000026985	SNAP25
ENSSSCG00000007371	HNF4A
ENSSSCG00000036135	COL1A1
ENSSSCG00000017448	KRT14
ENSSSCG00000028522	KRT10
ENSSSCG00000056910	KRT17
ENSSSCG00000034358	KCNJ16
ENSSSCG00000024926	ASGR1
ENSSSCG00000017251	SOX9
ENSSSCG00000017187	FOXJ1
ENSSSCG00000039498	RBFOX3
ENSSSCG00000033190	AQP1
ENSSSCG00000016580	OPN1SW
ENSSSCG00000039834	GRIN1
