ENSG00000158869	FCER1G
ENSG00000158874	APOA2
ENSG00000143452	HORMAD1
ENSG00000162493	PDPN
ENSG00000163207	IVL
ENSG00000185499	MUC1
ENSG00000169474	SPRR1A
ENSG00000081237	PTPRC
ENSG00000116218	NPHS2
ENSG00000116745	RPE65
ENSG00000198626	RYR2
ENSG00000118194	TNNT2
ENSG00000143631	FLG
ENSG00000136535	TBR1
ENSG00000081479	LRP2
ENSG00000175084	DES
ENSG00000168878	SFTPB
ENSG00000118245	TNP1
ENSG00000128683	GAD1
ENSG00000119888	EPCAM
ENSG00000153563	CD8A
ENSG00000119042	SATB2
ENSG00000078018	MAP2
ENSG00000155657	TTN
ENSG00000114349	GNAT1
ENSG00000163914	RHO
ENSG00000092345	DAZL
ENSG00000133256	PDE6B
ENSG00000163631	ALB
ENSG00000131183	SLC34A1
ENSG00000182578	CSF1R
ENSG00000019582	CD74
ENSG00000170458	CD14
ENSG00000152670	DDX4
ENSG00000070808	CAMK2A
ENSG00000198523	PLN
ENSG00000204482	LST1
ENSG00000204287	HLA-DRA
ENSG00000204305	AGER
ENSG00000223865	HLA-DPB1
ENSG00000128567	PODXL
ENSG00000257923	CUX1
ENSG00000128617	OPN1SW
ENSG00000240583	AQP1
ENSG00000160868	CYP3A4
ENSG00000102076	OPN1LW
ENSG00000268221	OPN1MW
ENSG00000120500	ARR3
ENSG00000168484	SFTPC
ENSG00000176884	GRIN1
ENSG00000149021	SCGB1A1
ENSG00000118137	APOA1
ENSG00000198851	CD3E
ENSG00000156738	MS4A1
ENSG00000007372	PAX6
ENSG00000167286	CD3D
ENSG00000167995	BEST1
ENSG00000107611	CUBN
ENSG00000136750	GAD2
ENSG00000122852	SFTPA1
ENSG00000130649	CYP2E1
ENSG00000179774	ATOH7
ENSG00000167768	KRT1
ENSG00000139351	SYCP3
ENSG00000111664	GNB3
ENSG00000111057	KRT18
ENSG00000170421	KRT8
ENSG00000125207	PIWIL1
ENSG00000205420	KRT6A
ENSG00000186081	KRT5
ENSG00000067715	SYT1
ENSG00000111249	CUX2
ENSG00000197249	SERPINA1
ENSG00000136352	NKX2-1
ENSG00000119614	VSX2
ENSG00000127152	BCL11B
ENSG00000197616	MYH6
ENSG00000092054	MYH7
ENSG00000140522	RLBP1
ENSG00000159251	ACTC1
ENSG00000175646	PRM1
ENSG00000140675	SLC5A2
ENSG00000169344	UMOD
ENSG00000125398	SOX9
ENSG00000129654	FOXJ1
ENSG00000186395	KRT10
ENSG00000108821	COL1A1
ENSG00000141505	ASGR1
ENSG00000153822	KCNJ16
ENSG00000186847	KRT14
ENSG00000167281	RBFOX3
ENSG00000128422	KRT17
ENSG00000118271	TTR
ENSG00000134760	DSG1
ENSG00000132639	SNAP25
ENSG00000101076	HNF4A
ENSG00000104879	CKM
ENSG00000104888	SLC17A7
ENSG00000011600	TYROBP
ENSG00000161270	NPHS1
ENSG00000105374	NKG7
ENSG00000104899	AMH
ENSG00000248099	INSL3
ENSG00000131126	TEX101
ENSG00000104972	LILRB1
ENSG00000105369	CD79A
ENSG00000105392	CRX
ENSG00000129991	TNNI3
