gene	gene_id	transcript	canonical	mane_select	lof_hc_lc.obs	lof_hc_lc.exp	lof_hc_lc.possible	lof_hc_lc.oe	lof_hc_lc.mu	lof_hc_lc.pLI	lof_hc_lc.pNull	lof_hc_lc.pRec	lof.obs	lof.exp	lof.possible	lof.oe	lof.mu	lof.pLI	lof.pNull	lof.pRec	lof.oe_ci.lower	lof.oe_ci.upper	lof.oe_ci.upper_rank	lof.oe_ci.upper_bin_decile	lof.z_raw	lof.z_score	mis.obs	mis.exp	mis.possible	mis.oe	mis.mu	mis.oe_ci.lower	mis.oe_ci.upper	mis.z_raw	mis.z_score	mis_pphen.obs	mis_pphen.exp	mis_pphen.possible	mis_pphen.oe	syn.obs	syn.exp	syn.possible	syn.oe	syn.mu	syn.oe_ci.lower	syn.oe_ci.upper	syn.z_raw	syn.z_score	constraint_flags	level	transcript_type	chromosome	cds_length	num_coding_exons
STXBP1	6812	NM_001032221.6	true	true	3	7.8242e+01	395	3.8343e-02	8.5849e-07	1.0000e+00	7.3790e-26	9.1504e-16	3	7.8242e+01	395	3.8343e-02	8.5849e-07	1.0000e+00	6.7252e-26	8.7462e-16	1.6000e-02	9.9000e-02	NA	NA	8.5063e+00	7.2072e+00	347	7.9977e+02	3826	4.3387e-01	5.2708e-06	3.9600e-01	4.7400e-01	1.6010e+01	5.8468e+00	86	3.1949e+02	1585	2.6918e-01	255	3.0041e+02	1092	8.4884e-01	1.8445e-06	7.6500e-01	9.4200e-01	2.6199e+00	1.4280e+00	[]	NA	NA	NA	NA	NA
STXBP1	6812	NM_001374306.2	false	false	4	7.8378e+01	396	5.1035e-02	8.5637e-07	1.0000e+00	3.1995e-25	2.9156e-15	4	7.8378e+01	396	5.1035e-02	8.5637e-07	1.0000e+00	2.9160e-25	2.7868e-15	2.4000e-02	1.1700e-01	NA	NA	8.4013e+00	7.1183e+00	346	7.9559e+02	3805	4.3490e-01	2.3172e-06	3.9700e-01	4.7500e-01	1.5939e+01	5.8210e+00	NA	NA	NA	NA	254	2.9912e+02	1087	8.4915e-01	1.8445e-06	7.6600e-01	9.4200e-01	2.6090e+00	1.4220e+00	[]	NA	NA	NA	NA	NA
STXBP1	6812	NM_001374307.2	false	false	8	7.9978e+01	402	1.0003e-01	8.8314e-07	1.0000e+00	4.9006e-23	1.7757e-13	5	7.5757e+01	380	6.6001e-02	8.2187e-07	1.0000e+00	1.1261e-23	3.5157e-14	3.3000e-02	1.3900e-01	NA	NA	8.1294e+00	6.8879e+00	344	8.0124e+02	3821	4.2933e-01	5.0697e-06	3.9200e-01	4.6900e-01	1.6153e+01	5.8992e+00	81	2.9705e+02	1458	2.7269e-01	246	2.9821e+02	1084	8.2491e-01	1.7702e-06	7.4300e-01	9.1700e-01	3.0236e+00	1.6480e+00	[]	NA	NA	NA	NA	NA
STXBP1	6812	NM_001374308.2	false	false	8	7.9978e+01	402	1.0003e-01	8.8314e-07	1.0000e+00	4.9006e-23	1.7757e-13	5	7.5757e+01	380	6.6001e-02	8.2187e-07	1.0000e+00	1.1261e-23	3.5157e-14	3.3000e-02	1.3900e-01	NA	NA	8.1294e+00	6.8879e+00	344	8.0124e+02	3821	4.2933e-01	5.0697e-06	3.9200e-01	4.6900e-01	1.6153e+01	5.8992e+00	81	2.9705e+02	1458	2.7269e-01	246	2.9821e+02	1084	8.2491e-01	1.7702e-06	7.4300e-01	9.1700e-01	3.0236e+00	1.6480e+00	[]	NA	NA	NA	NA	NA
STXBP1	6812	NM_001374309.2	false	false	3	7.7171e+01	388	3.8874e-02	8.5758e-07	1.0000e+00	1.7245e-25	1.5611e-15	3	7.6074e+01	382	3.9435e-02	8.3842e-07	1.0000e+00	3.7524e-25	2.5800e-15	1.7000e-02	1.0200e-01	NA	NA	8.3781e+00	7.0986e+00	332	7.8507e+02	3756	4.2289e-01	5.2294e-06	3.8600e-01	4.6300e-01	1.6170e+01	5.9052e+00	85	3.1801e+02	1575	2.6728e-01	247	2.9540e+02	1068	8.3615e-01	1.8202e-06	7.5300e-01	9.2900e-01	2.8161e+00	1.5349e+00	[]	NA	NA	NA	NA	NA
STXBP1	6812	NM_001374310.2	false	false	3	7.7921e+01	392	3.8501e-02	8.7073e-07	1.0000e+00	9.5178e-26	1.0740e-15	3	7.6074e+01	382	3.9435e-02	8.3842e-07	1.0000e+00	3.7524e-25	2.5800e-15	1.7000e-02	1.0200e-01	NA	NA	8.3781e+00	7.0986e+00	332	7.8507e+02	3756	4.2289e-01	5.2294e-06	3.8600e-01	4.6300e-01	1.6170e+01	5.9052e+00	85	3.1801e+02	1575	2.6728e-01	247	2.9540e+02	1068	8.3615e-01	1.8202e-06	7.5300e-01	9.2900e-01	2.8161e+00	1.5349e+00	[]	NA	NA	NA	NA	NA
STXBP1	6812	NM_001374311.2	false	false	3	7.7921e+01	392	3.8501e-02	8.7073e-07	1.0000e+00	9.5178e-26	1.0740e-15	3	7.6074e+01	382	3.9435e-02	8.3842e-07	1.0000e+00	3.7524e-25	2.5800e-15	1.7000e-02	1.0200e-01	NA	NA	8.3781e+00	7.0986e+00	332	7.8507e+02	3756	4.2289e-01	5.2294e-06	3.8600e-01	4.6300e-01	1.6170e+01	5.9052e+00	85	3.1801e+02	1575	2.6728e-01	247	2.9540e+02	1068	8.3615e-01	1.8202e-06	7.5300e-01	9.2900e-01	2.8161e+00	1.5349e+00	[]	NA	NA	NA	NA	NA
STXBP1	6812	NM_001374312.2	false	false	3	7.7921e+01	392	3.8501e-02	8.7073e-07	1.0000e+00	9.5178e-26	1.0740e-15	3	7.6074e+01	382	3.9435e-02	8.3842e-07	1.0000e+00	3.7524e-25	2.5800e-15	1.7000e-02	1.0200e-01	NA	NA	8.3781e+00	7.0986e+00	332	7.8507e+02	3756	4.2289e-01	5.2294e-06	3.8600e-01	4.6300e-01	1.6170e+01	5.9052e+00	85	3.1801e+02	1575	2.6728e-01	247	2.9540e+02	1068	8.3615e-01	1.8202e-06	7.5300e-01	9.2900e-01	2.8161e+00	1.5349e+00	[]	NA	NA	NA	NA	NA
STXBP1	6812	NM_001374313.2	false	false	3	7.7017e+01	387	3.8952e-02	8.6263e-07	1.0000e+00	1.9491e-25	1.6861e-15	2	7.5847e+01	381	2.6369e-02	8.4195e-07	1.0000e+00	9.2963e-26	8.4702e-16	1.0000e-02	8.3000e-02	NA	NA	8.4794e+00	7.1845e+00	331	7.6925e+02	3652	4.3029e-01	4.8552e-06	3.9200e-01	4.7100e-01	1.5801e+01	5.7705e+00	91	2.7729e+02	1343	3.2817e-01	242	2.8724e+02	1038	8.4251e-01	1.7946e-06	7.5800e-01	9.3700e-01	2.6692e+00	1.4548e+00	[]	NA	NA	NA	NA	NA
STXBP1	6812	NM_001374314.1	false	false	2	7.5847e+01	381	2.6369e-02	8.4195e-07	1.0000e+00	1.0200e-25	8.8616e-16	2	7.5847e+01	381	2.6369e-02	8.4195e-07	1.0000e+00	9.2963e-26	8.4702e-16	1.0000e-02	8.3000e-02	NA	NA	8.4794e+00	7.1845e+00	331	7.6925e+02	3652	4.3029e-01	4.8551e-06	3.9200e-01	4.7100e-01	1.5801e+01	5.7705e+00	92	2.7700e+02	1341	3.3213e-01	242	2.8724e+02	1038	8.4251e-01	1.7946e-06	7.5800e-01	9.3700e-01	2.6692e+00	1.4548e+00	[]	NA	NA	NA	NA	NA
