lag	cross_corr	plus_count	minus_count
0	5240	499888	500112
1	7965	499888	500112
2	8139	499888	500112
3	7753	499888	500112
4	6435	499888	500112
5	6093	499888	500112
6	6277	499888	500112
7	6391	499888	500112
8	6581	499888	500112
9	6046	499888	500112
10	6402	499888	500112
11	6106	499888	500112
12	6566	499888	500112
13	6116	499888	500112
14	6919	499888	500112
15	6767	499888	500112
16	7740	499888	500112
17	7159	499888	500112
18	9345	499888	500112
19	7357	499888	500112
20	9751	499888	500112
21	9939	499888	500112
22	10854	499888	500112
23	11013	499888	500112
24	11918	499888	500112
25	12255	499888	500112
26	12461	499888	500112
27	12945	499888	500112
28	15482	499888	500112
29	15411	499888	500112
30	14341	499888	500112
31	16344	499888	500112
32	16093	499888	500112
33	15340	499888	500112
34	19811	499888	500112
35	19906	499888	500112
36	17839	499888	500112
37	20504	499888	500112
38	20877	499888	500112
39	20422	499888	500112
40	20894	499888	500112
41	23849	499888	500112
42	20840	499888	500112
43	21254	499888	500112
44	23836	499888	500112
45	22416	499888	500112
46	22171	499888	500112
47	23802	499888	500112
48	19754	499888	500112
49	19434	499888	500112
50	20238	499888	500112
51	28802	499888	500112
52	23507	499888	500112
53	28102	499888	500112
54	29519	499888	500112
55	31101	499888	500112
56	26108	499888	500112
57	34993	499888	500112
58	29372	499888	500112
59	32788	499888	500112
60	31906	499888	500112
61	33611	499888	500112
62	33233	499888	500112
63	32878	499888	500112
64	30855	499888	500112
65	38125	499888	500112
66	31044	499888	500112
67	34986	499888	500112
68	33472	499888	500112
69	36380	499888	500112
70	33753	499888	500112
71	35555	499888	500112
72	39226	499888	500112
73	37478	499888	500112
74	37879	499888	500112
75	33784	499888	500112
76	41969	499888	500112
77	38283	499888	500112
78	41053	499888	500112
79	33413	499888	500112
80	36148	499888	500112
81	36216	499888	500112
82	39452	499888	500112
83	32877	499888	500112
84	38852	499888	500112
85	34239	499888	500112
86	32526	499888	500112
87	32448	499888	500112
88	38815	499888	500112
89	29195	499888	500112
90	33401	499888	500112
91	37222	499888	500112
92	32979	499888	500112
93	36193	499888	500112
94	31909	499888	500112
95	36419	499888	500112
96	28818	499888	500112
97	28442	499888	500112
98	32122	499888	500112
99	32010	499888	500112
100	30005	499888	500112
101	25701	499888	500112
102	31019	499888	500112
103	28265	499888	500112
104	24540	499888	500112
105	25442	499888	500112
106	24650	499888	500112
107	28355	499888	500112
108	20536	499888	500112
109	28213	499888	500112
110	28555	499888	500112
111	21766	499888	500112
112	24916	499888	500112
