name	taxon	endpoint	status	summary
Homo sapiens	9606	gene	200	[{"gene_id": "6469", "protein": null, "select": null, "symbol": "SHH", "t_len": null, "t_type": null, "tax_id": "9606", "transcript": null}]
Homo sapiens	9606	product	200	[{"gene_id": null, "protein": null, "select": null, "symbol": null, "t_len": null, "t_type": null, "tax_id": null, "transcript": null}]
Pan troglodytes	9598	gene	200	[{"gene_id": "743371", "protein": null, "select": null, "symbol": "SHH", "t_len": null, "t_type": null, "tax_id": "9598", "transcript": null}]
Pan troglodytes	9598	product	200	[{"gene_id": null, "protein": null, "select": null, "symbol": null, "t_len": null, "t_type": null, "tax_id": null, "transcript": null}]
Macaca mulatta	9544	gene	200	[{"gene_id": "716553", "protein": null, "select": null, "symbol": "SHH", "t_len": null, "t_type": null, "tax_id": "9544", "transcript": null}]
Macaca mulatta	9544	product	200	[{"gene_id": null, "protein": null, "select": null, "symbol": null, "t_len": null, "t_type": null, "tax_id": null, "transcript": null}]
Pan paniscus	9597	gene	200	[{"gene_id": "100995872", "protein": null, "select": null, "symbol": "SHH", "t_len": null, "t_type": null, "tax_id": "9597", "transcript": null}]
Pan paniscus	9597	product	200	[{"gene_id": null, "protein": null, "select": null, "symbol": null, "t_len": null, "t_type": null, "tax_id": null, "transcript": null}]
Indri indri	34825	gene	200	[]
Indri indri	34825	product	200	[]
Semnopithecus johnii	54131	gene	200	[]
Semnopithecus johnii	54131	product	200	[]
Ailuropoda melanoleuca	9646	gene	200	[{"gene_id": "100481788", "protein": null, "select": null, "symbol": "SHH", "t_len": null, "t_type": null, "tax_id": "9646", "transcript": null}]
Ailuropoda melanoleuca	9646	product	200	[{"gene_id": null, "protein": null, "select": null, "symbol": null, "t_len": null, "t_type": null, "tax_id": null, "transcript": null}]
Delphinapterus leucas	9749	gene	200	[{"gene_id": "111176269", "protein": null, "select": null, "symbol": "SHH", "t_len": null, "t_type": null, "tax_id": "9749", "transcript": null}]
Delphinapterus leucas	9749	product	200	[{"gene_id": null, "protein": null, "select": null, "symbol": null, "t_len": null, "t_type": null, "tax_id": null, "transcript": null}]
