section	species	gene	field	value
human_gene	homo_sapiens	ENSG00000164690	keys	Transcript,assembly_name,biotype,canonical_transcript,db_type,description,display_name,end,id,logic_name,object_type,seq_region_name,source,species,start,strand,version
human_gene	homo_sapiens	ENSG00000164690	is_mane_in_gene_json	False
human_transcript	homo_sapiens	ENSG00000164690	ENST00000297261	biotype=protein_coding;display_name=SHH-201;external_name=None;has_mane_text=False;id=ENST00000297261;is_canonical=1;keys=Exon,Parent,Translation,assembly_name,biotype,db_type,display_name,end,ens_canon_extended,gencode_primary,id,is_canonical,length,logic_name,object_type,seq_region_name,source,species,start,strand,version;protein_length=462;transcript_support_level=None;translation_id=ENSP00000297261;version=7
human_transcript	homo_sapiens	ENSG00000164690	ENST00000441114	biotype=nonsense_mediated_decay;display_name=SHH-204;external_name=None;has_mane_text=False;id=ENST00000441114;is_canonical=0;keys=Exon,Parent,Translation,assembly_name,biotype,db_type,display_name,end,ens_canon_extended,gencode_primary,id,is_canonical,length,logic_name,object_type,seq_region_name,source,species,start,strand,version;protein_length=126;transcript_support_level=None;translation_id=ENSP00000410546;version=5
human_transcript	homo_sapiens	ENSG00000164690	ENST00000430104	biotype=protein_coding;display_name=SHH-202;external_name=None;has_mane_text=False;id=ENST00000430104;is_canonical=0;keys=Exon,Parent,Translation,assembly_name,biotype,db_type,display_name,end,ens_canon_extended,gencode_primary,id,is_canonical,length,logic_name,object_type,seq_region_name,source,species,start,strand,version;protein_length=169;transcript_support_level=None;translation_id=ENSP00000396621;version=5
human_transcript	homo_sapiens	ENSG00000164690	ENST00000435425	biotype=nonsense_mediated_decay;display_name=SHH-203;external_name=None;has_mane_text=False;id=ENST00000435425;is_canonical=0;keys=Exon,Parent,Translation,assembly_name,biotype,db_type,display_name,end,ens_canon_extended,gencode_primary,id,is_canonical,length,logic_name,object_type,seq_region_name,source,species,start,strand,version;protein_length=123;transcript_support_level=None;translation_id=ENSP00000413871;version=1
human_transcript	homo_sapiens	ENSG00000164690	ENST00000472308	biotype=protein_coding_CDS_not_defined;display_name=SHH-205;external_name=None;has_mane_text=False;id=ENST00000472308;is_canonical=0;keys=Exon,Parent,assembly_name,biotype,db_type,display_name,end,ens_canon_extended,gencode_primary,id,is_canonical,length,logic_name,object_type,seq_region_name,source,species,start,strand,version;protein_length=None;transcript_support_level=None;translation_id=None;version=1
known_mane_lookup	homo_sapiens	ENSG00000164690	ENST00000297261	{"biotype": "protein_coding", "display_name": "SHH-201", "external_name": null, "has_mane_text": false, "id": "ENST00000297261", "is_canonical": 1, "keys": "Exon,Parent,Translation,assembly_name,biotype,db_type,display_name,end,ens_canon_extended,gencode_primary,id,is_canonical,length,logic_name,object_type,seq_region_name,source,species,start,strand,version", "protein_length": 462, "transcript_support_level": null, "translation_id": "ENSP00000297261", "version": 7}
human_mane_extra	homo_sapiens	ENST00000297261	/overlap/id/ENST00000297261	[{"feature_type": "mane", "seq_region_name": "7", "strand": -1, "end": 155812463, "id": "ENST00000297261", "Parent": "ENSG00000164690", "version": 7, "start": 155799980, "refseq_match": "NM_000193.4", "type": "MANE_Select", "assembly_name": "GRCh38"}]
human_mane_extra	homo_sapiens	ENST00000297261	/xrefs/id/ENST00000297261	[{"display_id": "uc003wmk.3", "dbname": "UCSC", "info_text": "", "primary_id": "uc003wmk.3", "description": null, "info_type": "COORDINATE_OVERLAP", "version": "3", "db_display_name": "UCSC Stable ID", "synonyms": []}, {"primary_id": "CCDS5942", "info_text": "", "dbname": "CCDS", "display_id": "CCDS5942.1", "synonyms": [], "db_display_name": "CCDS", "version": "1", "info_type": "DIRECT", "description": null}, {"primary_id": "SHH-201", "info_text": "", "dbname": "HGNC_trans_name", "display_id": "SHH-201", "synonyms": [], "db_display_name": "Transcript name", "version": "0", "info_type": "MISC", "description": "sonic hedgehog signaling molecule"}, {"db_display_name": "Reactome transcript", "synonyms": [], "version": "0", "description": "Disease", "info_type": "DIRECT", "info_text": "Generated via transcript", "primary_id": "R-HSA-1643685", "dbname": "Reactome_transcript", "display_id": "R-HSA-1643685"}, {"version": "0", "synonyms": [], "db_display_name": "Reactome transcript", "info_type": "DIRECT", "description": "Signal Transduction", "dbname": "Reactome_transcript", "primary_id": "R-HSA-162582", "info_text": "Generated via transcript", "display_id": "R-HSA-162582"}, {"display_id": "R-HSA-1266738", "dbname": "Reactome_transcript", "primary_id": "R-HSA-1266738", "info_text": "Generated via transcript", "info_type": "DIRECT", "description": "Developmental Biology", "version": "0", "synonyms": [], "db_display_name": "Reactome transcript"}, {"dbname": "Reactome_transcript", "prim
species_error	pan_troglodytes			<HTTPError 500: 'Internal Server Error'>
species_error	macaca_mulatta			<HTTPError 500: 'Internal Server Error'>
species_error	pan_paniscus			<HTTPError 500: 'Internal Server Error'>
species_error	indri_indri			<HTTPError 500: 'Internal Server Error'>
species_error	semnopithecus_johnii			<HTTPError 500: 'Internal Server Error'>
species_error	ailuropoda_melanoleuca			<HTTPError 500: 'Internal Server Error'>
species_error	delphinapterus_leucas			<HTTPError 500: 'Internal Server Error'>
