READ_961	ref|NC_057109.1|	97.333	75	3.72e-29	128	0	N/A
READ_2242	ref|NC_001620.1|	100.000	75	1.72e-32	139	0	N/A
READ_2242	ref|NC_057109.1|	98.667	75	8.00e-31	134	0	N/A
READ_3833	ref|NC_057109.1|	98.667	75	8.00e-31	134	0	N/A
READ_3833	ref|NC_001620.1|	98.667	75	8.00e-31	134	0	N/A
READ_5857	ref|NC_001620.1|	97.333	75	3.72e-29	128	0	N/A
READ_8709	ref|NC_001620.1|	98.667	75	8.00e-31	134	0	N/A
READ_8709	ref|NC_057109.1|	97.333	75	3.72e-29	128	0	N/A
READ_8976	ref|NC_001620.1|	100.000	75	1.72e-32	139	0	N/A
READ_8976	ref|NC_057109.1|	97.333	75	3.72e-29	128	0	N/A
READ_9441	ref|NC_001620.1|	100.000	75	1.72e-32	139	0	N/A
READ_9441	ref|NC_057109.1|	98.667	75	8.00e-31	134	0	N/A
READ_11386	ref|NC_001620.1|	100.000	75	1.72e-32	139	0	N/A
READ_11386	ref|NC_057109.1|	98.667	75	8.00e-31	134	0	N/A
READ_12620	ref|NC_057109.1|	100.000	75	1.72e-32	139	0	N/A
READ_12620	ref|NC_001620.1|	100.000	75	1.72e-32	139	0	N/A
READ_12620	ref|NC_034843.1|	80.519	77	1.78e-07	56.5	0	N/A
READ_13086	ref|NC_057109.1|	98.667	75	8.00e-31	134	0	N/A
READ_15687	ref|NC_012920.1|	97.333	75	3.72e-29	128	0	N/A
READ_18630	ref|NC_057109.1|	97.333	75	3.72e-29	128	0	N/A
READ_19976	ref|NC_012920.1|	96.000	75	1.73e-27	122	0	N/A
READ_19976	ref|NC_023100.1|	93.333	75	1.04e-24	113	0	N/A
READ_19976	ref|NC_013993.1|	93.333	75	3.75e-24	111	0	N/A
READ_19976	ref|NC_011137.1|	93.333	75	3.75e-24	111	0	N/A
READ_21040	ref|NC_057109.1|	100.000	75	1.72e-32	139	0	N/A
READ_21040	ref|NC_001620.1|	98.684	76	8.00e-31	134	0	N/A
READ_21040	ref|NC_021383.1|	97.333	75	3.72e-29	128	0	N/A
READ_21040	ref|NC_042147.1|	96.000	75	1.73e-27	122	0	N/A
READ_21040	ref|NC_021382.1|	94.667	75	8.06e-26	117	0	N/A
READ_21040	ref|NC_026710.1|	93.333	75	3.75e-24	111	0	N/A
READ_21040	ref|NC_026704.1|	96.774	62	6.27e-22	104	0	N/A
READ_21040	ref|NC_017748.1|	96.429	56	1.36e-18	93.5	0	N/A
READ_21040	ref|NC_006464.1|	93.333	60	1.76e-17	89.8	0	N/A
READ_21040	ref|NC_009775.1|	93.333	60	1.76e-17	89.8	0	N/A
READ_21040	ref|NC_040147.1|	93.333	60	1.76e-17	89.8	0	N/A
READ_21040	ref|NC_053350.1|	94.643	56	6.32e-17	87.9	0	N/A
READ_21040	ref|NC_026227.1|	94.545	55	2.27e-16	86.1	0	N/A
READ_21040	ref|NC_026224.1|	94.545	55	2.27e-16	86.1	0	N/A
READ_21040	ref|NC_030514.1|	94.545	55	2.27e-16	86.1	0	N/A
READ_21040	ref|NC_023811.1|	94.545	55	2.27e-16	86.1	0	N/A
READ_21040	ref|NC_026226.1|	94.545	55	2.27e-16	86.1	0	N/A
READ_21040	ref|NC_026575.1|	94.545	55	2.27e-16	86.1	0	N/A
READ_21040	ref|NC_024029.1|	94.545	55	2.27e-16	86.1	0	N/A
READ_21040	ref|NC_022938.1|	94.545	55	2.27e-16	86.1	0	N/A
READ_21040	ref|NC_023479.1|	94.545	55	2.27e-16	86.1	0	N/A
READ_21040	ref|NC_023478.1|	94.545	55	2.27e-16	86.1	0	N/A
READ_21040	ref|NC_022939.1|	94.545	55	2.27e-16	86.1	0	N/A
READ_21040	ref|NC_009774.1|	89.552	67	8.17e-16	84.2	0	N/A
