tissue	marker	gene_id	gene_name	seq	start	counts_by_sample
Bladder	UPK3A	AMEX60DD006472	UPK3A	chr12p	123757446	586,620,314,364,1652,572,432,487,766,240,618,730,879,328,267
Bladder	GATA3	AMEX60DD008149	GATA3	chr12q	732235873	1189,696,346,183,1551,0,396,472,573,198,636,725,3772,312,255
Bladder	KRT19	AMEX60DD010095	LOC108787112 [nr]|KRT19 [hs]	chr13q	301517320	209,355,114,315,337,0,220,190,357,135,330,548,263,96,176
Bladder	KRT19	AMEX60DD010100	AB205_0156120 [nr]|KRT19 [hs]	chr13q	302406530	2102,912,1982,786,2667,0,1923,549,1535,378,2457,1487,2328,154,2007
Bladder	FOXA1	AMEX60DD012261	FOXA1	chr14q	425197883	1749,1082,2051,394,4145,0,1413,731,1525,268,2250,1322,4276,501,2091
Bladder	CLDN7	AMEX60DD012944	AB205_0013530 [nr]|CLDN7 [hs]	chr1p	129581833	337,559,128,322,769,428,360,392,581,249,435,792,501,325,270
Bladder	UPK1A	AMEX60DD015979	UPK1A	chr1p	1104363275	320,498,129,241,1145,330,413,317,575,139,311,649,379,154,236
Bladder	CLDN4	AMEX60DD028403	LOC115094223 [nr]|CLDN4 [hs]	chr3p	781320084	467,593,335,369,1361,472,374,380,737,216,564,867,496,336,342
Bladder	KRT19	AMEX60DD038184	LOC115084509 [nr]|KRT19 [hs]	chr5p	855700851	321,610,156,304,1225,359,370,308,641,229,377,689,394,289,178
Bladder	KRT19	AMEX60DD038192	LOC115084509 [nr]|KRT19 [hs]	chr5p	856475409	159,215,159,120,946,187,187,154,529,31,231,346,199,149,96
Bladder	UPK1B	AMEX60DD047019	UPK1B	chr7p	119341596	837,680,265,206,1808,286,357,368,779,182,420,717,1288,180,519
Bladder	UPK3A	AMEX60DD047436	UPK3A	chr7p	322321160	464,671,752,272,625,771,534,343,637,111,661,790,597,248,332
Bladder	CLDN4	AMEX60DD054260	CLDN4.S [nr]|CLDN4 [hs]	chr9p	332763414	291,163,161,72,1403,201,270,193,371,61,321,309,771,43,188
Bladder	CLDN4	AMEX60DD054261	CLDN4.S [nr]|CLDN4 [hs]	chr9p	332763416	291,163,161,72,1403,201,270,193,371,61,321,309,771,43,188
Bladder	CLDN4	AMEX60DD054262	CLDN3.L [nr]|CLDN4 [hs]	chr9p	332858559	405,592,188,306,1934,323,912,469,933,152,642,806,1625,96,603
Bladder	CLDN4	AMEX60DD054263	LOC115097228 [nr]|CLDN4 [hs]	chr9p	333054596	889,696,214,392,3704,371,535,640,1169,123,1010,1438,3718,101,821
Bladder	CLDN4	AMEX60DD054265	LOC108790888 [nr]|CLDN4 [hs]	chr9p	333403172	858,383,137,161,4290,391,448,394,1160,79,914,552,2247,91,624
Bladder	CLDN4	AMEX60DD054267	LOC115482601 [nr]|CLDN4 [hs]	chr9p	333531106	1077,1336,343,719,4272,846,2954,1286,1753,400,1524,2048,2245,235,2083
Bladder	UPK3B	AMEX60DD054459	LOC115097746 [nr]|UPK3B [hs]	chr9p	409978881	656,555,265,390,2615,415,352,424,1121,187,414,639,493,330,517
Bladder	UPK3B	AMEX60DD054464	LOC102929347 [nr]|UPK3B [hs]	chr9p	411827466	55,62,47,55,181,74,93,52,117,40,63,79,89,45,45
Brain	GFAP	AMEX60DD009861	GFAP	chr13q	213080630	409,1482,585,282,927,0,645,469,823,386,856,942,618,252,367
Brain	TUBB3	AMEX60DD017045	TUBB3.L [nr]|TUBB3 [hs]	chr1q	61902861	850,5003,992,495,1877,1720,1038,985,1496,498,1343,1431,1798,968,1053
Brain	SYT1	AMEX60DD017440	SYT5.L [nr]|SYT1 [hs]	chr1q	220433894	281,1525,379,126,694,564,459,414,409,116,410,1170,505,135,329
Brain	TUBB3	AMEX60DD020258	EOD39_8878 [nr]|TUBB3 [hs]	chr2p	29867200	212,254,120,118,228,311,125,218,290,39,243,343,177,116,67
Brain	GAD2	AMEX60DD021878	GAD2	chr2p	834116905	436,2314,470,307,1521,1001,570,360,707,263,1226,969,441,721,454
Brain	SNAP25	AMEX60DD024385	LOC115100954 [nr]|SNAP25 [hs]	chr2q	674484633	176,342,75,140,200,208,140,223,271,93,171,297,188,88,96
Brain	SNAP25	AMEX60DD024390	LOC102938934 [nr]|SNAP25 [hs]	chr2q	676396353	238,282,80,92,195,240,162,226,277,72,304,241,225,104,62
Brain	TUBB3	AMEX60DD027268	TUBB1 [nr]|TUBB3 [hs]	chr3p	323570982	594,948,835,295,1786,1737,704,566,1132,760,3709,1247,1596,2273,611
Brain	RBFOX3	AMEX60DD031407	RBFOX3	chr3q	1282925568	252,626,153,297,287,412,311,292,390,159,258,658,169,120,96
Brain	SNAP25	AMEX60DD035765	H671_6G15708 [nr]|SNAP25 [hs]	chr4q	662122235	316,1170,449,216,778,465,546,239,509,179,400,834,350,196,313
