[Bladder]
11.1111	2880	AMEX60DD026638	AMEX60DD026638	chr3p:108241307
8.3363	189	OR6B3 [hs]	AMEX60DD026510	chr3p:70409380
8.1469	669	AMEX60DD026606	AMEX60DD026606	chr3p:101531540
8.0653	2042	AMEX60DD026637	AMEX60DD026637	chr3p:108115779
7.8520	243	LOC102937978 [nr]|HERC3 [hs]	AMEX60DD044003	chr6q:84798538
7.5653	416	AMEX60DD026623	AMEX60DD026623	chr3p:103716168
7.3994	175	AMEX60DD038736	AMEX60DD038736	chr5p:1224637529
7.0891	430	AMEX60DD026506	AMEX60DD026506	chr3p:69412517
6.2860	688	AMEX60DD010905	AMEX60DD010905	chr13q:468139049
6.1789	935	AMEX60DD010965	AMEX60DD010965	chr13q:478330203
6.0068	718	AMEX60DD026594	AMEX60DD026594	chr3p:98283415
5.9466	182	EOD39_3890 [nr]|HERC5 [hs]	AMEX60DD044005	chr6q:86407898
5.9433	276	AMEX60DD026509	AMEX60DD026509	chr3p:69788103
5.9107	786	LOC115457562 [nr]|KLRF1 [hs]	AMEX60DD026587	chr3p:96678047
5.8718	763	AMEX60DD026642	AMEX60DD026642	chr3p:109017339
5.8340	890	AMEX60DD026614	AMEX60DD026614	chr3p:102148453
5.8133	1768	AMEX60DD010967	AMEX60DD010967	chr13q:478371435
5.6539	164	AMEX60DD026505	AMEX60DD026505	chr3p:68422713
5.4732	371	AMEX60DD026514	AMEX60DD026514	chr3p:71493435
5.2902	604	AMEX60DD026610	AMEX60DD026610	chr3p:101922655
5.1618	416	OR1F1 [hs]	AMEX60DD026508	chr3p:69770350
4.5493	591	AMEX60DD026605	AMEX60DD026605	chr3p:101496774
4.4518	491	AMEX60DD044571	AMEX60DD044571	chr6q:396882018
4.3891	175	AMEX60DD010942	AMEX60DD010942	chr13q:475520035
4.3121	563	AMEX60DD026643	AMEX60DD026643	chr3p:109117449
4.2348	218	AMEX60DD026589	AMEX60DD026589	chr3p:97591391
4.1840	208	AMEX60DD026613	AMEX60DD026613	chr3p:102069165
4.1643	191	AMEX60DD026567	AMEX60DD026567	chr3p:92132535
4.0137	362	AMEX60DD026615	AMEX60DD026615	chr3p:102362638
3.9124	470	AMEX60DD010941	AMEX60DD010941	chr13q:475514615
3.9123	130	AMEX60DD026604	AMEX60DD026604	chr3p:101429993
3.8425	311	MR1 [hs]	AMEX60DD010943	chr13q:475611119
3.8064	379	TPRA1	AMEX60DD023396	chr2q:111464137
3.5560	336	AMEX60DD026633	AMEX60DD026633	chr3p:107798447
3.5453	653	AMEX60DD052260	AMEX60DD052260	chr8q:256927129
3.5137	351	AMEX60DD010960	AMEX60DD010960	chr13q:477646009
3.4505	300	AMEX60DD010940	AMEX60DD010940	chr13q:475501264
3.4192	172	AMEX60DD026622	AMEX60DD026622	chr3p:103595351
3.3800	131	AMEX60DD026590	AMEX60DD026590	chr3p:97804731
3.3256	294	AMEX60DD010855	AMEX60DD010855	chr13q:464482379

[Brain]
11.1891	4640	AMEX60DD026638	AMEX60DD026638	chr3p:108241307
8.8379	409	OR6B3 [hs]	AMEX60DD026510	chr3p:70409380
8.3267	1157	AMEX60DD026606	AMEX60DD026606	chr3p:101531540
8.2958	3657	AMEX60DD026637	AMEX60DD026637	chr3p:108115779
7.6762	324	AMEX60DD038736	AMEX60DD038736	chr5p:1224637529
7.1545	687	AMEX60DD026506	AMEX60DD026506	chr3p:69412517
7.1503	228	LOC102937978 [nr]|HERC3 [hs]	AMEX60DD044003	chr6q:84798538
