Assembly Accession	Assembly Name	Assembly Submitter	Organism Name
GCF_000001405.10	NCBI34	International Human Genome Sequencing Consortium	Homo sapiens
GCF_000001405.11	NCBI35	International Human Genome Sequencing Consortium	Homo sapiens
GCF_000001405.12	NCBI36	International Human Genome Sequencing Consortium	Homo sapiens
GCF_000001405.13	GRCh37	Genome Reference Consortium	Homo sapiens
GCF_000001405.14	GRCh37.p2	Genome Reference Consortium	Homo sapiens
GCF_000001405.17	GRCh37.p5	Genome Reference Consortium	Homo sapiens
GCF_000001405.21	GRCh37.p9	Genome Reference Consortium	Homo sapiens
GCF_000001405.22	GRCh37.p10	Genome Reference Consortium	Homo sapiens
GCF_000001405.23	GRCh37.p11	Genome Reference Consortium	Homo sapiens
GCF_000001405.24	GRCh37.p12	Genome Reference Consortium	Homo sapiens
GCF_000001405.25	GRCh37.p13	Genome Reference Consortium	Homo sapiens
GCF_000001405.26	GRCh38	Genome Reference Consortium	Homo sapiens
GCF_000001405.27	GRCh38.p1	Genome Reference Consortium	Homo sapiens
GCF_000001405.28	GRCh38.p2	Genome Reference Consortium	Homo sapiens
GCF_000001405.29	GRCh38.p3	Genome Reference Consortium	Homo sapiens
GCF_000001405.30	GRCh38.p4	Genome Reference Consortium	Homo sapiens
GCF_000001405.31	GRCh38.p5	Genome Reference Consortium	Homo sapiens
GCF_000001405.32	GRCh38.p6	Genome Reference Consortium	Homo sapiens
GCF_000001405.33	GRCh38.p7	Genome Reference Consortium	Homo sapiens
GCF_000001405.34	GRCh38.p8	Genome Reference Consortium	Homo sapiens
GCF_000001405.35	GRCh38.p9	Genome Reference Consortium	Homo sapiens
GCF_000001405.36	GRCh38.p10	Genome Reference Consortium	Homo sapiens
GCF_000001405.37	GRCh38.p11	Genome Reference Consortium	Homo sapiens
GCF_000001405.38	GRCh38.p12	Genome Reference Consortium	Homo sapiens
GCF_000001405.39	GRCh38.p13	Genome Reference Consortium	Homo sapiens
GCF_000001405.40	GRCh38.p14	Genome Reference Consortium	Homo sapiens
GCF_000001405.8	NCBI33	International Human Genome Sequencing Consortium	Homo sapiens
GCF_000001405.9	NCBI34	International Human Genome Sequencing Consortium	Homo sapiens
