	1
# FIMO (Find Individual Motif Occurrences): Version 5.5.8 compiled on May 19 2025 at 00:20:33	1
# The format of this file is described at https://meme-suite.org/meme/doc/fimo-output-format.html#tsv_results.	1
# fimo -o ./out/ /corral4/main/objects/8/f/5/dataset_8f58eafc-c3bc-49de-a297-e9293f483197.dat /corral4/main/objects/5/e/6/dataset_5e65fda8-6b67-4101-8931-0635f75f9aa0.dat	1
MA0002.3	11493
MA0003.5	11954
MA0037.5	2260
MA0039.5	13045
MA0080.7	14599
MA0138.3	8103
MA0148.5	4807
MA0680.3	2177
MA0769.3	2530
MA1100.3	15624
