chr10:80000000-81000000	1000000	1000000	230598	0.230598	0.230598
chr11:69000000-70000000	1000000	1000000	212350	0.21235	0.21235
chr8:70000000-71000000	1000000	1000000	181168	0.181168	0.181168
chr7:45000000-46000000	1000000	1000000	179235	0.179235	0.179235
chr11:120000000-121000000	1000000	1000000	172706	0.172706	0.172706
chr17:56000000-57000000	1000000	1000000	171058	0.171058	0.171058
chr8:84000000-85000000	1000000	1000000	166884	0.166884	0.166884
chr7:127000000-128000000	1000000	1000000	158696	0.158696	0.158696
chr7:44000000-45000000	1000000	1000000	156991	0.156991	0.156991
chr19:5000000-6000000	1000000	1000000	156730	0.15673	0.15673
