metric	value
total_reads	40000
assigned_reads	40000
cross_chromosome_ties	30970
no_candidate_reads	0
estimated_error_rate	0.00884028
em_iterations	165
strand_plus	20015.000
strand_minus	19985.000
chr1_length	3000
chr1_unique_best_reads	6282
chr1_em_expected_count	20152.336
chr1_percent	50.380839
chr2_length	3000
chr2_unique_best_reads	995
chr2_em_expected_count	7938.793
chr2_percent	19.846983
chr3_length	3000
chr3_unique_best_reads	1351
chr3_em_expected_count	7879.771
chr3_percent	19.699429
chr4_length	3000
chr4_unique_best_reads	402
chr4_em_expected_count	4029.100
chr4_percent	10.072749
reads_with_0_mismatches	29231
reads_with_1_mismatches	9151
reads_with_2_mismatches	1450
reads_with_3_mismatches	122
reads_with_4_mismatches	13
reads_with_5_mismatches	8
reads_with_6_mismatches	8
reads_with_7_mismatches	2
reads_with_8_mismatches	1
reads_with_9_mismatches	3
reads_with_10_mismatches	5
reads_with_12_mismatches	5
reads_with_14_mismatches	1
FINAL	50,20,20,10
