chr2	88857160	88857683	ENST00000390237.2	100	-	88857360	88857683	2,0,0	1	523,	0,	CDS=88857360:88857683;CDSphase=2;geneID=ENSG00000211592.8;gene_name=IGKC
chr5	150401636	150412769	ENST00000377795.7	100	-	150402583	150412749	0,0,0	6	614,63,63,80,173,145,	0,926,4622,5244,5515,10988,	CDS=150402583:150412749;CDSphase=0;geneID=ENSG00000019582.17;gene_name=CD74
chr5	150401638	150412910	ENST00000009530.13	100	-	150402239	150412749	0,0,0	9	612,63,192,88,96,63,80,173,286,	0,924,1482,3041,3446,4620,5242,5513,10986,	CDS=150402239:150412749;CDSphase=0;geneID=ENSG00000019582.17;gene_name=CD74
chr5	150401652	150412751	ENST00000523836.6	100	-	150401652	150412751	0,0,0	7	598,63,88,1237,80,173,127,	0,910,3027,3432,5228,5499,10972,	geneID=ENSG00000019582.17;gene_name=CD74
chr5	150401657	150412751	ENST00000518797.6	100	-	150406287	150412749	0,0,0	7	593,63,192,88,587,63,127,	0,905,1463,3022,3427,4601,10967,	CDS=150406287:150412749;CDSphase=0;geneID=ENSG00000019582.17;gene_name=CD74
chr5	150401657	150412969	ENST00000523813.2	100	-	150401657	150412969	0,0,0	8	593,63,192,88,1237,80,173,345,	0,905,1463,3022,3427,5223,5494,10967,	geneID=ENSG00000019582.17;gene_name=CD74
chr5	150401657	150412969	ENST00000524315.6	100	-	150401657	150412969	0,0,0	8	593,63,1647,96,63,80,173,345,	0,905,1463,3427,4601,5223,5494,10967,	geneID=ENSG00000019582.17;gene_name=CD74
chr5	150401669	150412750	ENST00000353334.11	100	-	150402239	150412749	0,0,0	8	581,63,88,96,63,80,173,126,	0,893,3010,3415,4589,5211,5482,10955,	CDS=150402239:150412749;CDSphase=0;geneID=ENSG00000019582.17;gene_name=CD74
chr5	150402169	150412749	ENST00000523208.6	100	-	150403306	150412749	0,0,0	7	81,63,192,63,80,173,125,	0,393,951,4089,4711,4982,10455,	CDS=150403306:150412749;CDSphase=0;geneID=ENSG00000019582.17;gene_name=CD74
chr5	150404485	150412746	ENST00000517752.5	100	-	150404485	150412746	0,0,0	6	282,96,63,80,173,122,	0,599,1773,2395,2666,8139,	geneID=ENSG00000019582.17;gene_name=CD74
chr5	150404663	150412751	ENST00000522246.5	100	-	150405172	150412749	0,0,0	5	104,96,63,173,127,	0,421,1595,2488,7961,	CDS=150405172:150412749;CDSphase=0;geneID=ENSG00000019582.17;gene_name=CD74
chr5	150406038	150412912	ENST00000517791.1	100	-	150406038	150412912	0,0,0	3	283,444,288,	0,842,6586,	geneID=ENSG00000019582.17;gene_name=CD74
chr5	150406704	150412751	ENST00000522153.1	100	-	150406704	150412751	0,0,0	3	256,173,127,	0,447,5920,	geneID=ENSG00000019582.17;gene_name=CD74
chr6	73489307	73521575	ENST00000676547.1	100	-	73492702	73520026	0,0,0	7	3497,257,151,297,180,174,576,	0,29046,29390,29624,30029,30575,31692,	CDS=73492702:73520026;CDSphase=0;geneID=ENSG00000156508.19;gene_name=EEF1A1
chr6	73492024	73492742	ENST00000423099.1	100	-	73492024	73492742	0,0,0	2	315,55,	0,663,	geneID=ENSG00000156508.19;gene_name=EEF1A1
chr6	73515749	73521018	ENST00000316292.13	100	-	73517809	73520026	0,0,0	7	2185,235,257,151,297,180,1136,	0,2280,2604,2948,3182,3587,4133,	CDS=73517809:73520026;CDSphase=0;geneID=ENSG00000156508.19;gene_name=EEF1A1
chr6	73515749	73521032	ENST00000309268.11	100	-	73517809	73520026	0,0,0	8	2185,235,257,151,297,180,174,33,	0,2280,2604,2948,3182,3587,4133,5250,	CDS=73517809:73520026;CDSphase=0;geneID=ENSG00000156508.19;gene_name=EEF1A1
chr6	73515749	73521032	ENST00000610520.5	100	-	73517809	73520026	0,0,0	8	2185,235,257,151,297,180,165,33,	0,2280,2604,2948,3182,3587,4142,5250,	CDS=73517809:73520026;CDSphase=0;geneID=ENSG00000156508.19;gene_name=EEF1A1
chr6	73515764	73520591	ENST00000615060.5	100	-	73517809	73520026	0,0,0	8	2170,235,257,151,297,180,174,230,	0,2265,2589,2933,3167,3572,4118,4597,	CDS=73517809:73520026;CDSphase=0;geneID=ENSG00000156508.19;gene_name=EEF1A1
chr6	73517514	73520214	ENST00000678508.1	100	-	73517809	73520026	0,0,0	8	420,235,257,151,297,180,174,64,	0,515,839,1183,1417,1822,2368,2636,	CDS=73517809:73520026;CDSphase=0;geneID=ENSG00000156508.19;gene_name=EEF1A1
chr6	73517514	73520985	ENST00000676710.1	100	-	73517809	73520026	0,0,0	8	420,235,257,151,297,180,174,76,	0,515,839,1183,1417,1822,2368,3395,	CDS=73517809:73520026;CDSphase=0;geneID=ENSG00000156508.19;gene_name=EEF1A1
chr6	73517514	73521032	ENST00000678515.1	100	-	73517991	73520026	0,0,0	7	750,257,151,297,180,174,33,	0,839,1183,1417,1822,2368,3485,	CDS=73517991:73520026;CDSphase=0;geneID=ENSG00000156508.19;gene_name=EEF1A1
