ENSG00000136826.16	43	ENSG00000136826.16	843	800
ENSG00000109971.15	2013	ENSG00000109971.15	2161	148
ENSG00000134333.16	2179	ENSG00000134333.16	2044	135
ENSG00000211592.8	5873	ENSG00000211592.8	5741	132
ENSG00000184009.14	4082	ENSG00000184009.14	3953	129
ENSG00000111640.16	3228	ENSG00000111640.16	3100	128
ENSG00000205542.12	2954	ENSG00000205542.12	3080	126
ENSG00000142534.8	920	ENSG00000142534.8	1044	124
ENSG00000160710.20	969	ENSG00000160710.20	849	120
ENSG00000137154.14	2198	ENSG00000137154.14	2081	117
ENSG00000174444.16	2515	ENSG00000174444.16	2628	113
ENSG00000089157.17	2150	ENSG00000089157.17	2259	109
ENSG00000156508.21	8152	ENSG00000156508.21	8252	100
ENSG00000147403.19	1119	ENSG00000147403.19	1215	96
ENSG00000102144.16	1442	ENSG00000102144.16	1348	94
ENSG00000019582.18	6090	ENSG00000019582.18	6183	93
ENSG00000166441.14	787	ENSG00000166441.14	880	93
ENSG00000231500.8	2126	ENSG00000231500.8	2035	91
ENSG00000094916.17	314	ENSG00000094916.17	402	88
ENSG00000075624.18	11908	ENSG00000075624.18	11994	86
