N_multimapping	107415	107415	107415
N_ambiguous	101093	21449	20126
N_noFeature	22825	415482	421551
N_unmapped	14856	14856	14856
ENSG00000075624.18	11908	5959	5949
ENSG00000156508.21	8152	3934	4223
ENSG00000019582.18	6090	2957	3133
ENSG00000211592.8	5873	3005	3780
ENSG00000184009.14	4082	2091	1991
ENSG00000111640.16	3228	2570	2541
ENSG00000205542.12	2954	1890	2047
ENSG00000136167.16	2864	1621	1688
ENSG00000167658.17	2753	1365	1388
ENSG00000074800.17	2617	1387	1405
ENSG00000174444.16	2515	1231	1285
ENSG00000211896.7	2468	1217	1251
ENSG00000198034.12	2291	1111	1180
ENSG00000137154.14	2198	1097	1102
ENSG00000134333.16	2179	1135	1044
ENSG00000089157.17	2150	1139	1011
ENSG00000231500.8	2126	1151	975
ENSG00000067225.22	2111	1503	1468
ENSG00000100316.17	2108	1017	1091
ENSG00000109971.15	2013	1027	987
ENSG00000115415.22	1788	912	883
ENSG00000142541.19	1781	845	936
ENSG00000102962.6	1755	884	871
ENSG00000166598.17	1734	988	1035
ENSG00000044574.10	1723	853	870
ENSG00000096384.21	1588	827	761
ENSG00000132465.13	1503	1011	975
ENSG00000133112.18	1474	1435	1421
ENSG00000148303.18	1465	682	783
ENSG00000080824.20	1460	786	674
ENSG00000166710.24	1450	1404	893
ENSG00000102144.16	1442	711	731
ENSG00000198804.2	1396	707	694
ENSG00000137818.13	1332	674	658
ENSG00000070756.18	1326	844	805
ENSG00000162511.9	1322	1001	1027
ENSG00000110321.19	1238	657	602
ENSG00000137265.17	1236	624	622
ENSG00000204628.13	1210	604	606
ENSG00000149273.16	1198	617	581
ENSG00000181163.15	1178	628	550
ENSG00000197043.16	1165	621	544
ENSG00000142937.13	1162	641	613
ENSG00000122566.24	1152	588	581
ENSG00000147065.19	1133	576	557
ENSG00000100345.24	1129	569	572
ENSG00000147403.19	1119	686	618
ENSG00000127022.17	1092	548	544
ENSG00000122406.15	1087	632	629
ENSG00000140988.17	1077	665	638
ENSG00000142676.15	1046	563	483
ENSG00000187239.20	1023	503	520
ENSG00000147604.15	1002	567	435
ENSG00000150991.17	997	508	489
ENSG00000161016.19	984	528	456
ENSG00000143947.16	981	496	489
ENSG00000115053.18	980	503	477
ENSG00000174748.23	976	538	477
ENSG00000112306.9	973	483	490
ENSG00000160710.20	969	504	465
ENSG00000122862.6	954	661	615
ENSG00000167526.16	950	457	493
ENSG00000105372.9	950	487	463
ENSG00000108518.9	947	691	718
ENSG00000072274.15	933	524	449
ENSG00000009307.18	929	481	448
ENSG00000142534.8	920	447	473
ENSG00000135486.20	905	490	415
ENSG00000196735.14	904	422	482
ENSG00000111669.16	898	454	444
ENSG00000168028.16	885	413	472
ENSG00000163682.18	874	441	433
ENSG00000187109.16	866	450	416
ENSG00000177954.15	856	434	422
ENSG00000179218.16	832	473	496
ENSG00000125691.16	817	425	392
ENSG00000110955.10	815	384	431
ENSG00000204287.15	814	426	388
ENSG00000188846.14	803	388	415
ENSG00000157601.16	791	481	459
ENSG00000166441.14	787	415	372
ENSG00000140105.19	785	439	418
ENSG00000138071.16	782	445	402
ENSG00000210082.2	779	386	393
ENSG00000144713.14	776	377	399
ENSG00000164587.14	770	380	390
ENSG00000152234.17	768	375	393
ENSG00000198755.12	761	388	373
ENSG00000164924.19	759	383	376
ENSG00000198938.2	755	362	393
ENSG00000196262.16	742	397	345
ENSG00000087460.29	741	381	360
ENSG00000165119.24	739	497	447
ENSG00000179344.18	733	431	404
ENSG00000147649.11	731	372	359
ENSG00000138326.22	726	390	336
