0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
PDE6A	NRG1	PDE6A	PDE6A	CTNNA2	EYS	SDK1	KCNB2	CTNNA2	GRIK1	GRIK1	ROBO2	DST	NRXN3	GRIP1	NRXN3	GRIA4	SDK1	NRXN1	KIRREL3	NRXN3	NRXN3	NRXN3	FAM155A	EYS	ERBB4	RBFOX1	ADARB2	ROBO2	GABRG3	NRXN3	HCN1
EYS	PDE6A	EYS	WWOX	TF	PDE6A	SAMD5	PEX5L	TF	NRXN3	DSCAM	MEG3	DMD	ROBO2	NRXN3	SOX5	PDE4B	CDH12	CDH18	NRXN3	ROBO2	GRIK1	ADARB2	GRID2	PLOD2	GRIK1	ZNF804A	KCNMA1	NRXN3	NEAT1	MDGA2	ANO2
PCDH15	EYS	DMD	EYS	LRRC4C	PCDH15	LRRTM4	AC023905.1	GABRG3	CA10	NRXN3	NRXN1	NRG1	CADPS	ADGRL3	DLGAP1	CACNA1C	LRRTM4	GRIK2	ROBO2	CADPS	PDE4B	CA10	NRXN3	NLRC5	CNTNAP5	ADGRB3	NRXN3	ROBO1	LSAMP	CNTNAP5	PCDH15
ANO2	PCDH15	PCDH15	PCDH15	LSAMP	DMD	NRXN3	GALNT13	LSAMP	MDGA2	KCNIP4	NEAT1	CADPS	NRG3	NAV3	FAM155A	PLCB4	MDGA2	KCNIP4	ADGRL2	CA10	DPP10	ROBO2	PCDH9	NEK5	FGF14	GRIA4	TRPM1	GRID2	FRZB	MACROD2	THSD7B
NTM	ANO2	ANO2	ANO2	GABRG3	ANO2	MDGA2	SLC24A2	LRRC4C	PCDH9	PDE4B	FAM155A	ANKS1B	CA10	DLGAP1	GRIA4	KCNJ3	SAMD5	ZNF804A	CA10	NRG3	KCNIP4	ADGRL2	MDGA2	DMD	KCNH7	CNTNAP2	DST	NTNG1	WIF1	GRID2	NTM
DMD	DMD	ABCA4	DMD	TRPM3	SYNE2	DOK6	NEDD4L	NAV2	MACROD2	ZPBP	KAZN	TAFA4	ADGRB3	DSCAM	LSAMP	LSAMP	ADGRL2	NRXN3	PDE4B	DOK6	CNTNAP2	CADPS	GRIK1	AC048337.1	DSCAM	NRXN3	KCNIP4	CA10	GPM6A	PCDH9	PTPN13
CNGB1	ABCA4	CNGB1	NTM	GLUL	CNGB1	PTPRM	XYLT1	PRKG1	CADPS	CA10	PCDH9	EYS	KCNMA1	GRIA4	GRIP1	FBXL7	CA10	ADGRB3	ADGRB3	ADGRL2	DSCAM	MDGA2	CA10	RSPO4	MDGA2	GRIK2	PTPRG	MDGA2	TF	CADPS	PDE6A
THSD7B	NTM	THSD7B	CNGB1	WIF1	ABCA4	DGKI	EYS	KAZN	DGKB	CNTN4	LRP1B	PRR16	TRPM1	FAM155A	PHACTR1	TNR	NRXN3	CACNA2D3	KCNH7	MDGA2	CNTN4	NRG3	NTNG1	AC079322.1	CA10	ANKS1B	CADPS	PCDH9	CLU	FAM155A	TMEM108
ABCA4	HCN1	NTM	ABCA4	GPM6A	PLOD2	ADGRL2	SEMA6D	NEAT1	TENM3	TENM3	DSCAM	NEBL	IQCJ-SCHIP1	ADGRB3	IL1RAPL1	CNTN4	PTPRM	FAM155A	NFIA	ADGRB3	CADPS	PTPRG	CADPS	CARMN	EPHA3	CNTN4	CSMD1	SAMSN1	LRRC4C	NETO1	EYS
SYNE2	SYNE2	HCN1	THSD7B	PRKG1	NTM	PRKCA	AC112206.2	TRPM3	GRM7	KHDRBS2	TENM4	THSD7A	MDGA2	FGF14	NRG3	NRXN3	DAB1	TMTC2	ZNF804B	TRPM1	NFIA	CACNA2D1	DOK6	ACRBP	THSD7A	NRG3	NRG3	DOK6	PTGDS	NEBL	ABCA4
