rank	chrom	start	end	signal_sum	manual_sum	abs_diff	coord
1	chr10	80000000	81000000	230598.390301	230598.39026	4.06159088016e-05	chr10:80000000-81000000
2	chr11	69000000	70000000	212350.418887	212350.418853	3.43909487128e-05	chr11:69000000-70000000
3	chr8	70000000	71000000	181167.603301	181167.603333	3.21846455336e-05	chr8:70000000-71000000
4	chr7	45000000	46000000	179235.469345	179235.469521	0.000176627188921	chr7:45000000-46000000
5	chr11	120000000	121000000	172705.78331	172705.783552	0.000242316164076	chr11:120000000-121000000
6	chr17	56000000	57000000	171058.21761	171058.217739	0.00012840423733	chr17:56000000-57000000
7	chr8	84000000	85000000	166883.675966	166883.676104	0.000137685798109	chr8:84000000-85000000
8	chr7	127000000	128000000	158695.913563	158695.913528	3.51592898369e-05	chr7:127000000-128000000
9	chr7	44000000	45000000	156991.400017	156991.400149	0.00013224221766	chr7:44000000-45000000
10	chr19	5000000	6000000	156730.419276	156730.419446	0.00016947183758	chr19:5000000-6000000
total_full_1mb_bins	2454
third_highest_coord	chr8:70000000-71000000
