READ_33088/2	91	4	91	+	NM_000558.5	577	200	287	87	87	0	tp:A:P	cm:i:12	s1:i:87	s2:i:87	rl:i:0
READ_51660/2	91	5	84	+	NM_000517.6	576	311	390	79	79	0	tp:A:P	cm:i:10	s1:i:79	s2:i:79	rl:i:0
READ_108764/2	91	60	89	+	NR_002944.2	1354	237	266	29	29	3	tp:A:P	cm:i:2	s1:i:29	s2:i:0	rl:i:0
READ_127931/2	91	50	82	+	NM_001413281.1	1029	985	1017	32	32	0	tp:A:P	cm:i:2	s1:i:32	s2:i:32	rl:i:0
READ_137341/2	91	8	75	+	NM_001127321.1	11525	670	737	56	67	0	tp:A:P	cm:i:6	s1:i:56	s2:i:56	rl:i:0
READ_208126/2	91	10	81	+	NM_000558.5	577	304	375	71	71	0	tp:A:P	cm:i:8	s1:i:71	s2:i:71	rl:i:0
READ_225519/2	91	5	87	+	NM_000518.5	628	327	409	82	82	60	tp:A:P	cm:i:12	s1:i:82	s2:i:35	rl:i:0
READ_237826/2	91	12	83	+	NM_001291866.2	4544	4428	4499	71	71	0	tp:A:P	cm:i:10	s1:i:71	s2:i:71	rl:i:0
READ_283574/2	91	10	85	+	NM_000518.5	628	334	409	75	75	60	tp:A:P	cm:i:11	s1:i:75	s2:i:28	rl:i:0
READ_291666/2	91	28	64	-	XM_047424703.1	6938	3513	3549	36	36	0	tp:A:P	cm:i:3	s1:i:36	s2:i:36	rl:i:31
READ_297576/2	91	14	57	+	XM_047421101.1	4456	1002	1045	43	43	0	tp:A:P	cm:i:5	s1:i:43	s2:i:43	rl:i:0
READ_375609/2	91	1	77	+	NM_000518.5	628	118	194	74	76	17	tp:A:P	cm:i:9	s1:i:74	s2:i:64	rl:i:0
READ_435132/2	91	8	82	+	NM_000518.5	628	466	540	74	74	60	tp:A:P	cm:i:10	s1:i:74	s2:i:0	rl:i:0
READ_449986/2	91	61	88	+	XM_047433925.1	8119	36	63	27	27	0	tp:A:P	cm:i:3	s1:i:27	s2:i:27	rl:i:0
READ_457408/2	91	32	57	+	NM_001025.5	3252	317	342	25	25	0	tp:A:P	cm:i:3	s1:i:25	s2:i:0	rl:i:0
READ_469765/2	91	2	49	+	NM_080677.3	6807	497	544	47	47	28	tp:A:P	cm:i:4	s1:i:47	s2:i:0	rl:i:0
READ_505382/2	91	36	61	+	NM_002865.3	3735	221	246	25	25	0	tp:A:P	cm:i:2	s1:i:25	s2:i:25	rl:i:0
