NCBI GeneID	Gene Type	Common Name	Description	Symbol	Synonyms	Taxonomic ID	Taxonomic Name
105918144	PROTEIN_CODING	mummichog	sonic hedgehog signaling molecule a	shha	shh	8078	Fundulus heteroclitus
136405362	PROTEIN_CODING	lesser sac-winged bat	sonic hedgehog signaling molecule	SHH		249018	Saccopteryx leptura
142158280	PROTEIN_CODING	Fleay's barred frog	sonic hedgehog signaling molecule	SHH		3061075	Mixophyes fleayi
104397125	PROTEIN_CODING	chimney swift	sonic hedgehog signaling molecule	SHH		8897	Chaetura pelagica
101020074	PROTEIN_CODING	olive baboon	sonic hedgehog signaling molecule	SHH		9555	Papio anubis
119256260	PROTEIN_CODING	Iberian mole	sonic hedgehog signaling molecule	SHH		50954	Talpa occidentalis
130274525	PROTEIN_CODING		sonic hedgehog signaling molecule	SHH		327740	Hyla sarda
137173562	PROTEIN_CODING	Atlantic bluefin tuna	sonic hedgehog signaling molecule a	shha		8237	Thunnus thynnus
20423	PROTEIN_CODING	house mouse	sonic hedgehog	Shh	Hx,Dsh,Hhg1,Hxl3,HHG-1,ShhNC,M100081,9530036O11Rik	10090	Mus musculus
125310013	PROTEIN_CODING	allis shad	sonic hedgehog signaling molecule a	shha		278164	Alosa alosa
124996054	PROTEIN_CODING	flathead mullet	sonic hedgehog signaling molecule a	shha		48193	Mugil cephalus
130603035	PROTEIN_CODING	ground parrot	sonic hedgehog signaling molecule	SHH		35540	Pezoporus wallicus
114136393	PROTEIN_CODING	Monterrey platyfish	sonic hedgehog signaling molecule a	shha	shh	32473	Xiphophorus couchianus
137030364	PROTEIN_CODING	predatory carp	sonic hedgehog signaling molecule a	shha		933992	Chanodichthys erythropterus
114607175	PROTEIN_CODING	Common wall lizard	sonic hedgehog signaling molecule	SHH		64176	Podarcis muralis
103063349	PROTEIN_CODING	Burmese python	sonic hedgehog signaling molecule	SHH		176946	Python bivittatus
120504293	PROTEIN_CODING	Eurasian tree sparrow	sonic hedgehog signaling molecule	SHH		9160	Passer montanus
129364981	PROTEIN_CODING	blackstripe livebearer	sonic hedgehog signaling molecule a	shha	TWHH	188132	Poeciliopsis prolifica
110959941	PROTEIN_CODING	spiny chromis	sonic hedgehog signaling molecule a	shha	shh	80966	Acanthochromis polyacanthus
116712358	PROTEIN_CODING	green swordtail	sonic hedgehog signaling molecule a	shha	shh	8084	Xiphophorus hellerii
146701861	PROTEIN_CODING		sonic hedgehog signaling molecule a	shha		163618	Copadichromis virginalis
108937058	PROTEIN_CODING	Asian bonytongue	sonic hedgehog signaling molecule a	shha		113540	Scleropages formosus
126487216	PROTEIN_CODING	reed vole	sonic hedgehog signaling molecule	Shh		100897	Alexandromys fortis
139911711	PROTEIN_CODING	bight redfish	sonic hedgehog signaling molecule a	shha		166262	Centroberyx gerrardi
311503292	PROTEIN_CODING	thicklip grey mullet	sonic hedgehog signaling molecule a	shha		48171	Chelon labrosus
137070971	PROTEIN_CODING	stone moroko	sonic hedgehog signaling molecule a	shha		51549	Pseudorasbora parva
118919593	PROTEIN_CODING	Chinese pangolin	sonic hedgehog signaling molecule	SHH		143292	Manis pentadactyla
128810502	PROTEIN_CODING	Pin-tailed whydah	sonic hedgehog signaling molecule	SHH		187451	Vidua macroura
136707213	PROTEIN_CODING	trahira	sonic hedgehog signaling molecule a	shha		27720	Hoplias malabaricus
114454126	PROTEIN_CODING	blunt-snouted clingfish	sonic hedgehog signaling molecule a	shha	shh	441366	Gouania willdenowi
309462578	PROTEIN_CODING	herring gull	sonic hedgehog signaling molecule	SHH		35669	Larus argentatus
103207794	PROTEIN_CODING		sonic hedgehog signaling molecule	SHH		1230840	Orycteropus afer afer
142902499	PROTEIN_CODING	Chinaman-leatherjacket	sonic hedgehog signaling molecule a	shha		303726	Nelusetta ayraudi
308459099	PROTEIN_CODING		sonic hedgehog signaling molecule	SHH		74359	Podarcis pityusensis
311029218	PROTEIN_CODING	grey gurnard	sonic hedgehog signaling molecule a	shha		426098	Eutrigla gurnardus
125930503	PROTEIN_CODING	snow leopard	sonic hedgehog signaling molecule	SHH		29064	Panthera uncia
141953691	PROTEIN_CODING	Ural owl	sonic hedgehog signaling molecule	SHH		36305	Strix uralensis
117749630	PROTEIN_CODING	lumpfish	sonic hedgehog signaling molecule a	shha		8103	Cyclopterus lumpus
122728578	PROTEIN_CODING	monito del monte	sonic hedgehog signaling molecule	SHH		33562	Dromiciops gliroides
122796357	PROTEIN_CODING	West African lungfish	sonic hedgehog signaling molecule	SHH		7888	Protopterus annectens
139792044	PROTEIN_CODING		sonic hedgehog signaling molecule	SHH		472823	Heliangelus exortis
108520988	PROTEIN_CODING	black snub-nosed monkey	sonic hedgehog signaling molecule	SHH		61621	Rhinopithecus bieti
140364676	PROTEIN_CODING	tidewater goby	sonic hedgehog signaling molecule a	shha		166745	Eucyclogobius newberryi
101351744	PROTEIN_CODING	Florida manatee	sonic hedgehog signaling molecule	SHH		127582	Trichechus manatus latirostris
107591009	PROTEIN_CODING		sonic hedgehog signaling molecule a	shha		75366	Sinocyclocheilus grahami
137463403	PROTEIN_CODING		sonic hedgehog signaling molecule	SHH		187417	Anomalospiza imberbis
308526678	PROTEIN_CODING	Natterer's bat	sonic hedgehog signaling molecule	SHH		109481	Myotis nattereri
126025482	PROTEIN_CODING	white-toothed pygmy shrew	sonic hedgehog signaling molecule	SHH		109475	Suncus etruscus
134497628	PROTEIN_CODING		sonic hedgehog signaling molecule	SHH		51853	Candoia aspera
142200861	PROTEIN_CODING	rufous frog	sonic hedgehog signaling molecule	SHH		238119	Leptodactylus fuscus
309579823	PROTEIN_CODING	jackdaw	sonic hedgehog signaling molecule	SHH		30423	Coloeus monedula
