"Supplementary Table 16. Results from DEPICT gene prioritization analysis. Within each height-associated locus, genes were prioritized using the Data-driven Enrichment-Prioritized Integration for Complex Traits (DEPICT) method. Locus gene sets were constructed by mapping genes to a given locus if they were within, or overlapped with, regions defined by linkage disequilibrium r2>0.5 around the lead SNP of that locus. The DEPICT method prioritizes genes within a given associated loci based on the genes’ functional similarity to genes from other height-associated loci. Genes that are highly similar to genes from other loci obtain low prioritization P-values. Prioritization P-values are adjusted for the number of genes in the given and significance was set at FDR<0.05. Table lists also the biological evidence for each prioritized gene: 1) DEPICT gene set evidence (Supplementary Table 14); 2) OMIM evidence (Supplementary Table 9); 3) GRAIL evidence (Supplementary Table 13); 4) and 5) rodent growth plate evidence&; 6) Jackson Lab evidence was obtained by matching Gene column entries to Jackson Lab database (http://www.informatics.jax.org/) on genes reported to have either ""growth/size"", ""limb/tail/digit"" or ""skeleton"" phenotype; 7) eQTL evidence#; 8) nsSNP evidence (Supplementary Table 7) and 9) distance evidence (Supplementary Table 1). Only genes that were significantly prioritized (FDR<0.05) are listed.

#eQTL lists obtained from Westra et al. 2013 (ref. 21)
&Gene sets obtained from Lui et al. 2012 (ref. 28)"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19
								Matching Criteria for Gene Priortization											
DEPICT locus	Chr.	Locus start	Locus end	Number of genes in locus	Ensembl ID	Gene symbol	New locus	DEPICT prioritization P-value	Signficantly prioritized in DEPICT (FDR<0.05)	OMIM human stature gene	Nominally significant in GRAIL	"Associated with rodent 
growth plate differential
 tissue expression&"	"Associated with rodent
temporal and spatial growth plate differential expression&"	Mouse Genome Informatics database evidence	Within prioritized gene set (FDR<0.05)	Blood eQTL#	1000 Genomes Project nsVariant	Nearest to lead SNP	Evidence count
rs2596831	3	12525931	12705725	3	ENSG00000132155	RAF1	No	1e-16	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	8
rs10748128	12	69864129	69973562	1	ENSG00000166225	FRS2	No	1e-16	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	Yes	7
rs1199734	13	21547171	21635718	1	ENSG00000150457	LATS2	Yes	1e-16	Yes	No	Yes	No	Yes	No	Yes	No	Yes	Yes	6
rs8042424	15	101715928	101792137	1	ENSG00000131873	CHSY1	No	1e-16	Yes	No	No	Yes	Yes	No	Yes	Yes	No	Yes	6
rs12323101	13	32974861	33352157	4	ENSG00000083642	PDS5B	No	1e-16	Yes	No	Yes	No	No	Yes	Yes	Yes	No	Yes	6
rs7154721	14	92432335	92572965	2	ENSG00000100815	TRIP11	No	1e-16	Yes	Yes	No	No	No	Yes	Yes	Yes	No	Yes	6
rs11175992	12	66217911	66360075	1	ENSG00000149948	HMGA2	No	1e-16	Yes	Yes	Yes	No	No	Yes	Yes	No	No	Yes	6
rs2510396	11	68080077	68382802	2	ENSG00000162337	LRP5	Yes	1e-16	Yes	Yes	Yes	No	Yes	Yes	Yes	No	No	No	6
rs6746356	2	174771187	174830430	1	ENSG00000172845	SP3	Yes	1e-16	Yes	No	Yes	Yes	No	Yes	Yes	No	No	Yes	6
rs11950938-rs12055154	5	176560026	176727216	1	ENSG00000165671	NSD1	No	1e-16	Yes	Yes	Yes	No	No	No	Yes	No	Yes	Yes	6
rs12871822	13	48807294	49283498	7	ENSG00000139687	RB1	Yes	1e-16	Yes	No	Yes	No	Yes	Yes	Yes	No	No	No	5
rs3132297	9	137208944	137332431	1	ENSG00000186350	RXRA	Yes	1e-16	Yes	No	Yes	No	No	Yes	Yes	No	No	Yes	5
rs526896-rs9327705	5	134240596	134691744	4	ENSG00000069011	PITX1	No	1e-16	Yes	No	Yes	Yes	No	Yes	Yes	No	No	No	5
rs7652177	3	171757418	172119455	1	ENSG00000075420	FNDC3B	No	1e-16	Yes	No	No	No	No	Yes	Yes	No	Yes	Yes	5
rs12228415	12	14518610	14721283	2	ENSG00000171681	ATF7IP	Yes	1e-16	Yes	No	No	No	No	No	Yes	Yes	Yes	Yes	5
rs129963	16	3775055	3930722	1	ENSG00000005339	CREBBP	Yes	1e-16	Yes	No	Yes	No	No	Yes	Yes	No	No	Yes	5
rs13078528	3	11597544	11762220	1	ENSG00000144560	VGLL4	Yes	1e-16	Yes	No	No	No	No	No	Yes	Yes	Yes	Yes	5
rs2337143	18	46446223	46477081	1	ENSG00000101665	SMAD7	No	1e-16	Yes	No	Yes	No	Yes	No	Yes	No	No	Yes	5
rs731874	15	67356101	67487533	1	ENSG00000166949	SMAD3	Yes	1e-16	Yes	No	Yes	No	No	Yes	Yes	No	No	Yes	5
rs16860216	3	185361527	185542844	1	ENSG00000073792	IGF2BP2	No	1e-16	Yes	No	Yes	Yes	No	No	Yes	No	No	Yes	5
