section	field	value
reference	url	https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_50/gencode.v50.pc_transcripts.fa.gz
reference	sha256	ed3bcd295a39e97f22a5f2b200d6c46c54ca95c3739b614c06ebde7575e316a1
alignment	mapped_records	190707
alignment	primary_mapped_records	189904
alignment	secondary_or_supp_records	803
top_symbols	rank	symbol	primary_read_count
top_symbols	1	EEF1A1	3469
top_symbols	2	ACTB	2444
top_symbols	3	IGHG1	1904
top_symbols	4	IGKC	1541
top_symbols	5	B2M	1253
top_symbols	6	CD74	1253
top_symbols	7	GAPDH	1046
top_symbols	8	TMSB4X	975
top_symbols	9	HLA-B	867
top_symbols	10	ACTG1	836
top_symbols	11	LCP1	684
top_symbols	12	HLA-A	599
top_symbols	13	PKM	598
top_symbols	14	ENO1	577
top_symbols	15	TPT1	576
top_symbols	16	HLA-C	563
top_symbols	17	EEF2	558
top_symbols	18	RPL4	542
top_symbols	19	HLA-DRA	536
top_symbols	20	RPLP0	520
top_symbols	21	RPS4X	493
top_symbols	22	GNG10	479
top_symbols	23	HSP90B1	461
top_symbols	24	RPL3	457
top_symbols	25	RPS6	451
top_genes	rank	gene_id	primary_read_count
top_genes	1	ENSG00000156508	3469
top_genes	2	ENSG00000075624	2444
top_genes	3	ENSG00000211592	1541
top_genes	4	ENSG00000019582	1253
top_genes	5	ENSG00000111640	1046
top_genes	6	ENSG00000166710	1002
top_genes	7	ENSG00000211896	987
top_genes	8	ENSG00000205542	975
top_genes	9	ENSG00000277633	917
top_genes	10	ENSG00000136167	684
top_genes	11	ENSG00000184009	622
top_genes	12	ENSG00000067225	598
top_genes	13	ENSG00000074800	577
top_genes	14	ENSG00000133112	576
top_genes	15	ENSG00000167658	558
top_genes	16	ENSG00000174444	542
top_genes	17	ENSG00000089157	520
top_genes	18	ENSG00000198034	493
top_genes	19	ENSG00000242616	479
top_genes	20	ENSG00000166598	461
top_genes	21	ENSG00000100316	457
top_genes	22	ENSG00000137154	451
top_genes	23	ENSG00000142541	440
top_genes	24	ENSG00000132465	418
top_genes	25	ENSG00000254772	414
top_transcripts	rank	transcript_id	primary_read_count	symbol
top_transcripts	1	ENST00000390237	1541	IGKC
top_transcripts	2	ENST00000390548	424	IGHG1
top_transcripts	3	ENST00000361624	397	MT-CO1
top_transcripts	4	ENST00000631539	394	IGHG1
top_transcripts	5	ENST00000390549	327	IGHG1
top_transcripts	6	ENST00000631466	302	IGHG1
top_transcripts	7	ENST00000390542	236	IGHG1
top_transcripts	8	ENST00000631402	221	IGHG1
top_transcripts	9	ENST00000361381	157	MT-ND4
top_transcripts	10	ENST00000362079	151	MT-CO3
top_transcripts	11	ENST00000637539	143	IGHM
top_transcripts	12	ENST00000480492	137	IGKV1-12
top_transcripts	13	ENST00000632502	133	IGKV1-12
top_transcripts	14	ENST00000390559	128	IGHM
top_transcripts	15	ENST00000631869	127	ENSG00000282150
top_transcripts	16	ENST00000634204	120	IGKV1-33
top_transcripts	17	ENST00000377032	112	IGKV1D-12
top_transcripts	18	ENST00000303577	110	PCBP1
top_transcripts	19	ENST00000361739	108	MT-CO2
top_transcripts	20	ENST00000219235	106	CCL22
top_transcripts	21	ENST00000941195	105	CCL22
top_transcripts	22	ENST00000473726	105	IGKV1-33
top_transcripts	23	ENST00001133982	102	CCL22
top_transcripts	24	ENST00000641136	101	IGHG3
top_transcripts	25	ENST00000451311	100	TMSB4X
minimap2_stderr	text	[M::mm_idx_gen::15.070*1.52] collected minimizers\n[M::mm_idx_gen::20.128*1.64] sorted minimizers\n[M::main::20.266*1.63] loaded/built the index for 382428 target sequence(s)\n[M::mm_mapopt_update::20.266*1.63] mid_occ = 1000\n[M::mm_idx_stat] kmer size: 21; skip: 11; is_hpc: 0; #seq: 382428\n[M::mm_idx_stat::20.466*1.63] distinct minimizers: 19196747 (26.14% are singletons); average occurrences: 10.129; average spacing: 6.044; total length: 1175207128\n[M::worker_pipeline::30.488*1.70] mapped 200414 sequences\n[M::main] Version: 2.31-r1302\n[M::main] CMD: minimap2 -ax sr -t 2 gencode.v50.pc_transcripts.fa /jetstream2/scratch/main/jobs/79095775/inputs/dataset_7d004d70-db5d-417f-a4c4-b18b7203d19e.dat\n[M::main] Real time: 30.888 sec; CPU: 52.291 sec; Peak RSS: 6.397 GB\n
