section	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13
reference	genome_url	https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_50/GRCh38.primary_assembly.genome.fa.gz	sha256	b760d18dbb651dd14dfc290083371b3ef3bff122d43a9cefb13ca4ecf38f05ca									
reference	gtf_url	https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_50/gencode.v50.primary_assembly.annotation.gtf.gz	sha256	89bbad69a8c89fee5fadec0a2f14a098752d27a4ef7f24e4de9bac681e1b18f4									
alignment	mapped_primary_mapq10	181679	spliced_alignments	59255	observed_junctions	27582	known_junctions	26997	novel_junctions	585			
cryptic_exon_pairs	rank	symbol	gene_id	strand	chrom	cryptic_start	cryptic_end	length	left_intron_start	left_intron_end	left_support	right_intron_start	right_intron_end	right_support
cryptic_exon_pairs	1	DNAJC25-GNG10	ENSG00000244115	+	chr9	111664537	111664589	53	111661716	111664536	40	111664590	111666814	33
cryptic_exon_pairs	2	GNG10	ENSG00000242616	+	chr9	111664537	111664589	53	111661716	111664536	40	111664590	111666814	33
cryptic_exon_pairs	3	DTNB	ENSG00000138101	-	chr2	25423443	25423515	73	25421134	25423442	1	25423516	25427594	1
cryptic_exon_pairs	4	DTNB	ENSG00000138101	-	chr2	25423443	25423515	73	25421224	25423442	1	25423516	25427594	1
cryptic_exon_pairs	5	NAALADL2	ENSG00000177694	+	chr3	175242382	175242430	49	175235810	175242381	1	175242431	175271056	1
novel_junctions_by_gene	rank	symbol	gene_id	novel_junction_count	total_support	max_support							
novel_junctions_by_gene	1	GNG10	ENSG00000242616	2	73	40							
novel_junctions_by_gene	2	DNAJC25-GNG10	ENSG00000244115	2	73	40							
novel_junctions_by_gene	3	UBC	ENSG00000150991	10	25	6							
novel_junctions_by_gene	4	RPL5	ENSG00000122406	1	9	9							
novel_junctions_by_gene	5	DIPK1A	ENSG00000154511	1	9	9							
novel_junctions_by_gene	6	DTNB	ENSG00000138101	6	7	2							
novel_junctions_by_gene	7	HNRNPM	ENSG00000099783	1	5	5							
novel_junctions_by_gene	8	HINT1	ENSG00000169567	2	3	2							
novel_junctions_by_gene	9	RPL22L1	ENSG00000163584	1	2	2							
novel_junctions_by_gene	10	ENSG00000269179	ENSG00000269179	1	2	2							
novel_junctions_by_gene	11	TPT1	ENSG00000133112	2	2	1							
novel_junctions_by_gene	12	R3HDM1	ENSG00000048991	2	2	1							
novel_junctions_by_gene	13	PCNX1	ENSG00000100731	2	2	1							
novel_junctions_by_gene	14	NAALADL2	ENSG00000177694	2	2	1							
novel_junctions_by_gene	15	MRE11	ENSG00000020922	2	2	1							
novel_junctions_by_gene	16	HLA-C	ENSG00000204525	2	2	1							
