section	field1	field2	field3	field4	field5	field6	field7	field8
reference	gtf_url	https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_50/gencode.v50.primary_assembly.annotation.gtf.gz	sha256	89bbad69a8c89fee5fadec0a2f14a098752d27a4ef7f24e4de9bac681e1b18f4				
reference	pc_transcripts_url	https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_50/gencode.v50.pc_transcripts.fa.gz	sha256	ed3bcd295a39e97f22a5f2b200d6c46c54ca95c3739b614c06ebde7575e316a1				
candidate	interval	chr9:111664537-111664589	length	53				
gene_annotation	symbol	gene_id	gene_type	chrom	start	end	strand	overlaps_candidate
gene_annotation	DNAJC25-GNG10	ENSG00000244115	protein_coding	chr9	111631386	111670229	+	True
gene_annotation	GNG10	ENSG00000242616	protein_coding	chr9	111661340	111800687	+	True
candidate_exon_overlap	symbol	overlapping_annotated_exons	transcript_ids					
candidate_exon_overlap	DNAJC25-GNG10	0						
candidate_exon_overlap	GNG10	0						
pc_transcript_expression	symbol	primary_read_count	protein_coding_transcripts_in_gtf	pc_fasta_transcripts_with_reads				
pc_transcript_expression	DNAJC25-GNG10	27	1	1				
pc_transcript_expression	GNG10	479	21	21				
target_transcripts	symbol	transcript_id	primary_read_count					
target_transcripts	GNG10	ENST00001134558	50					
target_transcripts	GNG10	ENST00000374293	33					
target_transcripts	GNG10	ENST00000936108	33					
target_transcripts	GNG10	ENST00000936109	33					
target_transcripts	GNG10	ENST00001055155	33					
target_transcripts	GNG10	ENST00001055154	32					
target_transcripts	GNG10	ENST00000856100	30					
target_transcripts	DNAJC25-GNG10	ENST00000374294	27					
target_transcripts	GNG10	ENST00001055156	27					
target_transcripts	GNG10	ENST00001093908	27					
target_transcripts	GNG10	ENST00001075310	26					
target_transcripts	GNG10	ENST00000936112	24					
target_transcripts	GNG10	ENST00000856099	23					
target_transcripts	GNG10	ENST00000936111	23					
target_transcripts	GNG10	ENST00000856098	21					
target_transcripts	GNG10	ENST00000936110	18					
target_transcripts	GNG10	ENST00001120215	18					
target_transcripts	GNG10	ENST00000856097	17					
target_transcripts	GNG10	ENST00001093904	5					
target_transcripts	GNG10	ENST00001093905	2					
target_transcripts	GNG10	ENST00001093906	2					
target_transcripts	GNG10	ENST00001093907	2					
minimap2_stderr	text	[M::mm_idx_gen::14.848*1.53] collected minimizers\n[M::mm_idx_gen::19.999*1.65] sorted minimizers\n[M::main::20.135*1.64] loaded/built the index for 382428 target sequence(s)\n[M::mm_mapopt_update::20.135*1.64] mid_occ = 1000\n[M::mm_idx_stat] kmer size: 21; skip: 11; is_hpc: 0; #seq: 382428\n[M::mm_idx_stat::20.368*1.63] distinct minimizers: 19196747 (26.14% are singletons); average occurrences: 10.129; average spacing: 6.044; total length: 1175207128\n[M::worker_pipeline::29.975*1.71] mapped 200414 sequences\n[M::main] Version: 2.31-r1302\n[M::main] CMD: minimap2 -ax sr -t 2 gencode.v50.pc_transcripts.fa /jetstream2/scratch/main/jobs/79096858/inputs/dataset_7d004d70-db5d-417f-a4c4-b18b7203d19e.dat\n[M::main] Real time: 30.326 sec; CPU: 51.720 sec; Peak RSS: 6.247 GB\n						
