sample	top_taxonomy_name	identity	shared_hashes	median_multiplicity	pvalue	full_taxonomy	taxonomic_subspecies	taxonomic_species	taxonomic_genus	taxonomic_family	taxonomic_order	taxonomic_class	taxonomic_phylum	taxonomic_kingdom	taxonomic_superkingdom	subspecies	serovar	plasmid	bioproject	biosample	taxid	assembly_accession	match_id	taxonomic_parvorder	taxonomic_tribe	taxonomic_suborder	taxonomic_infraorder	taxonomic_subfamily	taxonomic_superorder	taxonomic_subphylum	match_comment	taxonomic_superfamily
unmapped	Pan paniscus	0.972492	256/400	3	0.0	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Pan; paniscus		Pan paniscus	Pan	Hominidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA11815		9597		./rcn/refseq-NC-9597-PRJNA11815-.-.-.-Pan_paniscus.fna	Catarrhini		Haplorrhini	Simiiformes	Homininae	Euarchontoglires	Craniata		Hominoidea
unmapped	Pan troglodytes	0.947576	169/400	3	0.0	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Pan; troglodytes		Pan troglodytes	Pan	Hominidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA10627		9598		./rcn/refseq-NC-9598-PRJNA10627-.-.-.-Pan_troglodytes.fna	Catarrhini		Haplorrhini	Simiiformes	Homininae	Euarchontoglires	Craniata		Hominoidea
unmapped	Homo sapiens	0.924544	114/400	2	0.0	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo; sapiens		Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA30353		9606		./rcn/refseq-NC-9606-PRJNA30353-.-.-.-Homo_sapiens.fna	Catarrhini		Haplorrhini	Simiiformes	Homininae	Euarchontoglires	Craniata		Hominoidea
unmapped	Homo sapiens neanderthalensis	0.923005	111/400	3	0.0	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo; sapiens; neanderthalensis	Homo sapiens neanderthalensis	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA30941		63221		./rcn/refseq-NC-63221-PRJNA30941-.-.-.-Homo_sapiens_neanderthalensis.fna	Catarrhini		Haplorrhini	Simiiformes	Homininae	Euarchontoglires	Craniata		Hominoidea
unmapped	Homo heidelbergensis	0.921426	108/400	3	0.0	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo; heidelbergensis		Homo heidelbergensis	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA232206		1425170		./rcn/refseq-NC-1425170-PRJNA232206-.-.-.-Homo_heidelbergensis.fna	Catarrhini		Haplorrhini	Simiiformes	Homininae	Euarchontoglires	Craniata		Hominoidea
unmapped	Homo sapiens ssp. Denisova	0.9198049999999999	105/400	3	0.0	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo; sapiens; ssp. Denisova	Homo sapiens ssp. Denisova	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA46861		741158		./rcn/refseq-NC-741158-PRJNA46861-.-.-.-Homo_sapiens_ssp._Denisova.fna	Catarrhini		Haplorrhini	Simiiformes	Homininae	Euarchontoglires	Craniata		Hominoidea
unmapped	Gorilla gorilla gorilla	0.8909020000000001	63/400	3	7.370229999999997e-194	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Gorilla; gorilla; gorilla	Gorilla gorilla gorilla	Gorilla gorilla	Gorilla	Hominidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA62967		9595		./rcn/refseq-NC-9595-PRJNA62967-.-.-.-Gorilla_gorilla_gorilla.fna	Catarrhini		Haplorrhini	Simiiformes	Homininae	Euarchontoglires	Craniata		Hominoidea
unmapped	Gorilla gorilla	0.890012	62/400	3	2.422009999999999e-190	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Gorilla; gorilla		Gorilla gorilla	Gorilla	Hominidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA62915		9593		./rcn/refseq-NC-9593-PRJNA62915-.-.-.-Gorilla_gorilla.fna	Catarrhini		Haplorrhini	Simiiformes	Homininae	Euarchontoglires	Craniata		Hominoidea
unmapped	Moloney murine leukemia virus	0.8853469999999999	57/400	1	6.949159999999998e-173	Viruses; Retro-transcribing viruses; Retroviridae; Orthoretrovirinae; Gammaretrovirus; Mammalian gammaretrovirus group; Replication competent viruses; Murine leukemia virus; Moloney murine leukemia virus		Murine leukemia virus	Gammaretrovirus	Retroviridae					Viruses				PRJNA15030		11801		./rcn/refseq-NC-11801-PRJNA15030-.-.-.-Moloney_murine_leukemia_virus.fna					Orthoretrovirinae				
unmapped	Abelson murine leukemia virus	0.8792139999999999	51/400	1	3.151189999999999e-152	Viruses; Retro-transcribing viruses; Retroviridae; Orthoretrovirinae; Gammaretrovirus; unclassified; Abelson murine leukemia virus		Abelson murine leukemia virus	Gammaretrovirus	Retroviridae					Viruses				PRJNA14654		11788		./rcn/refseq-NC-11788-PRJNA14654-.-.-.-Abelson_murine_leukemia_virus.fna					Orthoretrovirinae				
