metric	value
ucsc_centromere_interval_count	48
top_domain_count	40
top_domains_overlapping_centromere	5
gene_free_top_domains	4
gene_free_centromeric_top_domains	4
centromeric_domain_rank_8	chr7:62020000-65060000,length=3040000,ratio=3.47016,genic_fraction=0.542763,tss=227,centromere_overlap=80000
centromeric_domain_rank_10	chr1:122320000-125210000,length=2890000,ratio=2.91721,genic_fraction=0,tss=0,centromere_overlap=2780000
centromeric_domain_rank_16	chr9:43310000-45520000,length=2210000,ratio=3.77707,genic_fraction=0,tss=0,centromere_overlap=2190000
centromeric_domain_rank_20	chr13:15980000-18070000,length=2090000,ratio=3.62576,genic_fraction=0,tss=0,centromere_overlap=1570000
centromeric_domain_rank_26	chr2:92180000-94110000,length=1930000,ratio=2.88985,genic_fraction=0,tss=0,centromere_overlap=1930000
