section	metric	value
dataset	bin_size	10000
dataset	canonical_signal_tags	44795356
dataset	canonical_control_tags	27051753
dataset	noncanonical_signal_tags	102801
dataset	noncanonical_control_tags	57404
dataset	signal_control_scale	1.6559132
chromosome	chr1_signal_control_enrichment	0.89165119
chromosome	chr2_signal_control_enrichment	0.98644583
chromosome	chr3_signal_control_enrichment	0.99060131
chromosome	chr4_signal_control_enrichment	1.0451308
chromosome	chr5_signal_control_enrichment	1.0290905
chromosome	chr6_signal_control_enrichment	0.94127438
chromosome	chr7_signal_control_enrichment	1.0313613
chromosome	chr8_signal_control_enrichment	1.0715066
chromosome	chr9_signal_control_enrichment	0.97631392
chromosome	chr10_signal_control_enrichment	1.0100388
chromosome	chr11_signal_control_enrichment	0.97774166
chromosome	chr12_signal_control_enrichment	0.95782329
chromosome	chr13_signal_control_enrichment	1.035711
chromosome	chr14_signal_control_enrichment	1.0023496
chromosome	chr15_signal_control_enrichment	0.90584487
chromosome	chr16_signal_control_enrichment	0.99807949
chromosome	chr17_signal_control_enrichment	0.78945583
chromosome	chr18_signal_control_enrichment	1.0498677
chromosome	chr19_signal_control_enrichment	1.4523475
chromosome	chr20_signal_control_enrichment	0.96997008
chromosome	chr21_signal_control_enrichment	1.2414133
chromosome	chr22_signal_control_enrichment	0.79350474
chromosome	chrX_signal_control_enrichment	1.2085482
chromosome	chrY_signal_control_enrichment	1.379767
region	tss_0_2kb_bins_signal_control_enrichment	32188,4616756,3316568,0.84064075
region	tss_2_20kb_bins_signal_control_enrichment	137991,21130523,13332239,0.95712702
region	tss_20_100kb_bins_signal_control_enrichment	103967,16563058,9279938,1.0778489
region	tss_over_100kb_bins_signal_control_enrichment	34691,2485019,1123008,1.3363164
region	genic_bins_signal_control_enrichment	228089,34643137,22334448,0.93670839
region	intergenic_bins_signal_control_enrichment	80748,10152219,4717305,1.2996591
top5pct	eligible_selected	284994,14249
top5pct	genic_fraction	0.59288371
top5pct	within_20kb_tss_fraction	0.51119377
top5pct	over_100kb_tss_fraction	0.17039792
domains	threshold_1.25_count_covered_median_p90_max	9018,948360000,40000,180000,8220000
domains	threshold_1.5_count_covered_median_p90_max	5568,528980000,30000,160000,7600000
domains	threshold_2.0_count_covered_median_p90_max	2120,185320000,40000,180000,3570000
top_domains_threshold_1.5	chrom_start_end_length_ratio_genic_fraction_tss_count	values
top_domain	chr21:17920000-25520000	7600000,2.2797956,0.58157895,156
top_domain	chr19:19650000-24200000	4550000,3.3894811,0.86373626,493
top_domain	chr2:79960000-83900000	3940000,2.0258458,0.50761421,56
top_domain	chr13:53810000-57600000	3790000,2.0841546,0.52242744,69
top_domain	chrX:88160000-91780000	3620000,2.1199777,0.22099448,36
top_domain	chr11:36960000-40180000	3220000,2.0829376,0.44409938,40
top_domain	chr2:75910000-78970000	3060000,1.9616485,0.84640523,44
top_domain	chr7:62020000-65060000	3040000,3.4701612,0.54276316,227
top_domain	chr8:3110000-6060000	2950000,1.9962892,0.79661017,39
top_domain	chr1:122320000-125210000	2890000,2.9172143,0,0
top_domain	chr2:122660000-125330000	2670000,2.0156157,0.64794007,36
top_domain	chr2:4090000-6710000	2620000,2.0657082,0.43129771,76
top_domain	chr8:135650000-138150000	2500000,2.1797218,0.716,53
top_domain	chr11:40560000-43030000	2470000,1.9744801,0.64777328,31
top_domain	chr1:104700000-106930000	2230000,2.0556779,0.34080717,36
top_domain	chr9:43310000-45520000	2210000,3.7770684,0,0
top_domain	chr19:56170000-58360000	2190000,4.0758146,0.93150685,455
top_domain	chrX:143650000-145810000	2160000,2.1539284,0.18518519,18
top_domain	chr19:51710000-53800000	2090000,4.007082,0.99521531,578
top_domain	chr13:15980000-18070000	2090000,3.6257646,0,0
top_domain	chr3:440000-2510000	2070000,2.1078054,0.62801932,48
top_domain	chr7:146110000-148160000	2050000,1.940646,1,18
top_domain	chr2:115200000-117200000	2000000,2.1314629,0.49,17
top_domain	chr5:2840000-4800000	1960000,2.3124446,0.4744898,42
top_domain	chr8:113460000-115390000	1930000,1.9221415,0.43005181,23
top_domain	chr2:92180000-94110000	1930000,2.8898534,0,0
top_domain	chr7:52060000-53980000	1920000,1.9246408,0.35416667,37
top_domain	chr14:81720000-83640000	1920000,1.9555281,0.46875,46
top_domain	chrX:145850000-147720000	1870000,2.20394,0.25668449,43
top_domain	chrX:93790000-95660000	1870000,1.9411134,0.2459893,21
top_domain	chr7:8690000-10530000	1840000,1.9054345,0.47282609,32
top_domain	chr2:51000000-52820000	1820000,1.8670277,0.87362637,38
top_domain	chr10:106760000-108560000	1800000,1.9994528,0.73888889,27
top_domain	chrX:32500000-34280000	1780000,1.9566645,0.79775281,21
top_domain	chr7:56120000-57860000	1740000,3.381785,0.61494253,145
top_domain	chr19:36170000-37900000	1730000,3.8653115,0.98843931,407
top_domain	chr9:10640000-12330000	1690000,2.0335401,0.73964497,26
top_domain	chr9:23870000-25540000	1670000,1.9743299,0.43113772,14
top_domain	chr14:39930000-41570000	1640000,1.8672808,0.71341463,19
top_domain	chr14:86070000-87700000	1630000,1.8666728,0.63803681,37
