section	metric	value
dataset	chromosome	chr1
dataset	bin_size	500
dataset	signal_tags	799062
dataset	control_tags	584748
dataset	signal_control_scale	1.3665066
annotation	genes	7090
annotation	unique_transcript_tss	22359
region_promoter_2kb	bins	38885
region_promoter_2kb	genome_fraction	0.078095973
region_promoter_2kb	signal_fraction	0.076782528
region_promoter_2kb	control_fraction	0.1057618
region_promoter_2kb	normalized_enrichment	0.72599491
region_promoter_ring_10kb	bins	89243
region_promoter_ring_10kb	genome_fraction	0.17923412
region_promoter_ring_10kb	signal_fraction	0.17961935
region_promoter_ring_10kb	control_fraction	0.20340044
region_promoter_ring_10kb	normalized_enrichment	0.88308243
region_genic_nonpromoter	bins	309889
region_genic_nonpromoter	genome_fraction	0.6223758
region_genic_nonpromoter	signal_fraction	0.65090569
region_genic_nonpromoter	control_fraction	0.68343799
region_genic_nonpromoter	normalized_enrichment	0.95239904
region_intergenic	bins	149139
region_intergenic	genome_fraction	0.29952823
region_intergenic	signal_fraction	0.27231179
region_intergenic	control_fraction	0.21080021
region_intergenic	normalized_enrichment	1.2918004
top1pct_bins	eligible_bins	86366
top1pct_bins	selected_bins	863
top1pct_bins	promoter_fraction	0.057937428
top1pct_bins	genic_nonpromoter_fraction	0.64426419
top1pct_bins	intergenic_fraction	0.29779838
breadth	window_bp_threshold_runs_covered_median_p90_max	values
breadth	500_1.5	13004,11111000,500,1500,32000
breadth	500_2.0	10883,8554500,500,1500,30000
breadth	500_4.0	4841,2903500,500,1000,6000
breadth	2000_1.5	24472,56206000,1500,5000,174500
breadth	2000_2.0	17777,31917000,1000,4000,118500
breadth	2000_4.0	5442,5882500,500,2000,21000
breadth	10000_1.5	7122,55547500,2500,16000,1544500
breadth	10000_2.0	4643,27914000,2000,13000,785500
breadth	10000_4.0	848,2797000,1000,9000,80000
tss_profile	offset_bp_used_signal_control_ratio	values
tss_profile	-20000	22356,34325,31094,0.87408419
tss_profile	-19500	22357,34066,31263,0.86700447
tss_profile	-19000	22357,34268,31517,0.86549235
tss_profile	-18500	22357,34287,30482,0.88491242
tss_profile	-18000	22357,34650,31212,0.87691739
tss_profile	-17500	22357,34511,31428,0.87082529
tss_profile	-17000	22357,33904,31916,0.85282155
tss_profile	-16500	22357,34312,30922,0.87706459
tss_profile	-16000	22357,33219,31246,0.85429429
tss_profile	-15500	22357,33777,30825,0.87057038
tss_profile	-15000	22357,33885,30750,0.87363394
tss_profile	-14500	22357,33522,31253,0.85882562
