group	names	scores	logfoldchanges	pvals	pvals_adj
endoderm	BLAG03000718	5.4975204	8.445481	3.851689555397519e-08	3.79871482496701e-05
endoderm	BLAG19000761	5.479185	1.3799294	4.272892731857613e-08	3.79871482496701e-05
endoderm	BLAG07000355	5.479185	6.8915296	4.272892731857613e-08	3.79871482496701e-05
endoderm	BLAG13001008	5.4730735	1.2188184	4.4229703249530124e-08	3.79871482496701e-05
endoderm	BLAG19000850	5.454738	9.523544	4.904508990829737e-08	3.79871482496701e-05
endoderm	BLAG19000841	5.454738	11.855035	4.904508990829737e-08	3.79871482496701e-05
endoderm	BLAG07000527	5.4486265	16.716223	5.076033842357667e-08	3.79871482496701e-05
endoderm	BLAG01002480	5.4425144	3.8286304	5.2533667337173266e-08	3.79871482496701e-05
endoderm	BLAG19000422	5.4425144	0.9998257	5.2533667337173266e-08	3.79871482496701e-05
endoderm	BLAG19000849	5.436403	7.029961	5.436697484040136e-08	3.79871482496701e-05
endoderm	BLAG10000068	5.430291	1.4314028	5.6262218769837754e-08	3.79871482496701e-05
endoderm	BLAG19000847	5.430291	4.629843	5.6262218769837754e-08	3.79871482496701e-05
endoderm	BLAG04000893	5.424179	5.288003	5.822141840042968e-08	3.79871482496701e-05
endoderm	BLAG04102217	5.424179	1.0319246	5.822141840042968e-08	3.79871482496701e-05
endoderm	BLAG01001609	5.424179	4.732628	5.822141840042968e-08	3.79871482496701e-05
endoderm	BLAG02000861	5.424179	2.1476285	5.822141840042968e-08	3.79871482496701e-05
endoderm	BLAG09000207	5.4180675	1.1949115	6.024665628984813e-08	3.79871482496701e-05
endoderm	BLAG18000349	5.4180675	4.4624434	6.024665628984813e-08	3.79871482496701e-05
endoderm	BLAG90000256	5.411956	2.0632753	6.234008017546366e-08	3.79871482496701e-05
endoderm	BLAG18000820	5.399732	2.9081295	6.674041454484712e-08	3.79871482496701e-05
endoderm	BLAG06000979	5.3936205	5.3339376	6.905196423991866e-08	3.79871482496701e-05
endoderm	BLAG03001579	5.387509	4.3089223	7.144098253924707e-08	3.79871482496701e-05
endoderm	BLAG13000607	5.3813972	7.8943105	7.390997347620814e-08	3.79871482496701e-05
endoderm	BLAG03000337	5.3813972	2.6395292	7.390997347620814e-08	3.79871482496701e-05
endoderm	BLAG01001818	5.375285	4.502227	7.64615188325741e-08	3.79871482496701e-05
endoderm	BLAG09000552	5.375285	4.283281	7.64615188325741e-08	3.79871482496701e-05
endoderm	BLAG14101207	5.3691735	2.2483487	7.909828044550158e-08	3.79871482496701e-05
endoderm	BLAG02000840	5.3691735	4.3163543	7.909828044550158e-08	3.79871482496701e-05
endoderm	BLAG03000201	5.3691735	4.0133634	7.909828044550158e-08	3.79871482496701e-05
endoderm	BLAG19200001	5.3691735	2.140182	7.909828044550158e-08	3.79871482496701e-05
endoderm	BLAG11000553	5.3691735	3.309975	7.909828044550158e-08	3.79871482496701e-05
endoderm	BLAG08000503	5.363062	0.961639	8.182300257949918e-08	3.79871482496701e-05
endoderm	BLAG06000137	5.35695	2.2971532	8.463851436508852e-08	3.79871482496701e-05
endoderm	BLAG08000678	5.35695	1.5290536	8.463851436508852e-08	3.79871482496701e-05
endoderm	BLAG11000426	5.35695	8.108116	8.463851436508852e-08	3.79871482496701e-05
endoderm	BLAG04001279	5.350838	1.5712143	8.754773230593039e-08	3.79871482496701e-05
endoderm	BLAG04001383	5.350838	5.8849235	8.754773230593039e-08	3.79871482496701e-05
endoderm	BLAG11000991	5.338615	0.7462542	9.36594050701724e-08	3.79871482496701e-05
endoderm	BLAG05000336	5.338615	1.646354	9.36594050701724e-08	3.79871482496701e-05
endoderm	BLAG09000527	5.332503	1.8651996	9.686815332559754e-08	3.79871482496701e-05
endoderm	BLAG04001575	5.326391	1.4480864	1.0018320012332564e-07	3.79871482496701e-05
endoderm	BLAG13000902	5.3202796	0.796478	1.0360793896466148e-07	3.79871482496701e-05
endoderm	BLAG03000717	5.3202796	1.693156	1.0360793896466148e-07	3.79871482496701e-05
endoderm	BLAG01000085	5.314168	3.3547444	1.0714586730878158e-07	3.79871482496701e-05
endoderm	BLAG13000819	5.308056	1.5568233	1.1080058961221374e-07	3.79871482496701e-05
endoderm	BLAG16000568	5.308056	0.7797659	1.1080058961221374e-07	3.79871482496701e-05
endoderm	BLAG18000638	5.3019443	4.1696296	1.1457582045251567e-07	3.79871482496701e-05
endoderm	BLAG02001381	5.2897205	3.2157087	1.225032360082086e-07	3.79871482496701e-05
endoderm	BLAG15000525	5.2897205	4.9712467	1.225032360082086e-07	3.79871482496701e-05
endoderm	BLAG13000982	5.2897205	2.4659595	1.225032360082086e-07	3.79871482496701e-05
endostyle_csg	BLAG09000419	2.4286427	1.1085688	0.015155462132620824	0.5670323144524715
endostyle_csg	BLAG02001007	2.4286427	1.7517211	0.015155462132620824	0.5670323144524715
endostyle_csg	BLAG04000574	2.4286427	2.047336	0.015155462132620824	0.5670323144524715
endostyle_csg	BLAG16000383	2.4286427	4.6359177	0.015155462132620824	0.5670323144524715
endostyle_csg	BLAG03001041	2.4286427	2.2443457	0.015155462132620824	0.5670323144524715
endostyle_csg	BLAG04001279	2.4286427	4.9247065	0.015155462132620824	0.5670323144524715
endostyle_csg	BLAG13000518	2.4286427	5.848214	0.015155462132620824	0.5670323144524715
endostyle_csg	BLAG11000056	2.414685	0.62377185	0.015748826209370848	0.5670323144524715
endostyle_csg	BLAG16000618	2.414685	2.1957107	0.015748826209370848	0.5670323144524715
endostyle_csg	BLAG01102804	2.414685	0.8964921	0.015748826209370848	0.5670323144524715
endostyle_csg	BLAG08000620	2.4007273	0.7185088	0.01636252921571721	0.5670323144524715
endostyle_csg	BLAG19000848	2.4007273	3.0105605	0.01636252921571721	0.5670323144524715
endostyle_csg	BLAG07000685	2.4007273	1.8730004	0.01636252921571721	0.5670323144524715
endostyle_csg	BLAG06001163	2.4007273	1.0683513	0.01636252921571721	0.5670323144524715
endostyle_csg	BLAG19000298	2.4007273	1.326029	0.01636252921571721	0.5670323144524715
endostyle_csg	BLAG09000207	2.4007273	1.6081641	0.01636252921571721	0.5670323144524715
endostyle_csg	BLAG04001574	2.4007273	7.3836727	0.01636252921571721	0.5670323144524715
endostyle_csg	BLAG09001041	2.4007273	0.65810174	0.01636252921571721	0.5670323144524715
endostyle_csg	BLAG06000137	2.4007273	2.8500876	0.01636252921571721	0.5670323144524715
endostyle_csg	BLAG02000586	2.4007273	1.7150991	0.01636252921571721	0.5670323144524715
endostyle_csg	BLAG02001516	2.4007273	3.042889	0.01636252921571721	0.5670323144524715
endostyle_csg	BLAG03001900	2.3867695	0.75333756	0.016997144671180825	0.5670323144524715
endostyle_csg	BLAG06001056	2.3867695	1.6923432	0.016997144671180825	0.5670323144524715
endostyle_csg	BLAG15000756	2.3867695	0.46974453	0.016997144671180825	0.5670323144524715
endostyle_csg	BLAG04002030	2.3867695	2.5589507	0.016997144671180825	0.5670323144524715
endostyle_csg	BLAG02000269	2.3867695	1.5245727	0.016997144671180825	0.5670323144524715
endostyle_csg	BLAG12000473	2.3867695	0.95699316	0.016997144671180825	0.5670323144524715
endostyle_csg	BLAG90000226	2.3728118	1.6297747	0.01765325735232139	0.5670323144524715
endostyle_csg	BLAG13000141	2.3728118	1.1979814	0.01765325735232139	0.5670323144524715
endostyle_csg	BLAG01001676	2.3728118	0.4271988	0.01765325735232139	0.5670323144524715
endostyle_csg	BLAG01001609	2.3728118	6.3039937	0.01765325735232139	0.5670323144524715
endostyle_csg	BLAG03001612	2.3728118	1.5236975	0.01765325735232139	0.5670323144524715
endostyle_csg	BLAG19200001	2.3728118	3.2647917	0.01765325735232139	0.5670323144524715
endostyle_csg	BLAG19000849	2.3728118	10.0827265	0.01765325735232139	0.5670323144524715
endostyle_csg	BLAG19000005	2.3728118	0.83480734	0.01765325735232139	0.5670323144524715
endostyle_csg	BLAG04000601	2.3728118	1.5826488	0.01765325735232139	0.5670323144524715
endostyle_csg	BLAG01001701	2.3728118	0.8022121	0.01765325735232139	0.5670323144524715
endostyle_csg	BLAG10000442	2.3728118	1.0776416	0.01765325735232139	0.5670323144524715
endostyle_csg	BLAG15000709	2.3728118	1.0777336	0.01765325735232139	0.5670323144524715
endostyle_csg	BLAG04001369	2.3728118	7.0120945	0.01765325735232139	0.5670323144524715
endostyle_csg	BLAG02001453	2.3728118	0.8935108	0.01765325735232139	0.5670323144524715
endostyle_csg	BLAG01002505	2.3728118	0.9791895	0.01765325735232139	0.5670323144524715
endostyle_csg	BLAG03001268	2.3728118	0.36086994	0.01765325735232139	0.5670323144524715
endostyle_csg	BLAG01002382	2.3728118	0.823305	0.01765325735232139	0.5670323144524715
endostyle_csg	BLAG03000895	2.358854	1.5227345	0.018331463327675192	0.5670323144524715
endostyle_csg	BLAG02000122	2.358854	0.8556596	0.018331463327675192	0.5670323144524715
endostyle_csg	BLAG01002607	2.358854	1.5706946	0.018331463327675192	0.5670323144524715
endostyle_csg	BLAG04000893	2.358854	6.9861126	0.018331463327675192	0.5670323144524715
endostyle_csg	BLAG04001425	2.358854	0.49502584	0.018331463327675192	0.5670323144524715
endostyle_csg	BLAG07000682	2.358854	0.7496658	0.018331463327675192	0.5670323144524715
muscular_somites	BLAG09001162	2.4286427	0.91538453	0.015155462132620824	0.5409824656554387
muscular_somites	BLAG17000360	2.4286427	1.6136734	0.015155462132620824	0.5409824656554387
muscular_somites	BLAG02001975	2.4286427	1.490487	0.015155462132620824	0.5409824656554387
muscular_somites	BLAG02000734	2.4286427	0.22243956	0.015155462132620824	0.5409824656554387
muscular_somites	BLAG02001980	2.4286427	3.1380663	0.015155462132620824	0.5409824656554387
muscular_somites	BLAG90000299	2.4286427	52.45023	0.015155462132620824	0.5409824656554387
muscular_somites	BLAG04000870	2.4286427	1.7320099	0.015155462132620824	0.5409824656554387
muscular_somites	BLAG04000768	2.4286427	2.6676311	0.015155462132620824	0.5409824656554387
muscular_somites	BLAG08001206	2.4286427	2.6559448	0.015155462132620824	0.5409824656554387
