ENSMUSG00000095320	Ccl21a
ENSMUSG00000094350	Gm10931
ENSMUSG00000096237	CT868723.1
ENSMUSG00000094722	AC125178.1
ENSMUSG00000095728	AC125178.3
ENSMUSG00000095076	AC125178.2
ENSMUSG00000096776	Vmn1r186
ENSMUSG00000096244	AC102264.1
ENSMUSG00000079800	AC125149.3
ENSMUSG00000095092	AC125149.5
ENSMUSG00000079192	AC125149.1
ENSMUSG00000079794	AC125149.2
ENSMUSG00000094799	AC125149.4
ENSMUSG00000095019	AC234645.1
ENSMUSG00000094915	AC168977.2
ENSMUSG00000079808	AC168977.1
ENSMUSG00000095041	PISD
ENSMUSG00000063897	DHRSX
ENSMUSG00000096730	Vmn2r122
ENSMUSG00000095742	CAAA01147332.1
