SECTION	STRUCTURAL_METRICS
index	filename	rows	invalid	canonical_fraction	chrM_fraction	plus_fraction	adjacent_exact_fraction	adjacent_locus_fraction	sorted_violations	occupied_50kb_bins	effective_50kb_bins	top_lengths	top_chroms	top_scores
1	1.tagAlign.gz	10000000	0	1.00000000	0.00000000	0.49957910	0.10105770	0.11884480	2	57826	31112.890	50:10000000	chr1:889161,chr2:854350,chr3:667290,chr6:610596,chr5:604513,chr4:546196,chr11:510834,chr7:504682	1000:10000000
2	2.tagAlign.gz	10000000	0	1.00000000	0.00000000	0.49968630	0.11995400	0.14635850	2	57712	20332.883	50:10000000	chr1:1118336,chr2:728707,chr3:675974,chr7:665868,chr6:578935,chr5:578367,chr11:511981,chr12:467836	1000:10000000
3	3.tagAlign.gz	10000000	0	1.00000000	0.00000000	0.49999130	0.08384160	0.10337340	2	57577	23624.035	50:10000000	chr1:949358,chr2:714879,chr19:622012,chr3:557354,chr17:545816,chr11:537915,chr7:516804,chr6:507324	1000:10000000
4	4.tagAlign.gz	10000000	0	0.99798870	0.00000000	0.49997190	0.05284500	0.06273920	11	57289	21544.125	50:10000000	chr1:1187314,chr2:765523,chr6:690518,chr7:681336,chr3:600719,chr5:541960,chr11:504114,chr4:457563	1000:10000000
5	5.tagAlign.gz	10000000	0	1.00000000	0.00000000	0.50015480	0.08109150	0.09913390	2	57569	15030.349	50:10000000	chr2:989650,chr1:960541,chr7:839390,chr12:798204,chr3:561643,chr10:521830,chr6:493884,chr17:483365	1000:10000000
6	6.tagAlign.gz	10000000	0	1.00000000	0.00000000	0.50000880	0.14986040	0.17846200	2	57600	13903.294	50:10000000	chr1:793453,chr2:745047,chr11:726996,chr17:629113,chr19:611764,chr10:566794,chr12:543473,chr20:518404	1000:10000000
7	7.tagAlign.gz	10000000	0	1.00000000	0.00000000	0.50006140	0.15799400	0.19093740	2	57363	18360.157	50:10000000	chr1:939076,chr2:703843,chr19:615128,chr3:579454,chr6:519660,chr17:518271,chr11:512795,chr7:490269	1000:10000000
8	8.tagAlign.gz	10000000	0	1.00000000	0.00000000	0.49979020	0.02895710	0.03367990	2	57364	38951.147	50:10000000	chr2:949285,chr1:758334,chr5:600945,chr3:583924,chr7:560853,chr17:539477,chr8:537755,chr10:518081	1000:10000000
9	9.tagAlign.gz	10000000	0	1.00000000	0.00000000	0.39923060	0.24631960	0.25072870	2	56968	23.558	50:10000000	chr11:2381042,chr1:651873,chr2:596550,chr3:563698,chr20:492275,chr17:479054,chr7:456425,chr5:422574	1000:10000000
10	10.tagAlign.gz	10000000	0	1.00000000	0.00000000	0.49313430	0.08876160	0.10242580	2	56948	4055.758	50:10000000	chr1:882525,chr2:798760,chr7:711085,chr11:668504,chr17:631140,chr3:538098,chr19:507445,chr10:464351	1000:10000000
SECTION	CORRELATION_50KB
index	1	2	3	4	5	6	7	8	9	10	median_to_others
1	1.000000	0.780810	0.768133	0.749971	0.875643	0.739954	0.780652	0.855652	0.787302	0.771906	0.780652
2	0.780810	1.000000	0.859377	0.815801	0.821921	0.836276	0.851646	0.838704	0.815225	0.846517	0.836276
3	0.768133	0.859377	1.000000	0.840904	0.800299	0.922625	0.929138	0.863184	0.875721	0.934656	0.863184
4	0.749971	0.815801	0.840904	1.000000	0.779430	0.846238	0.848555	0.776045	0.778195	0.828005	0.815801
5	0.875643	0.821921	0.800299	0.779430	1.000000	0.790287	0.802428	0.877091	0.801769	0.800367	0.801769
6	0.739954	0.836276	0.922625	0.846238	0.790287	1.000000	0.909349	0.803870	0.824839	0.892035	0.836276
7	0.780652	0.851646	0.929138	0.848555	0.802428	0.909349	1.000000	0.827255	0.829529	0.901914	0.848555
8	0.855652	0.838704	0.863184	0.776045	0.877091	0.803870	0.827255	1.000000	0.910950	0.880720	0.855652
9	0.787302	0.815225	0.875721	0.778195	0.801769	0.824839	0.829529	0.910950	1.000000	0.895249	0.824839
10	0.771906	0.846517	0.934656	0.828005	0.800367	0.892035	0.901914	0.880720	0.895249	1.000000	0.880720
SECTION	CORRELATION_1MB
index	1	2	3	4	5	6	7	8	9	10	median_to_others
1	1.000000	0.922619	0.920393	0.912269	0.965818	0.906092	0.937051	0.947066	0.927698	0.925375	0.925375
2	0.922619	1.000000	0.951818	0.923150	0.923978	0.918549	0.934703	0.944234	0.917841	0.933402	0.923978
3	0.920393	0.951818	1.000000	0.935169	0.917154	0.958191	0.967004	0.947194	0.939176	0.970380	0.947194
4	0.912269	0.923150	0.935169	1.000000	0.912466	0.936885	0.946210	0.900771	0.907824	0.932869	0.923150
5	0.965818	0.923978	0.917154	0.912466	1.000000	0.910770	0.927434	0.944124	0.925838	0.925753	0.925753
6	0.906092	0.918549	0.958191	0.936885	0.910770	1.000000	0.963101	0.899549	0.922031	0.953750	0.922031
7	0.937051	0.934703	0.967004	0.946210	0.927434	0.963101	1.000000	0.925169	0.935797	0.967268	0.937051
8	0.947066	0.944234	0.947194	0.900771	0.944124	0.899549	0.925169	1.000000	0.950121	0.943927	0.944124
9	0.927698	0.917841	0.939176	0.907824	0.925838	0.922031	0.935797	0.950121	1.000000	0.960471	0.927698
10	0.925375	0.933402	0.970380	0.932869	0.925753	0.953750	0.967268	0.943927	0.960471	1.000000	0.943927
