index	filename	plus	minus	forward_at_9	reverse_at_9	forward_9_over_neighbor_mean	reverse_9_over_neighbor_mean	forward_0_30	reverse_0_30
1	1.tagAlign.gz	66962	67315	2491	2543	0.99228203	1.05661161	3469,2031,3205,2900,2960,2426,2464,2470,2525,2491,2622,2614,2485,2477,2562,2471,2467,2464,2559,2468,2491,2475,2556,2569,2602,2477,2632,2665,2672,2646,2758	3469,2093,1960,2437,2407,2409,2724,2322,2468,2543,2330,2311,2346,2344,2277,2242,2214,2285,2208,2215,2190,2180,2212,2160,2165,2109,2071,2136,2104,2046,1997
2	2.tagAlign.gz	85617	85916	4886	4891	1.01114934	0.99375222	6013,4382,5781,5255,5449,4986,4928,4854,4833,4886,4823,4763,4700,4770,4765,4659,4662,4576,4686,4897,4753,4822,4956,4966,5021,5126,5265,5255,5381,5485,5692	6013,4640,4614,5888,5221,5146,5345,4822,4835,4891,4896,4814,4769,4747,4745,4696,4642,4547,4598,4601,4436,4415,4477,4377,4308,4438,4403,4261,4198,4231,4249
3	3.tagAlign.gz	116999	116797	3386	3277	1.04691969	0.99074109	4124,2912,3648,3820,3731,3146,3352,3256,3342,3386,3268,3196,3205,3109,3106,3142,3061,3068,3060,3014,3073,3106,3032,3088,3162,3242,3235,3222,3325,3345,3438	4124,3044,2888,3823,3555,3538,3629,3161,3308,3277,3186,3212,3204,3223,3131,3165,3222,2948,3047,2968,2968,2995,3008,3011,2920,3002,2854,2933,2855,2867,2823
4	4.tagAlign.gz	103600	103415	10141	3411	3.15427683	1.00088028	2636,3489,3518,3462,5597,2873,2757,3852,3103,10141,3265,4138,2689,3043,5097,3625,3707,3451,3181,4884,3598,3783,3475,3425,3852,3359,3695,3509,3553,3372,3486	2636,5221,3248,3776,3234,3214,3927,3140,3584,3411,3491,3391,3271,3246,3291,3314,3249,3191,3189,3254,3225,3239,3257,3096,3087,3150,3095,3134,3082,2990,3107
5	5.tagAlign.gz	64063	63727	2267	2345	0.95382350	1.01028596	2963,2030,2896,2616,2641,2438,2416,2357,2346,2267,2341,2433,2330,2353,2248,2380,2265,2207,2287,2273,2255,2368,2353,2397,2477,2435,2418,2501,2465,2573,2645	2963,2043,2105,2809,2504,2385,2583,2260,2369,2345,2305,2210,2217,2240,2226,2183,2109,2106,2050,2123,2062,2129,2036,1931,1982,2009,1914,1971,1940,1918,1923
6	6.tagAlign.gz	95018	95187	5184	5119	1.04245532	1.00352872	6635,4365,5766,5876,5707,5018,5098,5135,5176,5184,4894,4879,4862,4721,4543,4632,4500,4543,4468,4451,4509,4502,4493,4502,4542,4516,4598,4791,4735,4875,4851	6635,4758,4600,5978,5558,5289,5585,5047,5117,5119,5036,4913,4986,4835,4873,4858,4705,4706,4674,4657,4644,4674,4730,4613,4699,4629,4519,4642,4512,4536,4466
7	7.tagAlign.gz	97292	96687	5441	5183	1.05203625	0.99963837	6651,4754,5784,6168,5966,5193,5162,5355,5334,5441,5213,5067,5027,5024,4987,4981,4967,4810,4870,4832,4806,4932,4967,4871,5048,5072,5230,5324,5380,5525,5655	6651,4936,4750,6040,5716,5464,5708,5117,5077,5183,5057,5024,5052,4980,4883,4961,4797,4719,4862,4697,4707,4608,4387,4566,4551,4547,4520,4471,4504,4383,4338
8	8.tagAlign.gz	65991	65691	892	964	1.08565343	0.97805961	1008,932,1028,1023,954,848,852,790,856,892,814,831,778,804,792,818,840,816,744,777,872,753,771,756,749,780,801,779,782,762,789	1008,1049,862,1051,978,1034,1031,967,973,964,990,958,951,981,962,926,924,904,918,873,862,874,870,897,891,887,897,869,880,897,849
9	9.tagAlign.gz	52120	53297	421	460	0.96091298	0.93734080	480,419,542,470,478,479,439,416,448,421,410,405,444,464,439,398,414,426,420,419,468,427,432,375,365,386,377,417,381,414,386	480,485,433,544,525,484,527,481,466,460,502,478,479,509,524,494,484,445,459,484,491,441,498,444,468,406,421,442,427,441,419
10	10.tagAlign.gz	104435	106048	4109	4379	1.03677537	0.97028112	5395,4391,4505,4780,4919,4225,3978,3832,4005,4109,3900,3991,3927,3848,4043,3943,4015,4062,4000,4182,4501,4674,4105,3622,3548,3559,3662,3776,3647,3540,3625	5395,5742,5264,4991,4698,4602,4756,4589,4448,4379,4509,4452,4340,4409,4396,4435,4505,4403,4283,4216,4313,4428,4409,4373,4234,4327,4204,4211,4247,4258,4135
