rank	chrom	start	end	total_signal	all_full_bins
1	chr10	80000000	81000000	230598.39026038069	2454
2	chr11	69000000	70000000	212350.41885266546	2454
3	chr8	70000000	71000000	181167.60333280079	2454
4	chr7	45000000	46000000	179235.46952145174	2454
5	chr11	120000000	121000000	172705.78355243895	2454
6	chr17	56000000	57000000	171058.21773859207	2454
7	chr8	84000000	85000000	166883.67610370275	2454
8	chr7	127000000	128000000	158695.91352779418	2454
9	chr7	44000000	45000000	156991.4001492504	2454
10	chr19	5000000	6000000	156730.41944565717	2454
11	chr10	81000000	82000000	155578.87159113772	2454
12	chr7	16000000	17000000	153266.00489150733	2454
13	chr7	19000000	20000000	152751.06492222287	2454
14	chr17	35000000	36000000	150310.18164986279	2454
15	chr2	30000000	31000000	149265.11085362174	2454
16	chr2	32000000	33000000	148695.40855624247	2454
17	chr11	98000000	99000000	144827.97307033092	2454
18	chr19	6000000	7000000	144078.05392929353	2454
19	chr8	120000000	121000000	143952.49693131074	2454
20	chr11	97000000	98000000	143522.59595484473	2454
21	chr10	128000000	129000000	142798.86390181258	2454
22	chr11	116000000	117000000	141390.85080564488	2454
23	chr11	102000000	103000000	141190.91272108722	2454
24	chr11	117000000	118000000	139436.82080881204	2454
25	chr4	133000000	134000000	138902.57735864259	2454
