section	chrom	start	end	length_or_sum	note
chrom	chr1	0	195471971	195471971	full_1Mb_bins=195
chrom	chr10	0	130694993	130694993	full_1Mb_bins=130
chrom	chr11	0	122082543	122082543	full_1Mb_bins=122
chrom	chr12	0	120129022	120129022	full_1Mb_bins=120
chrom	chr13	0	120421639	120421639	full_1Mb_bins=120
chrom	chr14	0	124902244	124902244	full_1Mb_bins=124
chrom	chr15	0	104043685	104043685	full_1Mb_bins=104
chrom	chr16	0	98207768	98207768	full_1Mb_bins=98
chrom	chr17	0	94987271	94987271	full_1Mb_bins=94
chrom	chr18	0	90702639	90702639	full_1Mb_bins=90
chrom	chr19	0	61431566	61431566	full_1Mb_bins=61
chrom	chr2	0	182113224	182113224	full_1Mb_bins=182
chrom	chr3	0	160039680	160039680	full_1Mb_bins=160
chrom	chr4	0	156508116	156508116	full_1Mb_bins=156
chrom	chr5	0	151834684	151834684	full_1Mb_bins=151
chrom	chr6	0	149736546	149736546	full_1Mb_bins=149
chrom	chr7	0	145441459	145441459	full_1Mb_bins=145
chrom	chr8	0	129401213	129401213	full_1Mb_bins=129
chrom	chr9	0	124595110	124595110	full_1Mb_bins=124
sample	chr1	0	1000000	0	exact_mean_times_width
sample	chr1	1000000	2000000	0	exact_mean_times_width
sample	chr1	194000000	195000000	62344.4045453	exact_mean_times_width
sample	chr2	0	1000000	0	exact_mean_times_width
sample	chr2	1000000	2000000	0	exact_mean_times_width
sample	chr2	181000000	182000000	89420.0112951	exact_mean_times_width
sample	chr19	0	1000000	0	exact_mean_times_width
sample	chr19	1000000	2000000	0	exact_mean_times_width
sample	chr19	60000000	61000000	64673.745641	exact_mean_times_width
