Cell type identity	Gene list used for plotting in Stereo-seq	Sections to show	Genes showing expected expression pattern among the Top 20 DEGs	Orthologous to known marker genes	Reference Literature
Epidermis	TraesCS2D03G0324400	experiment 2 section 3	TraesCS2D03G0324500		
	TraesCS2D03G0324500		TraesCS2D03G0324400		
			TraesCS2A03G0309200		
			TraesCS2B03G0426900		
			TraesCS2B03G0426800		
			TraesCS2A03G0309100LC		
			TraesCS7B03G1286700		
			TraesCS2B03G0426600LC		
			TraesCS5B03G1313300		
			TraesCS2B03G1540400		
			TraesCS6B03G0242600		
			TraesCS3D03G1015700	TraesCS3D03G1015700 is orthologous to Os01g0937050: CLP in Rice epidermis/root hair	PMID: 33824350  (Zhang et al., 2021)
			TraesCS1D03G0362900		
			TraesCS7B03G0829700LC		
			TraesCS5D03G1173000		
			TraesCS3A03G0103100		
			TraesCS7A03G0992200LC		
			TraesCS2B03G1534500		
Cortex	TraesCS1D03G0787400	experiment 2 section 3	TraesCS7B03G0820900		
	TraesCS3A03G0974500		TraesCS2B03G1383800LC		
	TraesCS3D03G0911000		TraesCS1D03G0534600		
	TraesCS1B03G0646400		TraesCS1A03G0676300		
	TraesCS3B03G1121400		TraesCS4B03G0814900		
	TraesCS3B03G1120300		TraesCS3B03G1121400		
	TraesCS2B03G1501600		TraesCS1B03G0768600		
			TraesCS1B03G0646400	TraesCS1B03G0646400 is orthologous to LOC_Os04g46810: Hybrid Proline-Rich Protein 12 in Rice cortex	PMID: 33352304  (Liu et al., 2021)
			TraesCS1A03G0554700		
			TraesCS3D03G0911000		
			TraesCS2D03G0925700		
			TraesCS3A03G0974500		
			TraesCS1D03G0787300		
			TraesCS1D03G0787400		
Xylem	TraesCS5D03G0377000	experiment 2 section 2	TraesCS5D03G0377000	TraesCS5D03G0377000 is orthologus to AT4G35350: XCP1 in Arabidopsis xylem; is the same gene as TraesCS5D02G152400 : XCP1 in Wheat protoxylem	PMID: 10889267 (Zhao et al., 2000); PMID: 37016448  (Zhang et al., 2023)
	TraesCS5A03G0388600		TraesCS5A03G0388600		
			TraesCS5B03G0387000		
			TraesCS1A03G0062800		
Phloem	TraesCS2D03G0068900	experiment 2 section 3	TraesCS2B03G0108200		
	TraesCS6A03G0202900		TraesCS2D03G0068900		
