idx	label	Rod_fold_avg_lfc	abs_Rod_fold_avg_lfc
0	1	0.0067381859	0.0067381859
1	0	0.1957426965	0.1957426965
2	0	-0.0029461861	0.0029461861
3	1	0.0440807343	0.0440807343
4	0	0.0026255609	0.0026255609
5	1	0.0124646183	0.0124646183
6	0	0.0458084121	0.0458084121
7	1	0.0117248539	0.0117248539
8	0	0.0485477448	0.0485477448
9	1	0.0222811699	0.0222811699
10	1	-0.0005093574	0.0005093574
11	0	0.0097419741	0.0097419741
12	1	0.0106738089	0.0106738089
13	0	0.0236919411	0.0236919411
14	1	0.0765641183	0.0765641183
15	0	-0.0158780105	0.0158780105
16	0	0.0011043549	0.0011043549
17	1	-0.0137213711	0.0137213711
18	1	-0.4041179717	0.4041179717
19	0	0.0013663291	0.0013663291
20	1	0.5160924792	0.5160924792
21	0	-0.0110874176	0.0110874176
22	1	-0.0270133968	0.0270133968
23	0	-0.0090612415	0.0090612415
24	1	-0.0004290581	0.0004290581
25	0	0.0185873993	0.0185873993
26	1	0.0130375866	0.0130375866
27	0	0.0439315811	0.0439315811
28	1	-0.0265945438	0.0265945438
29	0	0.0060089109	0.0060089109
30	0	0.0033411980	0.0033411980
31	1	0.0835154504	0.0835154504
32	1	-0.0336288437	0.0336288437
33	0	-0.0249253269	0.0249253269
34	1	0.0047204020	0.0047204020
35	0	0.0180950165	0.0180950165
36	0	-0.0057135583	0.0057135583
37	1	-0.0271409992	0.0271409992
38	1	-0.0400183685	0.0400183685
39	0	0.0154053690	0.0154053690
40	1	0.1112419143	0.1112419143
41	0	0.0256975181	0.0256975181
42	1	0.0382540710	0.0382540710
43	0	-0.0090598110	0.0090598110
44	1	-0.1189106926	0.1189106926
45	0	0.0169227608	0.0169227608
46	0	-0.0219606403	0.0219606403
47	1	-0.0646229759	0.0646229759
48	1	0.0194577221	0.0194577221
49	0	0.0573956482	0.0573956482
50	0	0.0084326742	0.0084326742
51	1	-0.0184602737	0.0184602737
52	0	0.0006588936	0.0006588936
53	1	0.0001481056	0.0001481056
54	0	0.0247445107	0.0247445107
55	1	0.0477138534	0.0477138534
