# matrix_rows	295420
# matrix_columns	9
# chromosomes	chr1,chr10,chr11,chr12,chr13,chr14,chr15,chr16,chr17,chr18,chr19,chr2,chr20,chr21,chr22,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chrX
# start_min	0
# start_max	248950000
# top_bin_fraction	0.02

[columns]
cell_type	total_counts	nonzero_bins	zero_fraction	max_count	mean_count
AIIamacrine	11836803	279885	0.052586	1689	40.067710
Astrocyte	7530916	270142	0.085566	1303	25.492235
Cone	48403523	282518	0.043673	9020	163.846466
GABAamacrine	37015795	282551	0.043562	4992	125.298880
Horizontal	31640818	282550	0.043565	4576	107.104522
Microglia	8155368	276957	0.062497	1643	27.606012
Mullerglia	94395242	282832	0.042611	20570	319.528949
Retinalganglioncell	21014655	282266	0.044526	2110	71.134842
Rod	413545691	283153	0.041524	107596	1399.856784

[similarity_logcpm_pearson]
cell_type	AIIamacrine	Astrocyte	Cone	GABAamacrine	Horizontal	Microglia	Mullerglia	Retinalganglioncell	Rod
AIIamacrine	1.000000	0.812123	0.783324	0.889688	0.865955	0.831892	0.828471	0.831896	0.769172
Astrocyte	0.812123	1.000000	0.802206	0.802355	0.799335	0.879811	0.923195	0.781424	0.805557
Cone	0.783324	0.802206	1.000000	0.787245	0.809617	0.841699	0.810432	0.765938	0.938814
GABAamacrine	0.889688	0.802355	0.787245	1.000000	0.868333	0.823259	0.809264	0.883158	0.762700
Horizontal	0.865955	0.799335	0.809617	0.868333	1.000000	0.836231	0.809284	0.825659	0.799014
Microglia	0.831892	0.879811	0.841699	0.823259	0.836231	1.000000	0.905802	0.797106	0.853416
Mullerglia	0.828471	0.923195	0.810432	0.809264	0.809284	0.905802	1.000000	0.785615	0.823138
Retinalganglioncell	0.831896	0.781424	0.765938	0.883158	0.825659	0.797106	0.785615	1.000000	0.742325
Rod	0.769172	0.805557	0.938814	0.762700	0.799014	0.853416	0.823138	0.742325	1.000000

[similarity_rank_pearson]
cell_type	AIIamacrine	Astrocyte	Cone	GABAamacrine	Horizontal	Microglia	Mullerglia	Retinalganglioncell	Rod
AIIamacrine	1.000000	0.761973	0.760529	0.850283	0.827036	0.781120	0.803098	0.794724	0.747156
Astrocyte	0.761973	1.000000	0.770485	0.752861	0.757693	0.815480	0.876267	0.740059	0.775234
Cone	0.760529	0.770485	1.000000	0.759415	0.797099	0.800091	0.811407	0.748435	0.924454
GABAamacrine	0.850283	0.752861	0.759415	1.000000	0.828459	0.768361	0.784834	0.852037	0.731803
Horizontal	0.827036	0.757693	0.797099	0.828459	1.000000	0.793363	0.796461	0.790605	0.789714
Microglia	0.781120	0.815480	0.800091	0.768361	0.793363	1.000000	0.866065	0.749540	0.813677
Mullerglia	0.803098	0.876267	0.811407	0.784834	0.796461	0.866065	1.000000	0.769916	0.832417
Retinalganglioncell	0.794724	0.740059	0.748435	0.852037	0.790605	0.749540	0.769916	1.000000	0.727419
Rod	0.747156	0.775234	0.924454	0.731803	0.789714	0.813677	0.832417	0.727419	1.000000

[top2pct_jaccard]
cell_type	AIIamacrine	Astrocyte	Cone	GABAamacrine	Horizontal	Microglia	Mullerglia	Retinalganglioncell	Rod
AIIamacrine	1.000000	0.619570	0.573007	0.743325	0.694580	0.642530	0.630294	0.620014	0.578048
Astrocyte	0.619570	1.000000	0.579102	0.604399	0.586309	0.699209	0.762302	0.561781	0.598323
Cone	0.573007	0.579102	1.000000	0.572588	0.568830	0.638431	0.581638	0.532218	0.762565
GABAamacrine	0.743325	0.604399	0.572588	1.000000	0.693608	0.641845	0.608329	0.648717	0.579735
Horizontal	0.694580	0.586309	0.568830	0.693608	1.000000	0.614481	0.591221	0.626032	0.568206
Microglia	0.642530	0.699209	0.638431	0.641845	0.614481	1.000000	0.724752	0.566128	0.683956
Mullerglia	0.630294	0.762302	0.581638	0.608329	0.591221	0.724752	1.000000	0.557870	0.604181
Retinalganglioncell	0.620014	0.561781	0.532218	0.648717	0.626032	0.566128	0.557870	1.000000	0.524903
Rod	0.578048	0.598323	0.762565	0.579735	0.568206	0.683956	0.604181	0.524903	1.000000

[nearest_neighbors]
cell_type	best_logcpm_pearson	best_rank_pearson	best_jaccard
AIIamacrine	GABAamacrine:0.889688	GABAamacrine:0.850283	GABAamacrine:0.743325
Astrocyte	Mullerglia:0.923195	Mullerglia:0.876267	Mullerglia:0.762302
Cone	Rod:0.938814	Rod:0.924454	Rod:0.762565
GABAamacrine	AIIamacrine:0.889688	Retinalganglioncell:0.852037	AIIamacrine:0.743325
Horizontal	GABAamacrine:0.868333	GABAamacrine:0.828459	AIIamacrine:0.694580
Microglia	Mullerglia:0.905802	Mullerglia:0.866065	Mullerglia:0.724752
Mullerglia	Astrocyte:0.923195	Astrocyte:0.876267	Astrocyte:0.762302
Retinalganglioncell	GABAamacrine:0.883158	GABAamacrine:0.852037	GABAamacrine:0.648717
Rod	Cone:0.938814	Cone:0.924454	Cone:0.762565

[diagnostic_notes]
Only within-matrix footprint similarities are reported here; they are screening diagnostics, not a swap call.
