chrom	length	bases	mean	min	max
chr1	248956422	32250	0.00	0	6
chr1_region	248956422	32250	0.00	0	6
chr1_KI270706v1_random	175055	36900	0.21	0	5
chr1_KI270706v1_random_region	175055	36900	0.21	0	5
chr1_KI270707v1_random	32032	2700	0.08	0	4
chr1_KI270707v1_random_region	32032	2700	0.08	0	4
chr1_KI270708v1_random	127682	16500	0.13	0	6
chr1_KI270708v1_random_region	127682	16500	0.13	0	6
chr1_KI270710v1_random	40176	1650	0.04	0	2
chr1_KI270710v1_random_region	40176	1650	0.04	0	2
chr1_KI270712v1_random	176043	1050	0.01	0	2
chr1_KI270712v1_random_region	176043	1050	0.01	0	2
chr2	242193529	65550	0.00	0	7
chr2_region	242193529	65550	0.00	0	7
chr2_GL383521v1_alt	143390	450	0.00	0	2
chr2_GL383521v1_alt_region	143390	450	0.00	0	2
chr2_KI270768v1_alt	110099	750	0.01	0	4
chr2_KI270768v1_alt_region	110099	750	0.01	0	4
chr2_KI270772v1_alt	133041	600	0.00	0	1
chr2_KI270772v1_alt_region	133041	600	0.00	0	1
chr2_KI270894v1_alt	214158	900	0.00	0	1
chr2_KI270894v1_alt_region	214158	900	0.00	0	1
chr3	198295559	28950	0.00	0	5
chr3_region	198295559	28950	0.00	0	5
chr3_GL000221v1_random	155397	36000	0.23	0	5
chr3_GL000221v1_random_region	155397	36000	0.23	0	5
chr3_KI270783v1_alt	109187	150	0.00	0	1
chr3_KI270783v1_alt_region	109187	150	0.00	0	1
chr4	190214555	54600	0.00	0	6
chr4_region	190214555	54600	0.00	0	6
chr4_GL000008v2_random	209709	47550	0.23	0	6
chr4_GL000008v2_random_region	209709	47550	0.23	0	6
chr4_KI270786v1_alt	244096	150	0.00	0	1
chr4_KI270786v1_alt_region	244096	150	0.00	0	1
chr4_KI270925v1_alt	555799	150	0.00	0	1
chr4_KI270925v1_alt_region	555799	150	0.00	0	1
chr5	181538259	17700	0.00	0	3
chr5_region	181538259	17700	0.00	0	3
chr5_KI270796v1_alt	172708	150	0.00	0	1
chr5_KI270796v1_alt_region	172708	150	0.00	0	1
chr6	170805979	19050	0.00	0	3
chr6_region	170805979	19050	0.00	0	3
chr6_GL000250v2_alt	4672374	150	0.00	0	1
chr6_GL000250v2_alt_region	4672374	150	0.00	0	1
chr6_GL000251v2_alt	4795265	150	0.00	0	1
chr6_GL000251v2_alt_region	4795265	150	0.00	0	1
chr6_GL000253v2_alt	4677643	750	0.00	0	1
chr6_GL000253v2_alt_region	4677643	750	0.00	0	1
chr6_GL000254v2_alt	4827813	300	0.00	0	1
chr6_GL000254v2_alt_region	4827813	300	0.00	0	1
chr6_GL000256v2_alt	4929269	300	0.00	0	1
chr6_GL000256v2_alt_region	4929269	300	0.00	0	1
chr7	159345973	19050	0.00	0	4
chr7_region	159345973	19050	0.00	0	4
chr8	145138636	13050	0.00	0	3
chr8_region	145138636	13050	0.00	0	3
chr8_KI270810v1_alt	374415	150	0.00	0	1
chr8_KI270810v1_alt_region	374415	150	0.00	0	1
chr8_KI270813v1_alt	300230	1200	0.00	0	2
chr8_KI270813v1_alt_region	300230	1200	0.00	0	2
chr9	138394717	30900	0.00	0	5
chr9_region	138394717	30900	0.00	0	5
chr9_KI270717v1_random	40062	450	0.01	0	1
chr9_KI270717v1_random_region	40062	450	0.01	0	1
chr9_KI270720v1_random	39050	1800	0.05	0	2
chr9_KI270720v1_random_region	39050	1800	0.05	0	2
chr9_GL383540v1_alt	71551	150	0.00	0	1
chr9_GL383540v1_alt_region	71551	150	0.00	0	1
chr10	133797422	17100	0.00	0	4
chr10_region	133797422	17100	0.00	0	4
chr10_KI270824v1_alt	181496	2100	0.01	0	2
chr10_KI270824v1_alt_region	181496	2100	0.01	0	2
chr11	135086622	11700	0.00	0	2
chr11_region	135086622	11700	0.00	0	2
chr12	133275309	14250	0.00	0	2
chr12_region	133275309	14250	0.00	0	2
chr12_GL383549v1_alt	120804	150	0.00	0	1
chr12_GL383549v1_alt_region	120804	150	0.00	0	1
chr12_GL383551v1_alt	184319	600	0.00	0	1
chr12_GL383551v1_alt_region	184319	600	0.00	0	1
chr12_KI270904v1_alt	572349	150	0.00	0	1
chr12_KI270904v1_alt_region	572349	150	0.00	0	1
chr13	114364328	19650	0.00	0	4
chr13_region	114364328	19650	0.00	0	4
chr14	107043718	1148400	0.01	0	9
chr14_region	107043718	1148400	0.01	0	9
chr14_GL000009v2_random	201709	8850	0.04	0	5
