Table S2. The mean inferCNV of key driver genes in different subtypes	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4
GeneID	Symbol	Cell Type	Subtype	inferCNV(mean)
ENSG00000171862	PTEN	AT1	1	-0.8674380704825
ENSG00000133703	KRAS	AT1	1	-0.194951679187341
ENSG00000135679	MDM2	AT1	1	-0.194951679187341
ENSG00000141736	ERBB2	AT1	1	-0.194951679187341
ENSG00000239672	NME1	AT1	1	-0.194951679187341
ENSG00000124762	CDKN1A	AT1	1	0.739725449166523
ENSG00000146648	EGFR	AT1	1	2.20837186304127
ENSG00000105976	MET	AT1	1	0.256414187430755
ENSG00000157764	BRAF	AT1	1	0.352785258989336
ENSG00000253729	PRKDC	AT1	1	-0.351775403873513
ENSG00000171862	PTEN	AT1	2	-0.343887335421025
ENSG00000133703	KRAS	AT1	2	-0.0922722048668699
ENSG00000135679	MDM2	AT1	2	-0.213896853430857
ENSG00000141736	ERBB2	AT1	2	0.0149474761618853
ENSG00000239672	NME1	AT1	2	0.66833927146803
ENSG00000124762	CDKN1A	AT1	2	0.0725000054516719
ENSG00000146648	EGFR	AT1	2	0.404830504002145
ENSG00000105976	MET	AT1	2	-0.150765317337626
ENSG00000157764	BRAF	AT1	2	-0.0196535179479858
ENSG00000253729	PRKDC	AT1	2	0.149477393958705
ENSG00000171862	PTEN	AT1	3	-0.136959280579253
ENSG00000133703	KRAS	AT1	3	-0.100993126946243
ENSG00000135679	MDM2	AT1	3	-0.0356379928724544
ENSG00000141736	ERBB2	AT1	3	-0.129644389584053
ENSG00000239672	NME1	AT1	3	-0.118303431178644
ENSG00000124762	CDKN1A	AT1	3	-0.0756213742130693
ENSG00000146648	EGFR	AT1	3	0.13141972603818
ENSG00000105976	MET	AT1	3	0.199643098829545
ENSG00000157764	BRAF	AT1	3	0.130885158909637
ENSG00000253729	PRKDC	AT1	3	-0.112171248105114
ENSG00000171862	PTEN	AT1	4	-0.155773554997226
ENSG00000133703	KRAS	AT1	4	0.0489545489290037
ENSG00000135679	MDM2	AT1	4	0.0018420594806827
ENSG00000141736	ERBB2	AT1	4	0.187751205246499
ENSG00000239672	NME1	AT1	4	0.0196572989970267
ENSG00000124762	CDKN1A	AT1	4	-0.0872157544041522
ENSG00000146648	EGFR	AT1	4	-0.047002523415192
ENSG00000105976	MET	AT1	4	0.945496732268245
ENSG00000157764	BRAF	AT1	4	0.899646007665784
ENSG00000253729	PRKDC	AT1	4	-0.140163542299797
ENSG00000171862	PTEN	AT1	5	-0.0444929867543997
ENSG00000133703	KRAS	AT1	5	0.120732017697081
ENSG00000135679	MDM2	AT1	5	-0.0931850799844027
ENSG00000141736	ERBB2	AT1	5	-0.14749022246829
ENSG00000239672	NME1	AT1	5	-0.0893135290066973
ENSG00000124762	CDKN1A	AT1	5	-0.127046796572829
ENSG00000146648	EGFR	AT1	5	0.317019695098109
ENSG00000105976	MET	AT1	5	0.491769297407146
ENSG00000157764	BRAF	AT1	5	0.539484250493479
ENSG00000253729	PRKDC	AT1	5	-0.114069861927586
ENSG00000171862	PTEN	AT1	6	-0.13685047735446
ENSG00000133703	KRAS	AT1	6	-0.12502220296855
ENSG00000135679	MDM2	AT1	6	-0.0788774361025506
ENSG00000141736	ERBB2	AT1	6	1.44736585029599
ENSG00000239672	NME1	AT1	6	0.232874111073488
ENSG00000124762	CDKN1A	AT1	6	-0.182573384846593
ENSG00000146648	EGFR	AT1	6	-0.0685990642211206
ENSG00000105976	MET	AT1	6	-0.0173721140601882
ENSG00000157764	BRAF	AT1	6	0.227357045841738
ENSG00000253729	PRKDC	AT1	6	0.192073430467078
ENSG00000171862	PTEN	AT1	7	-0.0942994676665577
ENSG00000133703	KRAS	AT1	7	-0.0383675296471303
ENSG00000135679	MDM2	AT1	7	-0.122202210763973
ENSG00000141736	ERBB2	AT1	7	-0.0912629769776633
ENSG00000239672	NME1	AT1	7	-0.0695354175469961
ENSG00000124762	CDKN1A	AT1	7	-0.045941267395911
ENSG00000146648	EGFR	AT1	7	0.330887218590114
ENSG00000105976	MET	AT1	7	0.106660738196021
