metric	value
contig_order	chr1,chr2,chr3,chr4
contig_lengths	3000,3000,3000,3000
read_length	36
total_reads	40000
mapped_reads	38973
unmapped_reads	1027
primary_counts	13040,8784,8796,8353
best_unique_chromosome_reads	8781
unique_best_counts	6093,976,1323,389
candidate_set_chr1	6093
candidate_set_chr1+chr2	207
candidate_set_chr1+chr2+chr3	500
candidate_set_chr1+chr2+chr3+chr4	23539
candidate_set_chr1+chr2+chr4	530
candidate_set_chr1+chr3	8
candidate_set_chr1+chr3+chr4	1130
candidate_set_chr1+chr4	223
candidate_set_chr2	976
candidate_set_chr2+chr3	796
candidate_set_chr2+chr3+chr4	1334
candidate_set_chr2+chr4	1301
candidate_set_chr3	1323
candidate_set_chr3+chr4	624
candidate_set_chr4	389
best_score_histogram	0:29231;-4:9151;-8:564;-12:27
em_iterations	165
em_percentages	50.232545,19.931894,19.804247,10.031314
rounded_percentages	50,20,20,10
