GroupBy(Chromosome)	count(Pos)	﻿Chromosome	Length	Density
1	2	1	99062180	2.0189339665248634e-08
12	1	12	23235100	4.3038334244311406e-08
13	2	13	22362767	8.943437097922632e-08
14	1	14	23265108	4.298282217301549e-08
17	2	17	16938386	1.1807500431268954e-07
19	3	19	12787533	2.3460350014346005e-07
2	6	2	123451405	4.860212000017335e-08
21	1	21	13093161	7.637575066861242e-08
24	1	24	11344391	8.814928893053845e-08
26	1	26	46055897	2.1712746144103977e-08
29	1	29	3496993	2.859599661766552e-07
3	5	3	121534940	4.114043253734276e-08
30	1	30	22021689	4.540977760606827e-08
4	3	4	8011800	3.744476896577548e-07
5	5	5	76278832	6.55489848087868e-08
6	2	6	66143299	3.023737899737961e-08
8	1	8	38659334	2.5866974325010358e-08
9	2	9	33574751	5.956857282426309e-08
W	3	W	6742290	4.449526792825583e-07
Z	8	Z	79826082	1.0021787114642555e-07
