chrom1	start1	end1	chrom2	start2	end2	cstart1	cstart2	c_label	c_size	count	la_exp.donut.value	la_exp.vertical.value	la_exp.horizontal.value	la_exp.lowleft.value	la_exp.donut.qval	la_exp.vertical.qval	la_exp.horizontal.qval	la_exp.lowleft.qval
chr12	6940000	6950000	chr12	7630000	7640000	6940000.0	7630000.0	160	1	22	4.074047687808332	5.724323604318343	4.216339812901814	4.286725984648149	0.00015210840151825614	0.002638694347797016	0.00018206743487951128	8.394035425461274e-05
chr12	7060000	7065000	chr12	7635000	7640000	7060000.0	7635000.0	168	1	19	3.3702266304451363	5.960173912234165	3.3011701929131365	3.0233142141527107	0.00012082569598507122	0.01263531213898795	0.0001643099832301838	7.1935947175168775e-06
chr12	7140000	7145000	chr12	7635000	7640000	7139166.666666666	7636666.666666666	169	6	90	6.000850492939928	10.269040143681439	6.719672467181723	7.493235601485094	1.7791328732102773e-64	2.6718874995557044e-41	2.172300413798765e-56	9.514513737519358e-57
chr12	7220000	7225000	chr12	7635000	7640000	7219642.857142856	7636071.428571427	171	14	221	14.41329411750567	20.228120066373567	23.50617092544837	13.319410232482035	4.3118119763107446e-161	1.7985780091106533e-121	1.8154723411170523e-121	6.634223078271632e-161
chr12	7220000	7225000	chr12	7805000	7810000	7217500.0	7805000.0	175	2	23	4.990047347097055	6.711562545600712	5.423616834180354	5.492612678685826	7.3710701320467114e-06	0.003009759948128382	0.0002036754639998749	0.00013700248095255225
chr12	7325000	7330000	chr12	7635000	7640000	7336666.666666666	7636666.666666666	177	2	37	11.422565975537774	17.561699411076418	11.07435201381192	11.469621203517274	3.5997867126579522e-06	0.014096973074733229	4.749965969647366e-06	3.5902628387998886e-06
chr12	7370000	7375000	chr12	7635000	7640000	7372000.0	7639000.0	180	6	90	9.808813880557562	11.980217613220859	12.077270977268428	10.398819669480902	3.7031625530098475e-49	2.6718874995557044e-41	2.420647767550662e-41	1.3003284973323243e-41
chr12	7460000	7465000	chr12	7635000	7640000	7458750.0	7633750.0	181	4	83	13.877920398326838	22.329143814535946	12.770083201362391	17.493828221132958	1.9581015873794966e-29	2.090132124917716e-17	3.4742057034768705e-29	3.4447607079459897e-23
chr12	7490000	7500000	chr12	7580000	7590000	7475000.0	7580000.0	175	2	134	68.92481337120991	80.49718798528633	83.7725994272837	63.3647218614404	5.198169492101449e-07	6.359054020714989e-07	0.009286623680090944	6.228342597324202e-13
chr12	7640000	7650000	chr12	8070000	8080000	7656666.666666666	8070000.0	177	3	33	10.26194394997398	13.68460614099332	13.318040902860643	13.546523152741866	0.0005327514948260322	0.016163352477551594	0.015968608648769398	0.009959551624651864
chr12	7675000	7680000	chr12	7805000	7810000	7675000.0	7802500.0	183	6	197	19.743752241946638	33.501270963760646	16.754982887455544	21.92441969655182	5.2837452614613385e-117	1.879775157661258e-67	1.2692280862749352e-116	8.514648992323698e-100
chr12	7795000	7800000	chr12	7905000	7910000	7792500.0	7897500.0	185	2	73	5.92710805954609	8.858212375407867	3.4967541160460214	6.0897987642209195	4.656228546036583e-46	1.2901306450795416e-33	4.916215554537298e-58	4.050668618681755e-46
chr12	7830000	7835000	chr12	8075000	8080000	7850000.0	8077500.0	186	4	36	8.92411173948827	13.56177491707011	10.698177424980628	11.286048911546235	7.829262263273977e-08	0.0008045976068997977	1.2652107748573422e-05	9.623216754175251e-06
chr12	7855000	7860000	chr12	7930000	7935000	7853333.333333332	7930000.0	187	6	84	20.22698140576705	22.737866395913418	27.578043696873216	20.003669082165143	4.7538005803686e-18	6.4919748651218224e-18	1.0591146734312917e-12	8.507209868798199e-24
chr12	7860000	7865000	chr12	7990000	7995000	7856000.0	7993000.0	188	5	58	13.00700000955142	18.900813540751727	18.941154902338923	8.336008397523079	1.0713604378963928e-13	7.036081506574403e-10	6.769741342383499e-10	5.810784564295882e-22
